transaction_date,address,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,cum_transferred
2024-12-13,0x16779885375d32e7327fade91f91b5a722bb5cf4,1.0,1.0,0.0,1.0705602858e-07,1.0,0.0
2024-12-14,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-16,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-17,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-18,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-19,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-20,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-23,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-24,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-25,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-26,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-28,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-29,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-30,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,0x16779885375d32e7327fade91f91b5a722bb5cf4,0.0,0.0,0.0,0.0,0.0,0.0
