transaction_date,address,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,cum_transferred
2024-08-15,0x2416092f143378750bb29b79ed961ab195cceea5,841.0,697.0,0.0,0.00022839915221977396,697.0,0.0
2024-08-16,0x2416092f143378750bb29b79ed961ab195cceea5,795.0,666.0,0.0,0.0005561985897323261,638.0,0.0
2024-08-17,0x2416092f143378750bb29b79ed961ab195cceea5,728.0,625.0,0.0,0.000435739880309627,590.0,0.0
2024-08-18,0x2416092f143378750bb29b79ed961ab195cceea5,816.0,694.0,0.0,0.00021881170640393913,650.0,0.0
2024-08-19,0x2416092f143378750bb29b79ed961ab195cceea5,707.0,574.0,0.0,0.0006403470049633617,506.0,0.0
2024-08-20,0x2416092f143378750bb29b79ed961ab195cceea5,757.0,582.0,0.0,0.0011858523683495842,512.0,0.0
2024-08-21,0x2416092f143378750bb29b79ed961ab195cceea5,915.0,739.0,0.0,0.0018426816697923736,652.0,0.0
2024-08-22,0x2416092f143378750bb29b79ed961ab195cceea5,996.0,816.0,0.0,0.0018541025932815479,696.0,0.0
2024-08-23,0x2416092f143378750bb29b79ed961ab195cceea5,849.0,705.0,0.0,0.0012003650039248504,591.0,0.0
2024-08-24,0x2416092f143378750bb29b79ed961ab195cceea5,748.0,666.0,0.0,0.000354352539759162,588.0,0.0
2024-08-25,0x2416092f143378750bb29b79ed961ab195cceea5,1005.0,769.0,0.0,0.0001385774334371471,671.0,0.0
2024-08-26,0x2416092f143378750bb29b79ed961ab195cceea5,6210.0,4726.0,0.0,0.007830415596451493,4443.0,0.0
2024-08-27,0x2416092f143378750bb29b79ed961ab195cceea5,2201.0,1693.0,0.0,0.0009035418626195083,1378.0,0.0
2024-08-28,0x2416092f143378750bb29b79ed961ab195cceea5,1327.0,1080.0,0.0,0.0051020313057039334,779.0,0.0
2024-08-29,0x2416092f143378750bb29b79ed961ab195cceea5,1043.0,909.0,0.0,0.0009393086666411377,691.0,0.0
2024-08-30,0x2416092f143378750bb29b79ed961ab195cceea5,942.0,747.0,0.0,7.858763937777301e-05,600.0,0.0
2024-08-31,0x2416092f143378750bb29b79ed961ab195cceea5,580.0,510.0,0.0,6.364505755101699e-05,332.0,0.0
2024-09-01,0x2416092f143378750bb29b79ed961ab195cceea5,964.0,716.0,0.0,9.825050664705897e-05,563.0,0.0
2024-09-02,0x2416092f143378750bb29b79ed961ab195cceea5,1136.0,813.0,0.0,0.000118748578960406,668.0,0.0
2024-09-03,0x2416092f143378750bb29b79ed961ab195cceea5,978.0,748.0,0.0,0.00022546164044754598,566.0,0.0
2024-09-04,0x2416092f143378750bb29b79ed961ab195cceea5,1054.0,843.0,0.0,0.0004954644870763397,458.0,0.0
2024-09-05,0x2416092f143378750bb29b79ed961ab195cceea5,1062.0,892.0,0.0,0.0005194764564490479,377.0,0.0
2024-09-06,0x2416092f143378750bb29b79ed961ab195cceea5,920.0,786.0,0.0,0.000848713686562233,275.0,0.0
2024-09-07,0x2416092f143378750bb29b79ed961ab195cceea5,688.0,601.0,0.0,0.000292036729900783,296.0,0.0
2024-09-08,0x2416092f143378750bb29b79ed961ab195cceea5,527.0,407.0,0.0,0.00015296437552854897,241.0,0.0
2024-09-09,0x2416092f143378750bb29b79ed961ab195cceea5,609.0,522.0,0.0,0.0005890360507723501,306.0,0.0
2024-09-10,0x2416092f143378750bb29b79ed961ab195cceea5,541.0,462.0,0.0,0.00032249844487708894,237.0,0.0
2024-09-11,0x2416092f143378750bb29b79ed961ab195cceea5,730.0,646.0,0.0,0.002608589949210852,229.0,0.0
2024-09-12,0x2416092f143378750bb29b79ed961ab195cceea5,568.0,469.0,0.0,0.00016554438128161509,226.0,0.0
2024-09-13,0x2416092f143378750bb29b79ed961ab195cceea5,328.0,286.0,0.0,0.00017953753034284092,172.0,0.0
2024-09-14,0x2416092f143378750bb29b79ed961ab195cceea5,392.0,350.0,0.0,9.246792237369399e-05,181.0,0.0
2024-09-15,0x2416092f143378750bb29b79ed961ab195cceea5,343.0,297.0,0.0,0.00017746243471606298,193.0,0.0
2024-09-16,0x2416092f143378750bb29b79ed961ab195cceea5,335.0,279.0,0.0,0.00024225470884194598,165.0,0.0
2024-09-17,0x2416092f143378750bb29b79ed961ab195cceea5,294.0,241.0,0.0,0.000353695320889437,149.0,0.0
2024-09-18,0x2416092f143378750bb29b79ed961ab195cceea5,389.0,343.0,0.0,0.00030544335922627885,200.0,0.0
2024-09-19,0x2416092f143378750bb29b79ed961ab195cceea5,416.0,350.0,0.0,0.0005868781781795387,210.0,0.0
2024-09-20,0x2416092f143378750bb29b79ed961ab195cceea5,369.0,333.0,0.0,0.0007704093752746444,236.0,0.0
2024-09-21,0x2416092f143378750bb29b79ed961ab195cceea5,419.0,360.0,0.0,0.0006827806856261362,237.0,0.0
2024-09-22,0x2416092f143378750bb29b79ed961ab195cceea5,450.0,374.0,0.0,0.00044543540072819915,266.0,0.0
2024-09-23,0x2416092f143378750bb29b79ed961ab195cceea5,433.0,360.0,0.0,0.0006849971565709414,242.0,0.0
2024-09-24,0x2416092f143378750bb29b79ed961ab195cceea5,488.0,366.0,0.0,0.0003600977886080059,253.0,0.0
2024-09-25,0x2416092f143378750bb29b79ed961ab195cceea5,842.0,535.0,0.0,0.00012856531349669098,404.0,0.0
2024-09-26,0x2416092f143378750bb29b79ed961ab195cceea5,684.0,506.0,0.0,0.0009395722201970985,376.0,0.0
2024-09-27,0x2416092f143378750bb29b79ed961ab195cceea5,594.0,463.0,0.0,0.000882210681081425,293.0,0.0
2024-09-28,0x2416092f143378750bb29b79ed961ab195cceea5,628.0,503.0,0.0,0.0019626845264656143,301.0,0.0
2024-09-29,0x2416092f143378750bb29b79ed961ab195cceea5,663.0,570.0,0.0,0.000260463692669236,355.0,0.0
2024-09-30,0x2416092f143378750bb29b79ed961ab195cceea5,570.0,496.0,0.0,0.0002812227240710621,326.0,0.0
2024-10-01,0x2416092f143378750bb29b79ed961ab195cceea5,392.0,324.0,0.0,0.00047045017306162094,181.0,0.0
2024-10-02,0x2416092f143378750bb29b79ed961ab195cceea5,446.0,383.0,0.0,0.0005924622874985769,251.0,0.0
2024-10-03,0x2416092f143378750bb29b79ed961ab195cceea5,454.0,373.0,0.0,0.0005537702538983806,206.0,0.0
2024-10-04,0x2416092f143378750bb29b79ed961ab195cceea5,381.0,320.0,0.0,0.000160685282609689,202.0,0.0
2024-10-05,0x2416092f143378750bb29b79ed961ab195cceea5,400.0,337.0,0.0,7.2282089270312e-05,206.0,0.0
2024-10-06,0x2416092f143378750bb29b79ed961ab195cceea5,439.0,334.0,0.0,0.00029754721106727125,209.0,0.0
2024-10-07,0x2416092f143378750bb29b79ed961ab195cceea5,392.0,349.0,0.0,0.0007021189715903369,185.0,0.0
2024-10-08,0x2416092f143378750bb29b79ed961ab195cceea5,405.0,350.0,0.0,0.0002450736609741631,182.0,0.0
2024-10-09,0x2416092f143378750bb29b79ed961ab195cceea5,519.0,404.0,0.0,0.00041795878966951593,227.0,0.0
2024-10-10,0x2416092f143378750bb29b79ed961ab195cceea5,714.0,556.0,0.0,0.0012786355690106038,351.0,0.0
2024-10-11,0x2416092f143378750bb29b79ed961ab195cceea5,702.0,569.0,0.0,0.00033201998117898693,370.0,0.0
2024-10-12,0x2416092f143378750bb29b79ed961ab195cceea5,904.0,710.0,0.0,0.0007893097759329135,399.0,0.0
2024-10-13,0x2416092f143378750bb29b79ed961ab195cceea5,952.0,691.0,0.0,0.0001427551573117581,423.0,0.0
2024-10-14,0x2416092f143378750bb29b79ed961ab195cceea5,1067.0,786.0,0.0,0.0008279686241815138,475.0,0.0
2024-10-15,0x2416092f143378750bb29b79ed961ab195cceea5,1141.0,820.0,0.0,0.0015211660814774767,533.0,0.0
