date,totalLiquidityUSD,readable_date,protocol
1717545600,8573959.8788,2024-06-05 00:00:00,resolv
1717632000,8578982.74699,2024-06-06 00:00:00,resolv
1717718400,8582418.72152,2024-06-07 00:00:00,resolv
1717804800,9173567.5387,2024-06-08 00:00:00,resolv
1717891200,9180774.8141,2024-06-09 00:00:00,resolv
1717977600,9183280.04621,2024-06-10 00:00:00,resolv
1718064000,9185388.50887,2024-06-11 00:00:00,resolv
1718150400,15524927.19788,2024-06-12 00:00:00,resolv
1718236800,15510826.65621,2024-06-13 00:00:00,resolv
1718323200,15494172.84929,2024-06-14 00:00:00,resolv
1718409600,15516127.66666,2024-06-15 00:00:00,resolv
1718496000,15518336.944060002,2024-06-16 00:00:00,resolv
1718582400,15520543.30881,2024-06-17 00:00:00,resolv
1718668800,15519039.71864,2024-06-18 00:00:00,resolv
1718755200,15552206.79519,2024-06-19 00:00:00,resolv
1718841600,15538799.59215,2024-06-20 00:00:00,resolv
1718928000,15540766.23802,2024-06-21 00:00:00,resolv
1719014400,15546289.81201,2024-06-22 00:00:00,resolv
1719100800,15598189.81228,2024-06-23 00:00:00,resolv
1719187200,15590887.45239,2024-06-24 00:00:00,resolv
1719273600,15617463.31981,2024-06-25 00:00:00,resolv
1719360000,15608577.72399,2024-06-26 00:00:00,resolv
1719446400,15594905.59181,2024-06-27 00:00:00,resolv
1719532800,15588163.91814,2024-06-28 00:00:00,resolv
1719619200,15628742.06067,2024-06-29 00:00:00,resolv
1719705600,15613951.54251,2024-06-30 00:00:00,resolv
1719792000,15617525.58194,2024-07-01 00:00:00,resolv
1719878400,15643224.1414,2024-07-02 00:00:00,resolv
1719964800,15579002.89543,2024-07-03 00:00:00,resolv
1720051200,15544261.92787,2024-07-04 00:00:00,resolv
1720137600,15428349.52134,2024-07-05 00:00:00,resolv
1720224000,15564452.08461,2024-07-06 00:00:00,resolv
1720310400,15548895.64606,2024-07-07 00:00:00,resolv
1720396800,15549918.29302,2024-07-08 00:00:00,resolv
1720483200,15550232.70947,2024-07-09 00:00:00,resolv
1720569600,15607312.52376,2024-07-10 00:00:00,resolv
1720656000,15619513.7973,2024-07-11 00:00:00,resolv
1720742400,15679993.20056,2024-07-12 00:00:00,resolv
1720828800,15691450.03246,2024-07-13 00:00:00,resolv
1720915200,15708580.51584,2024-07-14 00:00:00,resolv
1721001600,15675089.36445,2024-07-15 00:00:00,resolv
1721088000,15693674.29625,2024-07-16 00:00:00,resolv
1721174400,15693835.38487,2024-07-17 00:00:00,resolv
1721260800,15716856.32628,2024-07-18 00:00:00,resolv
1721347200,15730671.02877,2024-07-19 00:00:00,resolv
1721433600,15787508.36243,2024-07-20 00:00:00,resolv
1721520000,15782336.78326,2024-07-21 00:00:00,resolv
1721606400,15795010.07679,2024-07-22 00:00:00,resolv
1721692800,15780091.278839998,2024-07-23 00:00:00,resolv
1721779200,15808793.4813,2024-07-24 00:00:00,resolv
1721865600,15810492.56695,2024-07-25 00:00:00,resolv
1721952000,15813770.67677,2024-07-26 00:00:00,resolv
1722038400,15850111.73745,2024-07-27 00:00:00,resolv
1722124800,15828694.87185,2024-07-28 00:00:00,resolv
1722211200,15829760.24371,2024-07-29 00:00:00,resolv
1722297600,15849473.92105,2024-07-30 00:00:00,resolv
1722384000,15851445.314940002,2024-07-31 00:00:00,resolv
1722470400,15843457.63783,2024-08-01 00:00:00,resolv
1722556800,15842407.95758,2024-08-02 00:00:00,resolv
1722643200,15869340.54736,2024-08-03 00:00:00,resolv
1722729600,15857412.7472,2024-08-04 00:00:00,resolv
1722816000,15834345.40996,2024-08-05 00:00:00,resolv
1722902400,15922843.231540002,2024-08-06 00:00:00,resolv
1722988800,15891140.96248,2024-08-07 00:00:00,resolv
1723075200,15876254.45656,2024-08-08 00:00:00,resolv
1723161600,15876477.278700002,2024-08-09 00:00:00,resolv
1723248000,15864485.94112,2024-08-10 00:00:00,resolv
1723334400,15864093.88436,2024-08-11 00:00:00,resolv
1723420800,15856761.921040002,2024-08-12 00:00:00,resolv
1723507200,15865650.5518,2024-08-13 00:00:00,resolv
1723593600,15909737.95428,2024-08-14 00:00:00,resolv
1723680000,15892029.74813,2024-08-15 00:00:00,resolv
1723766400,15905664.94653,2024-08-16 00:00:00,resolv
1723852800,15911359.19053,2024-08-17 00:00:00,resolv
1723939200,15917430.35948,2024-08-18 00:00:00,resolv
1724025600,15913256.6624,2024-08-19 00:00:00,resolv
1724112000,15943674.40063,2024-08-20 00:00:00,resolv
1724198400,15937997.57635,2024-08-21 00:00:00,resolv
1724284800,15944479.38129,2024-08-22 00:00:00,resolv
1724371200,15948628.22744,2024-08-23 00:00:00,resolv
1724457600,15979175.04116,2024-08-24 00:00:00,resolv
1724544000,15983212.81698,2024-08-25 00:00:00,resolv
1724630400,16011720.220060002,2024-08-26 00:00:00,resolv
1724716800,15995723.56488,2024-08-27 00:00:00,resolv
1724803200,15985916.49682,2024-08-28 00:00:00,resolv
1724889600,15994522.722740002,2024-08-29 00:00:00,resolv
1724976000,15942081.8458,2024-08-30 00:00:00,resolv
1725062400,15914657.956379998,2024-08-31 00:00:00,resolv
1725148800,15908470.94499,2024-09-01 00:00:00,resolv
1725235200,15903350.17824,2024-09-02 00:00:00,resolv
1725321600,15915902.22453,2024-09-03 00:00:00,resolv
1725408000,15908033.69828,2024-09-04 00:00:00,resolv
1725494400,15930318.33896,2024-09-05 00:00:00,resolv
1725580800,15929927.61914,2024-09-06 00:00:00,resolv
1725667200,15922340.68064,2024-09-07 00:00:00,resolv
1725753600,15922398.56771,2024-09-08 00:00:00,resolv
1725840000,15909063.88992,2024-09-09 00:00:00,resolv
1725926400,15924870.99755,2024-09-10 00:00:00,resolv
1726012800,15933852.71083,2024-09-11 00:00:00,resolv
1726099200,15919958.72075,2024-09-12 00:00:00,resolv
1726185600,15921955.28035,2024-09-13 00:00:00,resolv
1726272000,15914021.21809,2024-09-14 00:00:00,resolv
1726358400,15840657.24532,2024-09-15 00:00:00,resolv
1726444800,15929515.10337,2024-09-16 00:00:00,resolv
1726531200,15932848.35274,2024-09-17 00:00:00,resolv
1726617600,15910479.63099,2024-09-18 00:00:00,resolv
1726704000,15936671.904320002,2024-09-19 00:00:00,resolv
1726790400,15940531.8442,2024-09-20 00:00:00,resolv
1726876800,15927965.23832,2024-09-21 00:00:00,resolv
1726963200,15933629.98697,2024-09-22 00:00:00,resolv
1727049600,15881614.16411,2024-09-23 00:00:00,resolv
1727136000,15898271.23519,2024-09-24 00:00:00,resolv
1727222400,15859264.68297,2024-09-25 00:00:00,resolv
1727308800,15858963.53344,2024-09-26 00:00:00,resolv
1727395200,15970275.69204,2024-09-27 00:00:00,resolv
