transaction_date,address,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,cum_transferred
2024-11-15,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,1.0,1.0,0.0,1.14790184027e-07,1.0,0.0
2024-11-16,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-17,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-18,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-19,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-23,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-24,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-26,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-27,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-28,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,3.0,1.0,0.0,6.4023485655476e-05,1.0,0.0
2024-12-04,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-06,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-07,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-09,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-10,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,4.0,1.0,0.0,5.7892787175184005e-05,0.0,0.0
2024-12-11,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,1.0,1.0,0.0,9.7126860382e-08,0.0,0.0
2024-12-12,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-13,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-16,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-17,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-18,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,5.0,2.0,0.0,5.5741011478077996e-05,0.0,0.0
2024-12-19,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-20,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-23,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-24,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-25,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-26,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-28,0xdc1f5b81eec7e6391aeb6c8e5a2000d3a9aa8e6d,0.0,0.0,0.0,0.0,0.0,0.0
