date,totalLiquidityUSD,readable_date
1656979200,3328525.06782,2022-07-05 00:00:00
1657065600,3318331.82834,2022-07-06 00:00:00
1657152000,3358792.37989,2022-07-07 00:00:00
1657238400,3407477.64329,2022-07-08 00:00:00
1657324800,3509138.87406,2022-07-09 00:00:00
1657411200,3510275.26109,2022-07-10 00:00:00
1657497600,3536985.01762,2022-07-11 00:00:00
1657584000,3728841.60965,2022-07-12 00:00:00
1657670400,3704197.86216,2022-07-13 00:00:00
1657756800,3799430.26736,2022-07-14 00:00:00
1657843200,3792425.69804,2022-07-15 00:00:00
1657929600,3892336.81787,2022-07-16 00:00:00
1658016000,4039027.88518,2022-07-17 00:00:00
1658102400,4056552.26566,2022-07-18 00:00:00
1658188800,3959856.3062,2022-07-19 00:00:00
1658275200,4019998.86619,2022-07-20 00:00:00
1658361600,4175094.26886,2022-07-21 00:00:00
1658448000,4160926.35353,2022-07-22 00:00:00
1658534400,4595178.54816,2022-07-23 00:00:00
1658620800,4601530.23485,2022-07-24 00:00:00
1658707200,4694982.0944,2022-07-25 00:00:00
1658793600,4750876.07645,2022-07-26 00:00:00
1658880000,4661269.38239,2022-07-27 00:00:00
1658966400,4810306.07392,2022-07-28 00:00:00
1659052800,5206645.13725,2022-07-29 00:00:00
1659139200,5291298.25264,2022-07-30 00:00:00
1659225600,5471609.24491,2022-07-31 00:00:00
1659312000,5516814.57121,2022-08-01 00:00:00
1659398400,5506578.7736,2022-08-02 00:00:00
1659484800,5502913.06115,2022-08-03 00:00:00
1659571200,5568468.08036,2022-08-04 00:00:00
1659657600,5361953.51683,2022-08-05 00:00:00
1659744000,5403412.59002,2022-08-06 00:00:00
1659830400,5407675.28899,2022-08-07 00:00:00
1659916800,5486476.95724,2022-08-08 00:00:00
1660003200,5730096.42554,2022-08-09 00:00:00
1660089600,6523221.57461,2022-08-10 00:00:00
1660176000,6606294.06263,2022-08-11 00:00:00
1660262400,6669433.18311,2022-08-12 00:00:00
1660348800,6689964.91814,2022-08-13 00:00:00
1660435200,6710890.63734,2022-08-14 00:00:00
1660521600,6955112.616,2022-08-15 00:00:00
1660608000,6933598.44037,2022-08-16 00:00:00
1660694400,6928692.96771,2022-08-17 00:00:00
1660780800,6875954.68488,2022-08-18 00:00:00
1660867200,6770138.4919,2022-08-19 00:00:00
1660953600,6571899.6704,2022-08-20 00:00:00
1661040000,6553083.50399,2022-08-21 00:00:00
1661126400,6559970.5626,2022-08-22 00:00:00
1661212800,6530744.91919,2022-08-23 00:00:00
1661299200,6353997.63451,2022-08-24 00:00:00
1661385600,5664116.35462,2022-08-25 00:00:00
1661472000,5646763.67587,2022-08-26 00:00:00
1661558400,5570721.64944,2022-08-27 00:00:00
1661644800,5557294.72646,2022-08-28 00:00:00
1661731200,5586128.32662,2022-08-29 00:00:00
1661817600,5655280.67574,2022-08-30 00:00:00
1661904000,5571307.60072,2022-08-31 00:00:00
1661990400,5385143.12461,2022-09-01 00:00:00
1662076800,5453129.86262,2022-09-02 00:00:00
1662163200,5447658.90447,2022-09-03 00:00:00
1662249600,5442939.41232,2022-09-04 00:00:00
1662336000,5449163.46336,2022-09-05 00:00:00
1662422400,5458605.44087,2022-09-06 00:00:00
1662508800,5492874.58666,2022-09-07 00:00:00
1662595200,5459899.45542,2022-09-08 00:00:00
1662681600,5601178.94196,2022-09-09 00:00:00
1662768000,5668879.79961,2022-09-10 00:00:00
1662854400,5687737.31614,2022-09-11 00:00:00
1662940800,5663612.74886,2022-09-12 00:00:00
1663027200,5664146.63637,2022-09-13 00:00:00
1663113600,5465447.00769,2022-09-14 00:00:00
