General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted)
Project Name,Round,Cycle,Grant Status,Grant Amount,Grant Recieved (to date)?,Date Funds Recieved,Balance Left (to date),Date Range,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted
Fraxtal Application,Grants Season 6,Cycle 26,Sent,900000,False,2024-09-01 00:00:00,900000,2024-06-02 - 2025-01-17,-0.3672,2.8331,0.0054537881366474306,0.0055,-0.3588,5.9883,6.58305365774936e-09,6.58e-09,-0.3681,2.7185,0.007560484266242229,0.0076,-0.1939,2.8084,0.005462363447527485,0.0055,-0.8233,5.2125,1.1313987144934146e-06,1.13e-06,-0.7071,17.5704,0.0,0.00e+00,-0.1275,1.1885,0.23586163240017277,0.2359,0.1132,-1.2679,0.2067178720102032,0.2067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.3023,9.534,0.0,0.00e+00,-0.062,1.127,0.26072951758440044,0.2607,0.8501,-9.225,0.0,0.00e+00,0.9315,-13.4511,0.0,0.00e+00,0.8818,-6.2615,1.885415601421414e-09,1.89e-09,1.0626,-8.4866,2.0650148258027912e-14,2.07e-14
WannaBet Weekly Tournaments,Grants Season 6,Cycle 25,Sent,35000,False,2024-09-01 00:00:00,35000,2024-08-30 - 2025-01-22,-0.8333,0.832,0.5574920267257086,0.5575,,,,nan,-0.8611,0.8602,0.5472581112876025,0.5473,,,,nan,-0.9861,0.986,0.5044320348784503,0.5044,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ether.fi OP Mainnet LRT Grant,Grants Season 6,Cycle 25,Sent,96000,False,2024-09-01 00:00:00,96000,2024-06-03 - 2025-01-22,-0.308,1.2348,0.22001922134763818,0.2200,0.4533,-5.8482,2.1868151067749864e-08,2.19e-08,-0.3577,1.3187,0.19056245210234968,0.1906,0.6422,-7.6504,1.0433875985427221e-12,1.04e-12,-0.5652,1.872,0.06444298539025772,0.0644,0.3516,-4.3444,2.3037882858734093e-05,2.30e-05,0.5359,-1.4793,0.14041349708886242,0.1404,132.0589,-7.3361,1.5055734436941748e-11,1.51e-11,2.6799,-8.6227,1.1102230246251565e-15,1.11e-15,16.1701,-13.869,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Expanding restaking on Optimism,Grants Season 6,Cycle 25,Sent,120000,False,2024-09-01 00:00:00,120000,2024-06-01 - 2025-01-22,-0.4739,1.2954,0.19727732413573484,0.1973,-0.1763,0.6543,0.5139726967813383,0.5140,-0.3611,1.054,0.2929899479612348,0.2930,-0.1759,0.6859,0.49380242347135495,0.4938,-1.0,1.0,0.3199622084762226,0.3200,-1.0,19.8144,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,-0.0751,1.1568,0.24896020176376066,0.2490,0.1861,-2.0777,0.038910481792163276,0.0389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FrameHack #2,Grants Season 6,Cycle 25,Sent,2000,False,2024-09-01 00:00:00,2000,2024-06-01 - 2025-01-22,-0.7007,10.1763,0.0,0.00e+00,-0.4579,10.2724,0.0,0.00e+00,-0.1293,2.5984,0.010469131599312398,0.0105,0.0443,-1.3662,0.17294800697151946,0.1729,-0.8647,3.1444,0.002226744136041514,0.0022,-0.6259,5.8882,1.7982226152568614e-08,1.80e-08,-0.7878,12.7124,0.0,0.00e+00,-0.6304,18.7963,0.0,0.00e+00,0.7262,-10.3142,0.0,0.00e+00,0.366,-8.2273,1.1102230246251565e-14,1.11e-14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Optimism GovQuests,Grants Season 6,Cycle 25,Sent,5000,False,2024-09-01 00:00:00,5000,2024-06-05 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,0.2464,-0.1823,0.8554689340371298,0.8555,9.8801,-1.3133,0.19119081769836588,0.1912,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Renzo Optimism Season 6 Mission Request - Optimism as base for LRTs,Grants Season 6,Cycle 25,Sent,120000,True,2024-11-14 00:00:00,0,2024-09-04 - 2025-01-22,-0.2835,4.6401,8.916575605422139e-06,8.92e-06,-0.1802,3.5118,0.0006019206302185776,0.0006,-0.2602,4.502,1.4190515373213586e-05,1.42e-05,-0.2223,4.5414,1.2067017472361385e-05,1.21e-05,-0.5034,10.0334,0.0,0.00e+00,-0.4056,7.8917,8.262279749260415e-13,8.26e-13,,,,nan,,,,nan,,-1.7577,0.08323165719254311,0.0832,,-1.7577,0.08323165719254311,0.0832,-0.0497,0.5029,0.6165396956240441,0.6165,0.8872,-4.055,9.57384399942196e-05,9.57e-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Event Horizon Public Access Voter Pool,Grants Season 6,Cycle 26,Sent,15000,False,2024-09-01 00:00:00,15000,2024-06-21 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,-1.0,1.0,0.3207065180409341,0.3207,-1.0,20.2475,0.0,0.00e+00,,,,nan,,,,nan,,1.0,0.3189996491678162,0.3190,,1.0,0.3189996491678162,0.3190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aragon <> RISC Zero - Joint partnership on crosschain voting,Grants Season 6,Cycle 26,Sent,1250,False,2024-09-01 00:00:00,1250,2024-09-19 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
