project,protocol,north_star,synthetic_control_group,post_grant_actual,percent_change,p_value
Renzo Optimism Season 6 Mission Request - Optimism as base for LRTs,renzo_protocol,TVL,1719566178.1198378,1464053945.523667,-0.1486,7.110166593271572e-07
Ether.fi OP Mainnet LRT Grant,ether__dot__fi_stake_protocol,TVL,5470898527.1692915,6438551502.5954685,0.1769,6.283862319378386e-14
Ether.fi OP Mainnet LRT Grant,ether__dot__fi_liquid_protocol,TVL,491522890.7435283,498403898.9704895,0.014,0.4972265876968889
Ether.fi OP Mainnet LRT Grant,ether__dot__fi_vaults_protocol,TVL,443411064.0056641,944873255.2652897,1.1309,0.0
Expanding restaking on Optimism,kelp_dao,TVL,769969328.7452271,997872197.737104,0.296,1.0714235584297072e-05
Expanding restaking on Optimism,kelp_rseth_protocol,TVL,784415963.0105058,1082717650.7287192,0.3803,1.0381953075011552e-09
Boosting LRT adoption with Compound Finance,compound_v2_protocol,TVL,715153276.5485286,644262714.6721402,-0.0991,3.780662449770489e-10
Boosting LRT adoption with Compound Finance,compound_finance,TVL,2057268252.2145286,2306169483.280234,0.121,4.6273284537434733e-08
Boosting LRT adoption with Compound Finance,compound_v1_protocol,TVL,3816628.1415397814,3211596.3794402685,-0.1585,5.9090030646302694e-08
TLX - Leveraged Tokens Protocol,tlx_finance_protocol,TVL,4206847.672051944,2362494.451073825,-0.4384,1.5277112908052004e-11
OETH on OP (2 of 3),origin_dollar_protocol,TVL,8084108.689907174,6356961.228288657,-0.2136,0.0
OETH on OP (2 of 3),origin_ether_protocol,TVL,109650948.41849346,154971424.42987147,0.4133,0.0
OETH on OP (2 of 3),origin_protocol,TVL,143322675.29592696,176369595.40144378,0.2306,1.061034593519139e-08
Extra Finance S6 Mission Application,extra_finance_leverage_farming_protocol,TVL,117707152.9495781,151024541.01758674,0.2831,0.0
Let's Get HAI,lets_get_hai_protocol,TVL,3325701.1155102574,3378572.3274769797,0.0159,0.539044393103943
Derive (Formerly Lyra) Chain - Intent 3B,derive_v1_protocol,TVL,1392093.7262204962,1320141.2293501343,-0.0517,0.0
Derive (Formerly Lyra) Chain - Intent 3B,derive_v2_protocol,TVL,56134750.60120636,78288407.2966188,0.3947,0.0
Derive (Formerly Lyra) Chain - Intent 3B,derive,TVL,57603077.15770526,68668504.437466,0.1921,3.588192436509985e-07
Yield Bearing asset utility with Compound,compound_v2_protocol,TVL,715458316.4764609,644262714.6721402,-0.0995,1.9359380765138212e-10
Yield Bearing asset utility with Compound,compound_finance,TVL,2063059761.4977827,2306169483.280234,0.1178,1.8118698741353967e-07
Yield Bearing asset utility with Compound,compound_v1_protocol,TVL,3795708.435416042,3211596.3794402685,-0.1539,1.7005708952133602e-07
Beefy - mooBIFI,beefy,TVL,265908027.70699412,278068949.93874484,0.0457,5.14341623780723e-06
Fraxtal Application,frax_swap_protocol,TVL,41686001.89000203,33691257.52328926,-0.1918,0.0
Fraxtal Application,frax_protocol,TVL,4696440.203853383,5457984.38270745,0.1622,2.961925593680803e-09
Fraxtal Application,frax_finance,TVL,395207728.6005218,358153424.36726195,-0.0938,7.933809686999638e-07
Fraxtal Application,frax_ether_protocol,TVL,467583129.5432092,409276994.2501837,-0.1247,0.0
Fraxtal Application,frax_fpi_protocol,TVL,763116.0890733325,860059.0705772483,0.127,0.0002547430232835435
OETH on OP 4,origin_dollar_protocol,TVL,8061343.270582612,6356961.228288657,-0.2114,0.0
OETH on OP 4,origin_ether_protocol,TVL,109722607.81281278,154971424.42987147,0.4124,0.0
OETH on OP 4,origin_protocol,TVL,143691925.2958961,176369595.40144378,0.2274,1.5235355865783617e-08
Contango ,contango_v1_protocol,TVL,399504.4872789333,373509.37312463083,-0.0651,1.461694377669076e-05
Contango ,contango,TVL,28514912.404303543,47211938.784659535,0.6557,0.0
Velodrome Finance,velodrome_v1_protocol,TVL,1317953.7025518487,1274784.7710873152,-0.0328,0.008533295147453268
Velodrome Finance,velodrome_v3_protocol,TVL,4584531.597836561,3560578.1886258386,-0.2233,0.027649147231965765
Velodrome Finance,velodrome_v2_protocol,TVL,89695839.28843507,86343772.4525702,-0.0374,0.005946228729962311
Velodrome Finance,velodrome,TVL,93919013.1746545,89650277.76465437,-0.0455,0.02722369971402694
Uniswap: YBA Grant,uniswap_v1_protocol,TVL,8412031.265526708,7934365.8720210735,-0.0568,2.981204013430272e-06
Uniswap: LRT Grant,uniswap_v1_protocol,TVL,8423534.945129357,7934365.8720210735,-0.0581,1.2782957790058447e-06
Idle - Credit Vaults III,idle_protocol,TVL,20879703.018266875,12443989.300977783,-0.404,0.0
dForce on OP (Resubmission II),dforce,TVL,975127.9591697885,2887201.088813761,1.9608,1.4947376669738333e-11
Ionic Superchain Borrow/Lend Aggregator,ionic_protocol_protocol,TVL,155479285.3567593,113307285.78531665,-0.2712,0.0
Derive (Formerly Lyra) Chain - Intent 3B Take 2,derive_v1_protocol,TVL,1386164.0396683025,1320141.2293501343,-0.0476,0.0
Derive (Formerly Lyra) Chain - Intent 3B Take 2,derive_v2_protocol,TVL,56374619.68916361,78288407.2966188,0.3887,4.440892098500626e-16
Derive (Formerly Lyra) Chain - Intent 3B Take 2,derive,TVL,57569772.897425145,68668504.437466,0.1928,5.665375444330323e-07
