transaction_date,address,transaction_cnt,active_users,total_transferred,unique_users,total_transferred_in_tokens,cum_transferred
2024-06-01,0x000000000022d473030f116ddee9f6b43ac78ba3,45.0,34.0,0.0,34.0,0.0,0.0
2024-06-02,0x000000000022d473030f116ddee9f6b43ac78ba3,87.0,62.0,0.0,61.0,0.0,0.0
2024-06-03,0x000000000022d473030f116ddee9f6b43ac78ba3,34.0,24.0,0.0,24.0,0.0,0.0
2024-06-04,0x000000000022d473030f116ddee9f6b43ac78ba3,34.0,25.0,0.0,25.0,0.0,0.0
2024-06-05,0x000000000022d473030f116ddee9f6b43ac78ba3,36.0,27.0,0.0,25.0,0.0,0.0
2024-06-06,0x000000000022d473030f116ddee9f6b43ac78ba3,27.0,25.0,0.0,25.0,0.0,0.0
2024-06-07,0x000000000022d473030f116ddee9f6b43ac78ba3,66.0,36.0,0.0,36.0,0.0,0.0
2024-06-08,0x000000000022d473030f116ddee9f6b43ac78ba3,52.0,32.0,0.0,29.0,0.0,0.0
2024-06-09,0x000000000022d473030f116ddee9f6b43ac78ba3,47.0,37.0,0.0,34.0,0.0,0.0
2024-06-10,0x000000000022d473030f116ddee9f6b43ac78ba3,48.0,31.0,0.0,30.0,0.0,0.0
2024-06-11,0x000000000022d473030f116ddee9f6b43ac78ba3,39.0,26.0,0.0,26.0,0.0,0.0
2024-06-12,0x000000000022d473030f116ddee9f6b43ac78ba3,35.0,21.0,0.0,20.0,0.0,0.0
2024-06-13,0x000000000022d473030f116ddee9f6b43ac78ba3,26.0,23.0,0.0,22.0,0.0,0.0
2024-06-14,0x000000000022d473030f116ddee9f6b43ac78ba3,47.0,32.0,0.0,24.0,0.0,0.0
2024-06-15,0x000000000022d473030f116ddee9f6b43ac78ba3,26.0,21.0,0.0,19.0,0.0,0.0
2024-06-16,0x000000000022d473030f116ddee9f6b43ac78ba3,61.0,39.0,0.0,33.0,0.0,0.0
2024-06-17,0x000000000022d473030f116ddee9f6b43ac78ba3,68.0,48.0,0.0,44.0,0.0,0.0
2024-06-18,0x000000000022d473030f116ddee9f6b43ac78ba3,53.0,38.0,0.0,31.0,0.0,0.0
2024-06-19,0x000000000022d473030f116ddee9f6b43ac78ba3,42.0,25.0,0.0,23.0,0.0,0.0
2024-06-20,0x000000000022d473030f116ddee9f6b43ac78ba3,91.0,63.0,0.0,54.0,0.0,0.0
2024-06-21,0x000000000022d473030f116ddee9f6b43ac78ba3,93.0,71.0,0.0,62.0,0.0,0.0
2024-06-22,0x000000000022d473030f116ddee9f6b43ac78ba3,62.0,45.0,0.0,37.0,0.0,0.0
2024-06-23,0x000000000022d473030f116ddee9f6b43ac78ba3,68.0,44.0,0.0,34.0,0.0,0.0
2024-06-24,0x000000000022d473030f116ddee9f6b43ac78ba3,50.0,31.0,0.0,29.0,0.0,0.0
2024-06-25,0x000000000022d473030f116ddee9f6b43ac78ba3,41.0,29.0,0.0,25.0,0.0,0.0
2024-06-26,0x000000000022d473030f116ddee9f6b43ac78ba3,39.0,26.0,0.0,22.0,0.0,0.0
2024-06-27,0x000000000022d473030f116ddee9f6b43ac78ba3,43.0,32.0,0.0,25.0,0.0,0.0
2024-06-28,0x000000000022d473030f116ddee9f6b43ac78ba3,43.0,33.0,0.0,27.0,0.0,0.0
2024-06-29,0x000000000022d473030f116ddee9f6b43ac78ba3,41.0,31.0,0.0,24.0,0.0,0.0
2024-06-30,0x000000000022d473030f116ddee9f6b43ac78ba3,88.0,78.0,0.0,72.0,0.0,0.0
2024-07-01,0x000000000022d473030f116ddee9f6b43ac78ba3,35.0,27.0,0.0,21.0,0.0,0.0
2024-07-02,0x000000000022d473030f116ddee9f6b43ac78ba3,51.0,39.0,0.0,33.0,0.0,0.0
2024-07-03,0x000000000022d473030f116ddee9f6b43ac78ba3,61.0,43.0,0.0,34.0,0.0,0.0
2024-07-04,0x000000000022d473030f116ddee9f6b43ac78ba3,63.0,46.0,0.0,37.0,0.0,0.0
2024-07-05,0x000000000022d473030f116ddee9f6b43ac78ba3,33.0,23.0,0.0,15.0,0.0,0.0
2024-07-06,0x000000000022d473030f116ddee9f6b43ac78ba3,37.0,28.0,0.0,22.0,0.0,0.0
2024-07-07,0x000000000022d473030f116ddee9f6b43ac78ba3,56.0,46.0,0.0,35.0,0.0,0.0
2024-07-08,0x000000000022d473030f116ddee9f6b43ac78ba3,620.0,538.0,0.0,478.0,0.0,0.0
2024-07-09,0x000000000022d473030f116ddee9f6b43ac78ba3,263.0,222.0,0.0,181.0,0.0,0.0
2024-07-10,0x000000000022d473030f116ddee9f6b43ac78ba3,120.0,98.0,0.0,79.0,0.0,0.0
2024-07-11,0x000000000022d473030f116ddee9f6b43ac78ba3,158.0,123.0,0.0,91.0,0.0,0.0
2024-07-12,0x000000000022d473030f116ddee9f6b43ac78ba3,128.0,97.0,0.0,77.0,0.0,0.0
2024-07-13,0x000000000022d473030f116ddee9f6b43ac78ba3,111.0,88.0,0.0,65.0,0.0,0.0
2024-07-14,0x000000000022d473030f116ddee9f6b43ac78ba3,110.0,81.0,0.0,64.0,0.0,0.0
2024-07-15,0x000000000022d473030f116ddee9f6b43ac78ba3,102.0,81.0,0.0,66.0,0.0,0.0
2024-07-16,0x000000000022d473030f116ddee9f6b43ac78ba3,1068.0,805.0,0.0,695.0,0.0,0.0
2024-07-17,0x000000000022d473030f116ddee9f6b43ac78ba3,217.0,164.0,0.0,133.0,0.0,0.0
2024-07-18,0x000000000022d473030f116ddee9f6b43ac78ba3,106.0,85.0,0.0,69.0,0.0,0.0
2024-07-19,0x000000000022d473030f116ddee9f6b43ac78ba3,98.0,75.0,0.0,59.0,0.0,0.0
2024-07-20,0x000000000022d473030f116ddee9f6b43ac78ba3,108.0,82.0,0.0,67.0,0.0,0.0
2024-07-21,0x000000000022d473030f116ddee9f6b43ac78ba3,111.0,86.0,0.0,57.0,0.0,0.0
2024-07-22,0x000000000022d473030f116ddee9f6b43ac78ba3,100.0,77.0,0.0,66.0,0.0,0.0
2024-07-23,0x000000000022d473030f116ddee9f6b43ac78ba3,92.0,70.0,0.0,51.0,0.0,0.0
2024-07-24,0x000000000022d473030f116ddee9f6b43ac78ba3,55.0,46.0,0.0,34.0,0.0,0.0
2024-07-25,0x000000000022d473030f116ddee9f6b43ac78ba3,41.0,29.0,0.0,21.0,0.0,0.0
2024-07-26,0x000000000022d473030f116ddee9f6b43ac78ba3,58.0,41.0,0.0,32.0,0.0,0.0
2024-07-27,0x000000000022d473030f116ddee9f6b43ac78ba3,38.0,26.0,0.0,20.0,0.0,0.0
2024-07-28,0x000000000022d473030f116ddee9f6b43ac78ba3,51.0,40.0,0.0,32.0,0.0,0.0
2024-07-29,0x000000000022d473030f116ddee9f6b43ac78ba3,67.0,56.0,0.0,43.0,0.0,0.0
2024-07-30,0x000000000022d473030f116ddee9f6b43ac78ba3,93.0,59.0,0.0,42.0,0.0,0.0
2024-07-31,0x000000000022d473030f116ddee9f6b43ac78ba3,85.0,56.0,0.0,43.0,0.0,0.0
2024-08-01,0x000000000022d473030f116ddee9f6b43ac78ba3,148.0,122.0,0.0,99.0,0.0,0.0
2024-08-02,0x000000000022d473030f116ddee9f6b43ac78ba3,348.0,297.0,0.0,248.0,0.0,0.0
2024-08-03,0x000000000022d473030f116ddee9f6b43ac78ba3,252.0,207.0,0.0,183.0,0.0,0.0
2024-08-04,0x000000000022d473030f116ddee9f6b43ac78ba3,268.0,234.0,0.0,199.0,0.0,0.0
2024-08-05,0x000000000022d473030f116ddee9f6b43ac78ba3,208.0,171.0,0.0,145.0,0.0,0.0
2024-08-06,0x000000000022d473030f116ddee9f6b43ac78ba3,169.0,139.0,0.0,119.0,0.0,0.0
2024-08-07,0x000000000022d473030f116ddee9f6b43ac78ba3,190.0,145.0,0.0,123.0,0.0,0.0
2024-08-08,0x000000000022d473030f116ddee9f6b43ac78ba3,167.0,136.0,0.0,120.0,0.0,0.0
2024-08-09,0x000000000022d473030f116ddee9f6b43ac78ba3,328.0,214.0,0.0,187.0,0.0,0.0
2024-08-10,0x000000000022d473030f116ddee9f6b43ac78ba3,824.0,353.0,0.0,322.0,0.0,0.0
2024-08-11,0x000000000022d473030f116ddee9f6b43ac78ba3,468.0,229.0,0.0,199.0,0.0,0.0
2024-08-12,0x000000000022d473030f116ddee9f6b43ac78ba3,347.0,158.0,0.0,137.0,0.0,0.0
2024-08-13,0x000000000022d473030f116ddee9f6b43ac78ba3,291.0,152.0,0.0,125.0,0.0,0.0
2024-08-14,0x000000000022d473030f116ddee9f6b43ac78ba3,428.0,183.0,0.0,162.0,0.0,0.0
2024-08-15,0x000000000022d473030f116ddee9f6b43ac78ba3,309.0,148.0,0.0,128.0,0.0,0.0
2024-08-16,0x000000000022d473030f116ddee9f6b43ac78ba3,325.0,158.0,0.0,139.0,0.0,0.0
2024-08-17,0x000000000022d473030f116ddee9f6b43ac78ba3,453.0,184.0,0.0,164.0,0.0,0.0
2024-08-18,0x000000000022d473030f116ddee9f6b43ac78ba3,429.0,168.0,0.0,145.0,0.0,0.0
2024-08-19,0x000000000022d473030f116ddee9f6b43ac78ba3,226.0,114.0,0.0,84.0,0.0,0.0
2024-08-20,0x000000000022d473030f116ddee9f6b43ac78ba3,288.0,133.0,0.0,112.0,0.0,0.0
2024-08-21,0x000000000022d473030f116ddee9f6b43ac78ba3,228.0,98.0,0.0,76.0,0.0,0.0
2024-08-22,0x000000000022d473030f116ddee9f6b43ac78ba3,197.0,86.0,0.0,69.0,0.0,0.0
2024-08-23,0x000000000022d473030f116ddee9f6b43ac78ba3,297.0,130.0,0.0,115.0,0.0,0.0
2024-08-24,0x000000000022d473030f116ddee9f6b43ac78ba3,201.0,107.0,0.0,79.0,0.0,0.0
2024-08-25,0x000000000022d473030f116ddee9f6b43ac78ba3,194.0,91.0,0.0,83.0,0.0,0.0
2024-08-26,0x000000000022d473030f116ddee9f6b43ac78ba3,205.0,104.0,0.0,80.0,0.0,0.0
2024-08-27,0x000000000022d473030f116ddee9f6b43ac78ba3,176.0,83.0,0.0,54.0,0.0,0.0
2024-08-28,0x000000000022d473030f116ddee9f6b43ac78ba3,162.0,78.0,0.0,60.0,0.0,0.0
2024-08-29,0x000000000022d473030f116ddee9f6b43ac78ba3,167.0,76.0,0.0,58.0,0.0,0.0
2024-08-30,0x000000000022d473030f116ddee9f6b43ac78ba3,136.0,68.0,0.0,58.0,0.0,0.0
2024-08-31,0x000000000022d473030f116ddee9f6b43ac78ba3,161.0,67.0,0.0,47.0,0.0,0.0
2024-09-01,0x000000000022d473030f116ddee9f6b43ac78ba3,191.0,104.0,0.0,83.0,0.0,0.0
2024-09-02,0x000000000022d473030f116ddee9f6b43ac78ba3,174.0,78.0,0.0,63.0,0.0,0.0
2024-09-03,0x000000000022d473030f116ddee9f6b43ac78ba3,159.0,70.0,0.0,53.0,0.0,0.0
2024-09-04,0x000000000022d473030f116ddee9f6b43ac78ba3,159.0,85.0,0.0,68.0,0.0,0.0
2024-09-05,0x000000000022d473030f116ddee9f6b43ac78ba3,149.0,77.0,0.0,55.0,0.0,0.0
2024-09-06,0x000000000022d473030f116ddee9f6b43ac78ba3,95.0,52.0,0.0,33.0,0.0,0.0
2024-09-07,0x000000000022d473030f116ddee9f6b43ac78ba3,166.0,98.0,0.0,70.0,0.0,0.0
2024-09-08,0x000000000022d473030f116ddee9f6b43ac78ba3,180.0,78.0,0.0,57.0,0.0,0.0
2024-09-09,0x000000000022d473030f116ddee9f6b43ac78ba3,163.0,101.0,0.0,63.0,0.0,0.0
2024-09-10,0x000000000022d473030f116ddee9f6b43ac78ba3,225.0,111.0,0.0,84.0,0.0,0.0
2024-09-11,0x000000000022d473030f116ddee9f6b43ac78ba3,538.0,437.0,0.0,295.0,0.0,0.0
2024-09-12,0x000000000022d473030f116ddee9f6b43ac78ba3,277.0,181.0,0.0,128.0,0.0,0.0
2024-09-13,0x000000000022d473030f116ddee9f6b43ac78ba3,201.0,84.0,0.0,72.0,0.0,0.0
2024-09-14,0x000000000022d473030f116ddee9f6b43ac78ba3,135.0,92.0,0.0,64.0,0.0,0.0
2024-09-15,0x000000000022d473030f116ddee9f6b43ac78ba3,107.0,61.0,0.0,49.0,0.0,0.0
2024-09-16,0x000000000022d473030f116ddee9f6b43ac78ba3,105.0,58.0,0.0,39.0,0.0,0.0
2024-09-17,0x000000000022d473030f116ddee9f6b43ac78ba3,111.0,67.0,0.0,53.0,0.0,0.0
2024-09-18,0x000000000022d473030f116ddee9f6b43ac78ba3,143.0,71.0,0.0,47.0,0.0,0.0
2024-09-19,0x000000000022d473030f116ddee9f6b43ac78ba3,137.0,85.0,0.0,49.0,0.0,0.0
2024-09-20,0x000000000022d473030f116ddee9f6b43ac78ba3,141.0,84.0,0.0,55.0,0.0,0.0
2024-09-21,0x000000000022d473030f116ddee9f6b43ac78ba3,267.0,128.0,0.0,94.0,0.0,0.0
2024-09-22,0x000000000022d473030f116ddee9f6b43ac78ba3,133.0,89.0,0.0,61.0,0.0,0.0
2024-09-23,0x000000000022d473030f116ddee9f6b43ac78ba3,95.0,65.0,0.0,45.0,0.0,0.0
2024-09-24,0x000000000022d473030f116ddee9f6b43ac78ba3,273.0,117.0,0.0,93.0,0.0,0.0
2024-09-25,0x000000000022d473030f116ddee9f6b43ac78ba3,146.0,92.0,0.0,66.0,0.0,0.0
2024-09-26,0x000000000022d473030f116ddee9f6b43ac78ba3,129.0,72.0,0.0,57.0,0.0,0.0
2024-09-27,0x000000000022d473030f116ddee9f6b43ac78ba3,195.0,112.0,0.0,78.0,0.0,0.0
2024-09-28,0x000000000022d473030f116ddee9f6b43ac78ba3,159.0,95.0,0.0,73.0,0.0,0.0
2024-09-29,0x000000000022d473030f116ddee9f6b43ac78ba3,178.0,109.0,0.0,87.0,0.0,0.0
2024-09-30,0x000000000022d473030f116ddee9f6b43ac78ba3,198.0,121.0,0.0,93.0,0.0,0.0
2024-10-01,0x000000000022d473030f116ddee9f6b43ac78ba3,146.0,82.0,0.0,68.0,0.0,0.0
2024-10-02,0x000000000022d473030f116ddee9f6b43ac78ba3,109.0,73.0,0.0,44.0,0.0,0.0
2024-10-03,0x000000000022d473030f116ddee9f6b43ac78ba3,86.0,56.0,0.0,40.0,0.0,0.0
2024-10-04,0x000000000022d473030f116ddee9f6b43ac78ba3,84.0,53.0,0.0,40.0,0.0,0.0
2024-10-05,0x000000000022d473030f116ddee9f6b43ac78ba3,98.0,54.0,0.0,39.0,0.0,0.0
2024-10-06,0x000000000022d473030f116ddee9f6b43ac78ba3,119.0,59.0,0.0,45.0,0.0,0.0
2024-10-07,0x000000000022d473030f116ddee9f6b43ac78ba3,85.0,39.0,0.0,26.0,0.0,0.0
2024-10-08,0x000000000022d473030f116ddee9f6b43ac78ba3,106.0,58.0,0.0,41.0,0.0,0.0
2024-10-09,0x000000000022d473030f116ddee9f6b43ac78ba3,213.0,117.0,0.0,75.0,0.0,0.0
2024-10-10,0x000000000022d473030f116ddee9f6b43ac78ba3,384.0,210.0,0.0,145.0,0.0,0.0
2024-10-11,0x000000000022d473030f116ddee9f6b43ac78ba3,294.0,158.0,0.0,102.0,0.0,0.0
2024-10-12,0x000000000022d473030f116ddee9f6b43ac78ba3,300.0,182.0,0.0,125.0,0.0,0.0
2024-10-13,0x000000000022d473030f116ddee9f6b43ac78ba3,294.0,171.0,0.0,108.0,0.0,0.0
2024-10-14,0x000000000022d473030f116ddee9f6b43ac78ba3,382.0,244.0,0.0,151.0,0.0,0.0
2024-10-15,0x000000000022d473030f116ddee9f6b43ac78ba3,318.0,197.0,0.0,135.0,0.0,0.0
2024-10-16,0x000000000022d473030f116ddee9f6b43ac78ba3,892.0,439.0,0.0,343.0,0.0,0.0
2024-10-17,0x000000000022d473030f116ddee9f6b43ac78ba3,2087.0,922.0,0.0,754.0,0.0,0.0
2024-10-18,0x000000000022d473030f116ddee9f6b43ac78ba3,844.0,407.0,0.0,324.0,0.0,0.0
2024-10-19,0x000000000022d473030f116ddee9f6b43ac78ba3,597.0,302.0,0.0,240.0,0.0,0.0
2024-10-20,0x000000000022d473030f116ddee9f6b43ac78ba3,471.0,262.0,0.0,202.0,0.0,0.0
2024-10-21,0x000000000022d473030f116ddee9f6b43ac78ba3,538.0,269.0,0.0,194.0,0.0,0.0
2024-10-22,0x000000000022d473030f116ddee9f6b43ac78ba3,460.0,236.0,0.0,185.0,0.0,0.0
2024-10-23,0x000000000022d473030f116ddee9f6b43ac78ba3,700.0,374.0,0.0,299.0,0.0,0.0
2024-10-24,0x000000000022d473030f116ddee9f6b43ac78ba3,657.0,329.0,0.0,246.0,0.0,0.0
2024-10-25,0x000000000022d473030f116ddee9f6b43ac78ba3,553.0,287.0,0.0,214.0,0.0,0.0
2024-10-26,0x000000000022d473030f116ddee9f6b43ac78ba3,420.0,236.0,0.0,168.0,0.0,0.0
2024-10-27,0x000000000022d473030f116ddee9f6b43ac78ba3,480.0,256.0,0.0,175.0,0.0,0.0
2024-10-28,0x000000000022d473030f116ddee9f6b43ac78ba3,272.0,158.0,0.0,124.0,0.0,0.0
2024-10-29,0x000000000022d473030f116ddee9f6b43ac78ba3,360.0,191.0,0.0,136.0,0.0,0.0
2024-10-30,0x000000000022d473030f116ddee9f6b43ac78ba3,326.0,206.0,0.0,157.0,0.0,0.0
2024-10-31,0x000000000022d473030f116ddee9f6b43ac78ba3,355.0,199.0,0.0,151.0,0.0,0.0
2024-11-01,0x000000000022d473030f116ddee9f6b43ac78ba3,257.0,147.0,0.0,113.0,0.0,0.0
2024-11-02,0x000000000022d473030f116ddee9f6b43ac78ba3,369.0,181.0,0.0,122.0,0.0,0.0
2024-11-03,0x000000000022d473030f116ddee9f6b43ac78ba3,392.0,202.0,0.0,144.0,0.0,0.0
2024-11-04,0x000000000022d473030f116ddee9f6b43ac78ba3,276.0,180.0,0.0,128.0,0.0,0.0
2024-11-05,0x000000000022d473030f116ddee9f6b43ac78ba3,224.0,106.0,0.0,72.0,0.0,0.0
2024-11-06,0x000000000022d473030f116ddee9f6b43ac78ba3,218.0,134.0,0.0,88.0,0.0,0.0
2024-11-07,0x000000000022d473030f116ddee9f6b43ac78ba3,211.0,102.0,0.0,65.0,0.0,0.0
2024-11-08,0x000000000022d473030f116ddee9f6b43ac78ba3,189.0,92.0,0.0,53.0,0.0,0.0
2024-11-09,0x000000000022d473030f116ddee9f6b43ac78ba3,162.0,107.0,0.0,61.0,0.0,0.0
2024-11-10,0x000000000022d473030f116ddee9f6b43ac78ba3,175.0,95.0,0.0,56.0,0.0,0.0
2024-11-11,0x000000000022d473030f116ddee9f6b43ac78ba3,167.0,100.0,0.0,70.0,0.0,0.0
2024-11-12,0x000000000022d473030f116ddee9f6b43ac78ba3,160.0,102.0,0.0,70.0,0.0,0.0
2024-11-13,0x000000000022d473030f116ddee9f6b43ac78ba3,168.0,104.0,0.0,72.0,0.0,0.0
2024-11-14,0x000000000022d473030f116ddee9f6b43ac78ba3,150.0,81.0,0.0,49.0,0.0,0.0
2024-11-15,0x000000000022d473030f116ddee9f6b43ac78ba3,136.0,86.0,0.0,58.0,0.0,0.0
2024-11-16,0x000000000022d473030f116ddee9f6b43ac78ba3,151.0,88.0,0.0,56.0,0.0,0.0
2024-11-17,0x000000000022d473030f116ddee9f6b43ac78ba3,160.0,101.0,0.0,64.0,0.0,0.0
2024-11-18,0x000000000022d473030f116ddee9f6b43ac78ba3,177.0,103.0,0.0,59.0,0.0,0.0
2024-11-19,0x000000000022d473030f116ddee9f6b43ac78ba3,150.0,86.0,0.0,52.0,0.0,0.0
2024-11-20,0x000000000022d473030f116ddee9f6b43ac78ba3,171.0,110.0,0.0,67.0,0.0,0.0
2024-11-21,0x000000000022d473030f116ddee9f6b43ac78ba3,234.0,136.0,0.0,96.0,0.0,0.0
2024-11-22,0x000000000022d473030f116ddee9f6b43ac78ba3,117.0,84.0,0.0,46.0,0.0,0.0
2024-11-23,0x000000000022d473030f116ddee9f6b43ac78ba3,112.0,71.0,0.0,50.0,0.0,0.0
