transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-05,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-06-07,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,1,0.0,0.0,0.0,0.0
2024-06-11,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,1,0.0,0.0,0.0,0.0
2024-06-12,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,1,0.0,0.0,0.0,0.0
2024-06-18,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-06-26,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-07-03,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-07-10,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-07-16,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,1,0.0,0.0,0.0,0.0
2024-07-17,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,1,0.0,0.0,0.0,0.0
2024-07-24,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-08-07,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-08-21,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-08-23,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-08-28,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-09-04,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-09-11,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-09-11,0xc78d4395f6ed4e7037faffe634b7b3f8af376a8d,1,0.0,0.0,0.0,0.0
2024-09-18,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-09-25,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
2024-10-01,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,1,0.0,0.0,0.0,0.0
2024-10-02,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,3,0.0,0.0,0.0,0.0
2024-11-04,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,1,0.0,0.0,0.0,0.0
2024-11-26,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,1,0.0,0.0,0.0,0.0
2024-12-13,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,1,0.0,0.0,0.0,0.0
2024-12-23,0xc78d4395f6ed4e7037faffe634b7b3f8af376a8d,1,0.0,0.0,0.0,0.0
2024-12-31,0x3b5a0fc12f8fd8b26d251f28258d1d172f930f8a,2,0.0,0.0,0.0,0.0
