date,token,value,readable_date
1538006400,WETH,5316.98053,2018-09-27 00:00:00
1538006400,BAT,27555.34093,2018-09-27 00:00:00
1538006400,ZRX,59833.73644,2018-09-27 00:00:00
1538092800,BAT,44818.2094,2018-09-28 00:00:00
1538092800,WETH,1380536.99522,2018-09-28 00:00:00
1538092800,ZRX,241596.63788,2018-09-28 00:00:00
1538179200,WETH,2021007.2101,2018-09-29 00:00:00
1538179200,ZRX,382159.11059,2018-09-29 00:00:00
1538179200,BAT,143583.32192,2018-09-29 00:00:00
1538265600,BAT,69524.49067,2018-09-30 00:00:00
1538265600,WETH,2407957.46992,2018-09-30 00:00:00
1538265600,ZRX,394399.48406,2018-09-30 00:00:00
1538352000,ZRX,398046.23566,2018-10-01 00:00:00
1538352000,WETH,2610079.70761,2018-10-01 00:00:00
1538352000,BAT,155045.42825,2018-10-01 00:00:00
1538438400,BAT,179811.76303,2018-10-02 00:00:00
1538438400,WETH,2615615.87849,2018-10-02 00:00:00
1538438400,ZRX,386822.43283,2018-10-02 00:00:00
1538524800,WETH,2625727.50393,2018-10-03 00:00:00
1538524800,BAT,194668.3518,2018-10-03 00:00:00
1538524800,ZRX,393894.54574,2018-10-03 00:00:00
1538611200,WETH,2319240.58692,2018-10-04 00:00:00
1538611200,BAT,185528.15019,2018-10-04 00:00:00
1538611200,ZRX,375300.29584,2018-10-04 00:00:00
1538697600,ZRX,396628.15745,2018-10-05 00:00:00
1538697600,BAT,197728.13415,2018-10-05 00:00:00
1538697600,WETH,2143248.88756,2018-10-05 00:00:00
1538784000,BAT,203426.15778,2018-10-06 00:00:00
1538784000,WETH,2171356.85609,2018-10-06 00:00:00
1538784000,ZRX,396735.55394,2018-10-06 00:00:00
1538870400,WETH,2143883.6254,2018-10-07 00:00:00
1538870400,ZRX,423497.18896,2018-10-07 00:00:00
1538870400,BAT,191977.13198,2018-10-07 00:00:00
1538956800,WETH,1899116.34949,2018-10-08 00:00:00
1538956800,ZRX,413548.01346,2018-10-08 00:00:00
1538956800,BAT,134959.13236,2018-10-08 00:00:00
1539043200,WETH,1963117.4871,2018-10-09 00:00:00
1539043200,BAT,137795.05188,2018-10-09 00:00:00
1539043200,ZRX,403137.29304,2018-10-09 00:00:00
1539129600,WETH,1960933.65182,2018-10-10 00:00:00
1539129600,BAT,153583.94004,2018-10-10 00:00:00
1539129600,ZRX,415530.53308,2018-10-10 00:00:00
1539216000,WETH,1950223.47577,2018-10-11 00:00:00
1539216000,ZRX,423244.63737,2018-10-11 00:00:00
1539216000,BAT,151626.95854,2018-10-11 00:00:00
1539302400,ZRX,435874.22267,2018-10-12 00:00:00
1539302400,BAT,136583.54483,2018-10-12 00:00:00
1539302400,WETH,1614578.03776,2018-10-12 00:00:00
1539388800,WETH,1672258.29562,2018-10-13 00:00:00
1539388800,ZRX,425468.52339,2018-10-13 00:00:00
1539388800,BAT,157202.02157,2018-10-13 00:00:00
1539475200,BAT,153802.46032,2018-10-14 00:00:00
1539475200,ZRX,421961.80659,2018-10-14 00:00:00
1539475200,WETH,1707572.10286,2018-10-14 00:00:00
1539561600,ZRX,404015.18385,2018-10-15 00:00:00
1539561600,WETH,1684622.14527,2018-10-15 00:00:00
1539561600,BAT,153133.39696,2018-10-15 00:00:00
1539648000,BAT,166461.82869,2018-10-16 00:00:00
1539648000,WETH,1779244.8183,2018-10-16 00:00:00
1539648000,ZRX,420638.52313,2018-10-16 00:00:00
1539734400,ZRX,495063.69404,2018-10-17 00:00:00
1539734400,BAT,173932.31763,2018-10-17 00:00:00
1539734400,WETH,1772614.77051,2018-10-17 00:00:00
1539820800,BAT,315093.84235,2018-10-18 00:00:00
1539820800,ZRX,499403.50748,2018-10-18 00:00:00
1539820800,WETH,2167932.86623,2018-10-18 00:00:00
1539907200,WETH,1794248.81878,2018-10-19 00:00:00
1539907200,BAT,346923.94365,2018-10-19 00:00:00
1539907200,ZRX,794013.8762,2018-10-19 00:00:00
1539993600,WETH,1796624.2111,2018-10-20 00:00:00
1539993600,BAT,391861.06842,2018-10-20 00:00:00
1539993600,ZRX,960523.93562,2018-10-20 00:00:00
1540080000,WETH,1807495.07529,2018-10-21 00:00:00
1540080000,ZRX,971688.892,2018-10-21 00:00:00
1540080000,BAT,401616.15156,2018-10-21 00:00:00
1540166400,BAT,462864.45453,2018-10-22 00:00:00
1540166400,WETH,1819634.42009,2018-10-22 00:00:00
1540166400,ZRX,881028.87254,2018-10-22 00:00:00
1540252800,ZRX,1008864.41333,2018-10-23 00:00:00
1540252800,BAT,471282.1925,2018-10-23 00:00:00
1540252800,WETH,1825036.55904,2018-10-23 00:00:00
1540339200,ZRX,1072491.83015,2018-10-24 00:00:00
1540339200,BAT,440952.36791,2018-10-24 00:00:00
1540339200,WETH,1808450.63156,2018-10-24 00:00:00
1540425600,ZRX,1271364.84109,2018-10-25 00:00:00
1540425600,BAT,493999.27258,2018-10-25 00:00:00
1540425600,WETH,1848670.89839,2018-10-25 00:00:00
1540512000,ZRX,1300333.06312,2018-10-26 00:00:00
1540512000,BAT,479308.20719,2018-10-26 00:00:00
1540512000,WETH,1778276.91511,2018-10-26 00:00:00
1540598400,WETH,1820057.38546,2018-10-27 00:00:00
1540598400,ZRX,1230692.21747,2018-10-27 00:00:00
1540598400,BAT,514773.33604,2018-10-27 00:00:00
1540684800,BAT,483440.63359,2018-10-28 00:00:00
1540684800,ZRX,1190021.14859,2018-10-28 00:00:00
1540684800,WETH,1793350.71327,2018-10-28 00:00:00
1540771200,ZRX,1250896.94464,2018-10-29 00:00:00
1540771200,WETH,1799364.57969,2018-10-29 00:00:00
1540771200,BAT,528626.12414,2018-10-29 00:00:00
1540857600,WETH,1707303.35711,2018-10-30 00:00:00
1540857600,BAT,490148.84809,2018-10-30 00:00:00
1540857600,ZRX,1161829.11966,2018-10-30 00:00:00
1540944000,BAT,514533.8382,2018-10-31 00:00:00
1540944000,WETH,1713654.81748,2018-10-31 00:00:00
1540944000,ZRX,1179662.20051,2018-10-31 00:00:00
1541030400,WETH,1740512.96382,2018-11-01 00:00:00
1541030400,BAT,482327.54487,2018-11-01 00:00:00
1541030400,ZRX,1181223.53938,2018-11-01 00:00:00
1541116800,BAT,488186.8417,2018-11-02 00:00:00
1541116800,ZRX,1229719.54561,2018-11-02 00:00:00
1541116800,WETH,1766040.6502,2018-11-02 00:00:00
1541203200,WETH,1301589.98909,2018-11-03 00:00:00
1541203200,ZRX,1245317.05148,2018-11-03 00:00:00
1541203200,BAT,521922.59385,2018-11-03 00:00:00
1541289600,WETH,2185986.5241,2018-11-04 00:00:00
1541289600,ZRX,1219174.37196,2018-11-04 00:00:00
1541289600,BAT,486358.96381,2018-11-04 00:00:00
1541376000,BAT,503587.54768,2018-11-05 00:00:00
1541376000,ZRX,1180625.35523,2018-11-05 00:00:00
1541376000,WETH,1913521.20497,2018-11-05 00:00:00
1541462400,WETH,1921595.588,2018-11-06 00:00:00
1541462400,BAT,517967.2746,2018-11-06 00:00:00
1541462400,ZRX,1188367.73473,2018-11-06 00:00:00
1541548800,ZRX,1194328.00404,2018-11-07 00:00:00
1541548800,WETH,2028194.32478,2018-11-07 00:00:00
1541548800,BAT,534411.11054,2018-11-07 00:00:00
1541635200,ZRX,1182923.63154,2018-11-08 00:00:00
