transaction_date,from_address,to_address,cnt,total_op_transferred,total_op_transferred_in_tokens,direction
2024-06-17,0xc6f768a399ce1421b2c0295e2a98d33a8292c398,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-07-03,0x7e08dedc55d920253cdbd5d792426f59f097c847,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-06-22,0xfdd99b2e5aa538d5c1b6cd7fd1c3328beb6a7033,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-18,0xd8f41ab36516bd850ec32916dab9ff3c965e6477,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-18,0x0f540466695cf91203ed8cbca3065fe7232154b9,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-18,0xacd06b86168acca1e3df83e45b5922cacdd1f0c7,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-10-14,0xf9867278e13c908c08e2df54966540229fa5ffd8,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-07-15,0xed031d889799c2ba5afacad5c67b048010f86c6f,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-27,0xb535f544ad285e5ccb4dbd93a4b80d34f34d4711,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-06-19,0x5cf1a292e6268e07c3549fcc6fd0973fe099e351,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-07-20,0x5b0f665d645f5378ce76b6f2a15be0c5c2657419,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-06-24,0xbac5be3dc5aeff67c24962746317b4fb05580a23,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-29,0x410d2b009cb146db3a18a511cd01aa9c1e4ecbe8,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-17,0x2c66614bbbe0e0891458118fe6067eced8aadb13,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-17,0x6fb8b82662e59a5f59619bbf9852c6f05d7b5208,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-07-14,0x35ef336db9a7e48835b1308734b7ef04cf6fb890,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-29,0x77e8127cdd83a37e1189adc668b35adbfdd149b2,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,15,0,0.0,in
2024-06-18,0x395fc9a7b8b2371721aaceba07cf7ae23f55ba14,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,15,0,0.0,in
2024-07-20,0xf60c24aa08f1c6af96066164782e8a867f596779,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-07-09,0x0f9ec279d6c990493805391ed2a7ac6fb89eee26,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-17,0x87058292f212cc4eb6560debae7283d3cf0a5b3f,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-07-06,0xc2e157397df935fd8054b0daba4e7cbbd78473ef,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-07-13,0xd0e8c36c0e21784be0cf354d312bdb2eae0bca41,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-07-03,0x0b776552c1aef1dc33005dd25acda22493b6615d,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,18,0,0.0,in
2024-06-17,0x20c28c5c550f1c349785f60617545b51cc30263e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,17,0,0.0,in
2024-06-18,0xe44c4dbd6c59d5eb856cbd98aa6d6e315087698b,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,18,0,0.0,in
2024-07-03,0x4c1c29228e8774747e6b61e18ee734005973a80c,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-17,0x340ba3649524e222aea2227d132d661d8fbb9474,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-22,0xd524bd7085b7861b431057e9d2fa0b858149f3ba,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-07-01,0x0557b59adc65de4553eaa9c380c19bdf1853c89d,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-07-16,0xf3426488349353a8c53cd9f8bcb645b9a1da0573,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-08-19,0xf74c7298138190bba9b7b858976455abdc25a83d,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-06-27,0xfac29384a3c5bd8d42aff0086697e4ab2b962efc,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-07-03,0x54e194e23488c31946af187784c72f1eb622205f,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-17,0x416585400014c38c5c983767ef74a4531a645f83,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-17,0x78fb8b2fd28c1f34cc6bc15813cacccc5d8c5454,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-19,0xfb4b068f1a81c08290fa922a50867646bf81bdd2,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,15,0,0.0,in
2024-10-11,0xf9867278e13c908c08e2df54966540229fa5ffd8,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,22,0,0.0,in
2024-07-07,0x0b776552c1aef1dc33005dd25acda22493b6615d,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,18,0,0.0,in
2024-06-17,0x767ddacab4ce3e2c452bc7a403cd11d14c21f319,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-18,0x78376e7a7bf351c24206ec3493cc33c342bf25ce,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-08-10,0xaaaaaab70e084f7014b615c502f7b082c243d175,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,23,0,0.0,in
2024-06-21,0x2c640e60c2b388a595ac805a2283f6b6f2ad7fec,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-18,0x738c5dbca9f2d022174c7abf99da5bec001fc54d,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-19,0x3cedac02797e9500efce588fee51a7b668b136e3,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,15,0,0.0,in
2024-08-29,0x0b776552c1aef1dc33005dd25acda22493b6615d,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,20,0,0.0,in
2024-06-28,0x4adcbebaaf46ea04e41f253c587fac65e9291fdc,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,16,0,0.0,in
2024-06-18,0x33bd8d5a4f40285df90694ccb29d6f5859c3977e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-18,0x0624beb6f8c1aa2907f8fc10be77c7aee6cae737,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-07-01,0x53fb4da224da91bb0b793b2d01549978f1cba4fd,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-20,0xccdcaedaf109bc9f87df5528057f4bd54a4504e1,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-18,0x64187b8a40f88a445681683676dfb848cdbab9f0,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-07-31,0x9e0f0d83dd880240e3506a7ac4ce82500b2bd92b,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-18,0xed42a7c7bd58e898f3aac022628b8e8fd338c078,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-17,0xfd58822a6ad6aa2015dbeb4139853bd4d1d31ef6,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-25,0xbac26cc37e67a11becd5ebc27e8f2aa5b41829fd,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-27,0x70b529367617dedfd74f9bf4f87bd93cb59f2017,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-19,0x4f5723979a70eacd03155a3cd0596f40fe2fed46,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-29,0x1f52552ebef41f11c7c7113c9b66906b7be3e911,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-07-06,0x35caa179881779ad0f51a4baa0585bd7a66731c4,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-18,0xa11113c81523e9fe30967a5948803d5c1b8d9b1c,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-17,0x55681c6b5b6b22b679d4b2221e982dc821434468,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-07-03,0xc9d630e7993c68a886728ebbb97115bdf598e57e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,16,0,0.0,in
2024-06-17,0x93632628516a47cbf059db47426ff83e0969ec74,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,18,0,0.0,in
2024-06-18,0xcb37015861dd5a4d1854c4ff3c57d6bce1f633d8,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-09-13,0x77422fd76a39d216619f5ae2596bb5b12e8e3b0e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-07-04,0x59aa609f1f48acc71dc2bd019b961377cfb004d3,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-23,0x248f1a070909821db1823a3e70de80f276c6545e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-18,0xd0319771f95375b161006fb2481fde74eb80ccf4,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-19,0x4543a2b0aa96a8a160609947059815f231f38669,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-07-03,0x07a92f07b414157f1b51dc6363c4e41483c9ae30,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,15,0,0.0,in
2024-06-22,0xd92d223d65ab095ba4c77f59300d5b3ae069a46f,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-18,0x33b88ce0d6e2cf5c1d50f47cc75725bab4c27a43,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-08-20,0x0c0a5ccf59d059736dd19cd16395bda3026936f4,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-19,0x17f43f532b3f91c1628ff513290e730446cb9355,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-18,0xea79f0e7244d3c431239d6e74bea4dfcf6c4b24e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-07-12,0x70cc0381d2c547e88d50d3f9d378940e0c474607,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-17,0xee74356635a216a1fc89d4921495124c1533b0c8,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-11-13,0x6246b0602f059a29762e96a5355822563cfc9acb,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,18,0,0.0,in
2024-06-21,0xae1e3ddf9836bc32b3430266e9744aaf15fa992d,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-17,0xbad6a1891f45ba83b1800938a0971c4b0f6b32f2,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-06-18,0x84cf1f30b0606b5e27bce8b63555d29d2e61e472,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-12-13,0x6072f20512e1df4f650722967f0ab56e932516b3,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-30,0xb3b086621a31ee5567c15b61f0169f2c56569383,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-17,0xd8da0609e3098291fbc11de9add13039f1c768c7,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-18,0x35a32d2ff907347151d3fc79588057b22b7abea4,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-12-22,0xe9f3cb25642616866f27a954115114c16e9451a3,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-17,0x594c9ad8d38fd59daeae8520ab1e31b2a866c4f2,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-17,0x27fd5a92a59b73e476352b94c6b5851c413aa4ad,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-19,0x5f3928096d53fd00696f5eee18a3618693a91fd7,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-17,0xc5672f89ad95570e466f5ed0681a229dddfd2c4e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-18,0x4a5a27e596bf9267632a9256c70387f9383e2026,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-07-22,0xb28cce3ce1a2482d9ddf72cce149c3a0ef3bb7ff,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-18,0x7ab33ad5f25db07d1da7a8df55a71036f07da22e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-19,0xbd2da68d9a819b200bd8128e242672ea98ce0de9,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,16,0,0.0,in
2024-06-29,0x2399a83f382f60795ca723bb89a363f4426015b9,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-07-04,0x0b776552c1aef1dc33005dd25acda22493b6615d,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,24,0,0.0,in
2024-07-19,0xbd0f43868181d1c399fc7405fbc46725b2f7ab17,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-27,0xda42f31a7615cf79601a44d702cf1f5656557f67,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-24,0x0b9305e2984ea351513f497655a4e3dddaf24f20,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-07-19,0x653d1e3219d8e636351710d06cb1b4950b853dfa,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-10-16,0x530aef31073a40eff1251f8d5154f2444a29fe3e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-17,0x974721360b8b13148f8d6306d2e7e1435b584953,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-18,0xc4cf7b33aeae08746fea22d34f53c4d04609b56c,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-06-17,0x00e527cf1f4fdb4c79744f1e49cbb1ed2b8e63ba,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-18,0x42f36d45381e3f5d9443e872b6192aaf0db55b53,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-18,0xa373fd721f0fd65c132f2fc91a0d434f98b9acba,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,12,0,0.0,in
2024-06-29,0xd8d3042475a0336a3974c995ac3dce23e6d084dc,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-18,0x19655b64bc180742f8cc62129d2b29a4b76897de,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-29,0x0605e76bb3bf5cd33e38287a020a7129687a1a7d,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,11,0,0.0,in
2024-06-28,0x4ae027250bd51e3e76755491faecc33254665a98,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-06-17,0x7b984dec600856f3b21dd8adf7a4ba4b0ebb67df,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-06-18,0x43caffe01f3e76b386dd22428f4c9dc120ee6413,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,13,0,0.0,in
2024-07-15,0x04a361e025415b208a711cf4a38726f1f8adc6e8,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,14,0,0.0,in
2024-07-20,0x35205135f0883e6a59af9cb64310c53003433122,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-07-25,0xbf47ecc1b891567e8b0be10b577ecfe5d825615e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-06-25,0xac88059c5d383c0de8797586dbe66bae174433fa,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-12-04,0x940f5293be23c4d06f9f561f2df79457d3782e1e,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-06-17,0x5299b01d8d5be50be1b3136a547a4d6abf16d51b,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-11-16,0x79e5de788b06be111d3a62bda759aca69012e75f,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-10-13,0xea75836b0bcd1f848de01cc8bdfb660f4ad345a5,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-12-12,0x555929db5e3420a9b59fe05afd3cbe426742dc80,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-07-30,0x44ebdb20908b124ae447b986b42e09c7ff65fee5,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-06-23,0x8dbc169a6fb0fe34149a4ba21e51dc31d1f677ef,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-06-21,0x5ebd148f092839b3ef38acfc48eef7df580cebdd,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-10-03,0xbca4d68be543dcefb1a8bccb519503f9ba3f2026,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-07-12,0x0a020f21f3a2f2fec80d5d79f298d93defe40e0a,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-06-18,0x855103b25fe2256e98de1bd1e7deb199f045d584,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-09-29,0xb25e55e36cc998a546639365272f88fe2ce50753,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-06-17,0xdce66c37526acdc490b02d0af3b907ba215e7b4b,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-07-28,0x80c7e5ced3f3e16fdd3ffda4b90ccd63f18c2108,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-08-31,0xe60f3879c88da4aded2baa1f29a92b2ad86e19e8,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-12-02,0xe9f3cb25642616866f27a954115114c16e9451a3,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-07-01,0x27e8062fe77ea70ed637f1a2886aa7e062080cb0,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-07-10,0x682f49fc67784bc514791bcf075b0d7ce89da3f8,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-12-25,0x02df3cba3fe1cfbb297a2a91d8aa8cec62848696,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-06-18,0x47f96d6f38d837e64ac10cad5968bf3b9ba88289,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-09-13,0xe110311697d533436fda2ed1716b392f6269fbfa,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-07-29,0xcccf44996f515ed1761d6c7c453cea750e9bb4ab,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
2024-10-03,0x22b909896bc8d18851a0ff24f93ca3010c63d2f2,0xe04bb5b4de60fa2fba69a93ade13a8b3b569d5b4,1,0,0.0,in
