project_id,project_source,project_namespace,project_name,collection_id,collection_source,collection_namespace,collection_name
oAGU0trTf7gGGKJisSHhV67YPe2qtKTN07WvWS9AVZA=,OSS_DIRECTORY,oso,blits_wallet-blitslabs,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
Hqo4HjDbBgoueZFW0KVDrUt8m9AkBsyhc2sZlLv8_6U=,OSS_DIRECTORY,oso,ipfs-force-community,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
_8CztioaTCJXiv5HIzcHhUoScMxOl5uqiRRz3uRA5ec=,OSS_DIRECTORY,oso,spheronfdn,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
MDZFKB9e2x3IlhjdKq9ybIQCEgHex4sNfD8lJaPd6iE=,OSS_DIRECTORY,oso,glitter-tedl-1990,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
EK3Gd2V1za0uz071526VFcmQD_RenJh7wdxGYpmcJwk=,OSS_DIRECTORY,oso,orbit-db-orbitdb,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
crkDFNGF9JgPRXxHbkk0OI58r09v1p6tRqpuWibsp0A=,OSS_DIRECTORY,oso,portraitgg,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
pXnXvtu9pcY6i0lJfj_3ilj22lWAcSF8sjr1BFVpf1E=,OSS_DIRECTORY,oso,uniqart-io,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
f-YkYWnHPX2YVvU5XKbP2Ie55St35POgGKl4ZbnxoUQ=,OSS_DIRECTORY,oso,patricknercessian,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
dyNxB3rFQE8_MoHdjx3uu32G3uxyUiPDYLbG9lTx1kE=,OSS_DIRECTORY,oso,quest-chains,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
UnJSBBE9uYOx4ig7qQqT-TG3rB-pXAuix4SKuihvoTc=,OSS_DIRECTORY,oso,cryptowhizzard,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
Xd9gpjoGn1CMfnPlkFWywig0zF1N5J9a0jAXauk-dpw=,OSS_DIRECTORY,oso,ensdomains,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
qhX_lyxx9hs0Hxd8-14DenzVhCuirpWoXmz8Pad0NrQ=,OSS_DIRECTORY,oso,dbookmarket,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
Cn53JXbIu7RtdsTs4p0dCpmnTPiBH-iHA-8fs4jnR9Q=,OSS_DIRECTORY,oso,defluencer,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
BHo0birJr1bA0hlafzBZaCuWVnFo8f7NyWOba_XXvH8=,OSS_DIRECTORY,oso,renderhive-projects,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
Y7hQ2WbOJaON-7Y-b-HloKDteUQ-X8he5UeLT5S8t5o=,OSS_DIRECTORY,oso,waterlily-bacalhau-project,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
Ogceg0gKDarmeRM9x-5lZf5TBRGGV5X98uW7Pobf-Yc=,OSS_DIRECTORY,oso,lighthouse-web3,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
L_X1UfhLfE2jqBIqOmmwMO2QVF7-FEfxiXI_RK7Fwqg=,OSS_DIRECTORY,oso,social-machines,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
DMdlcdPuN0SAxdl4I2x4gf9Qi1gQuLG8qfRxcuCaf7k=,OSS_DIRECTORY,oso,daqnext,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
UDUrPmsMELVB0W-UWn5pAurbjxejhV2WKAAa8-y62k0=,OSS_DIRECTORY,oso,openregistry-containerish,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
QFPlExjW9DzVdXUSuCzmHoNeDO3IkaAHbBZXZvWFMn4=,OSS_DIRECTORY,oso,renovi-nft-mojodigital,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,OSS_DIRECTORY,oso,blockscout,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
-6ZK90QJuLc215lzssnqccGNP5jJ-mGNXN-lakSw5FI=,OSS_DIRECTORY,oso,yaytso-aklevecz,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
4aLAbOjGRp9ZaB78wMA5jD1a5GAx6mrRtzz0tZpZc48=,OSS_DIRECTORY,oso,discovery-discovery-labs,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
Vr0Wnoz9OVki4it_UcCi9aY__78Mc-ZT-ZyBTyKWTHA=,OSS_DIRECTORY,oso,wusirdcenter,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
u3SANzAbYt25IWksEmX_ipezj3h2e1H_Av8LYxN8aRY=,OSS_DIRECTORY,oso,twinquasar,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
PdJllbxieETtVJnUCdTlsNshx-Vkh7sHX3JskE1J2d0=,OSS_DIRECTORY,oso,lf-lifefram,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
OmgBmq-32x9wapOp2L4tQwbqp2VUTp0h-__62jAp8ec=,OSS_DIRECTORY,oso,chainstack,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
dr4LmpiIcq-_Z4Yw0wWsQQl0jP5fjQeLi4LS70LGTQw=,OSS_DIRECTORY,oso,locutus-freenet,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
3Oy_gc5P3oRwTsEhAxxQo3BuipatXwdOdBl_R2l-pew=,OSS_DIRECTORY,oso,core-emergent-reputation,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
lGJAJtTUz6FCxJXmdLrpn80zvM24PdVRBJunsdq9gTs=,OSS_DIRECTORY,oso,flaq-academy,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
fXZiGsDPDQn0dlznNomeG2pFFDkm7gdx2QcnkPptXmg=,OSS_DIRECTORY,oso,keyko-io,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
NhcwuV8RmRJtTk_BkjWZZTutsRKXdw-gOftHw1OsgNI=,OSS_DIRECTORY,oso,esteroids,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
fuSE0dqAq5LOxitK-7C8rKJ4_nmZMcx2JFiVs_X4pKM=,OSS_DIRECTORY,oso,geo-web,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
--IMjbfK8bKS7MWr-7g9HHKcKRI6BMVb6FX0oIP2QXc=,OSS_DIRECTORY,oso,itheum,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
3BdsCoe__hykrB1ZR1br8AJjttGHumslfSbx83kfSS8=,OSS_DIRECTORY,oso,jackal-dao,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
h98lStVVYBS1hDPH2YfbjtbLQs9HSVbAjcbiqIz8z0E=,OSS_DIRECTORY,oso,nft-game-machine-optimus789,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
5EyJIOZK0KgyCIHeEDOZKet1oqkyemPY8yjRCDbn-8A=,OSS_DIRECTORY,oso,postlight,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
rMdhZY4Y_BeSUWzWxwnoyLe1PR_vLBs18RwJJOe_PNA=,OSS_DIRECTORY,oso,blockrockettech,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
A887L2iRrgzPg2tu20BTQg7DYS9N4So3E4SW1z51VEQ=,OSS_DIRECTORY,oso,crosschainlabs,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
T_p7tsmoruvRnVvB81MLwTTvSeM_s0HPURiZclQuch8=,OSS_DIRECTORY,oso,kotalco,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
0-ITqTrD73Jg5fVGxSA-2K5PcvWA6ejaJaQw7h40zCI=,OSS_DIRECTORY,oso,glifio,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
1SeJSQKVjlzSFr6XamwpjBbeVFqzcc9MuM1udXthpmE=,OSS_DIRECTORY,oso,cratch_platform_v1-skidrow8852,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
jVKte-LFlXGTIgIE6dZEZcWQDwNaOJF2mEx_Ag-zt6I=,OSS_DIRECTORY,oso,swimgithub,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
z0jTpgzzTmplCTsEm2KKxAXI6kB6LoC0qMkSTbFrNdY=,OSS_DIRECTORY,oso,chansonstudio,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
3uqTcCYdN4JfnlEc73AHu60MycE-MOHDiYZpi_v9oxM=,OSS_DIRECTORY,oso,ipfs-webrtc-utkucy,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
ZWKPeQpJZvLszD4g8kIm4yfbhr5pAXUDvKVMFIz6RAs=,OSS_DIRECTORY,oso,labdao,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
xDW1y_cu6MhaDnem2J08NqFzSqgEmMs8KuRzh-HQCdQ=,OSS_DIRECTORY,oso,0xparc,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
3ZuyEn8JNm0VSC1RQ9PZq1Yd9hV83Wk7KsTFJTngwEg=,OSS_DIRECTORY,oso,nocodeclarity,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
S175ID8JsH1zYP3_pNnnERvaHii2cplJY3Prtv95-wQ=,OSS_DIRECTORY,oso,photon-storage,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
1sFTn23MgvcSEZax9Fg65HJ5nLb652J26NOaVdPnpeY=,OSS_DIRECTORY,oso,web3box-labs,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
cvB45Gyq9llrgZ6Nl8_FaxDDhLeIDRVYIv3pI0VHI7M=,OSS_DIRECTORY,oso,aiinsure4.git-aiinsure,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
UoT7cU2_AuYSfckdJwwaS70t9W4me-oksJs3I4k5jeg=,OSS_DIRECTORY,oso,imbueworld,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
AhZKx83d_dcxpDbIBavvAinH8idIK5sc6_tSZrVwdNI=,OSS_DIRECTORY,oso,solace-labs,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
f9vQJy3S_XShbUfHMlAHJ-144p4P4pRHIEUgPNEgKSs=,OSS_DIRECTORY,oso,storswiftlabs,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
Al814VIgi_RzB_kkLgasQn6IKWsQ85dUfo5mbNJWyf0=,OSS_DIRECTORY,oso,universaldot,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
Vxcx9V-GQCJlzMzDlnJ753qFrBlAwMLPRVexrSatOlo=,OSS_DIRECTORY,oso,docs,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
Q3aDN6XxhrrQHM8KO4rcSxubc-XBsJxo_98fseX56fo=,OSS_DIRECTORY,oso,statechannels,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
fYgfZTaNLgr_yP4b9XJgY0bgGvY3_3ZH9qtjsDaR4P4=,OSS_DIRECTORY,oso,encloud,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
ogxNhIfrVaknEjgkLw_x3MDkMWhFxIOxPE-dTugDrJo=,OSS_DIRECTORY,oso,filswan,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
SRv07jQSLBLB_P5o9fRKj0wFJycUjBA3tpB-py50vuA=,OSS_DIRECTORY,oso,thelegacynetwork,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
ozK3QsOXm255mHTKP0dibMxRVEbWBmZlY1hvXDhYVa8=,OSS_DIRECTORY,oso,180protocol,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
aJ-cPRSM4J1CAzVWPF2FSlhhnNPQegYSdxZ2JlRixj4=,OSS_DIRECTORY,oso,artozoproject,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
ucqiCp7oIlZ7hw0vFTeJEKrWCPizCGsP_juSh5qVj1M=,OSS_DIRECTORY,oso,ai-art-attribution-bacalhau-project,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
kHFoQu6nbU6l-srP9kLM_9yOMAgqAMEzkLKBNXG3HHU=,OSS_DIRECTORY,oso,astralprotocol,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
t4aeHOjhT6CSo3vkqorEu1Z0BdDSs5-HEMLdMHzedHQ=,OSS_DIRECTORY,oso,crypto-apis,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
-gAlRwOvsCA1Ds3bsqvHzPNW7JOUBlA-aAMQvsj0ES0=,OSS_DIRECTORY,oso,ipfs-search,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
ddPCpodTU9pLTroRYTajYugxDWUSgwpRZgHydmnisLM=,OSS_DIRECTORY,oso,samepage-network,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
tVLWMrT0IiAFLtJoBYRzxz1NUUWEUDs8V7lzRB1_sFU=,OSS_DIRECTORY,oso,cryptic-entertainments,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
