,contract_address,application_id,project_name,oso_project_filename,network,verified_network,ContractName,total_gas,fork_count,star_count,repo_older_than_1_month,license_check,repo_activity_check,Bix Comment,Contract with issue
0,0x000000000000bd696655814b68c2f67e399ab4e5,0x15b210abdc6acfd99e60255792b2b78714f4e8c92c4c5e91b898d48d046212a4,MiniBridge,defieye,"BASE,FRAX,OPTIMISM,MODE",,,,10.0,17.0,True,True,True,Contract submit to this round are MIT and one that is not verified (different address then others). Github license is GNU GENERAL PUBLIC LICENSE contract code is MIT,https://explorer.zora.energy/address/0x257312be423cEB2D43683f44b101dC10dfEe3e22?tab=contract
1,0x257312be423ceb2d43683f44b101dc10dfee3e22,0x15b210abdc6acfd99e60255792b2b78714f4e8c92c4c5e91b898d48d046212a4,MiniBridge,defieye,ZORA,,,,10.0,17.0,True,True,True,Contract submit to this round are MIT and one that is not verified (different address then others). Github license is GNU GENERAL PUBLIC LICENSE contract code is MIT,https://explorer.zora.energy/address/0x257312be423cEB2D43683f44b101dC10dfEe3e22?tab=contract
2,0x0000049f63ef0d60abe49fdd8bebfa5a68822222,0xe20f59eb1c8f9cb72e07b8d0f067bac997614fd6db06d8c031c5c9235f760dcc,L2Pass,l2pass,"OPTIMISM,BASE,ZORA",,,3.4076765099681623,0.0,0.0,True,True,False,"out of 9 contracts submit only 1 of them is MIT, 5 of them are  BUSL-1.1, and 3 contracts are not verified. GitHub license is MIT, contract code is mix of BUSL-1.1 and MIT. MIT license.md does not overright BUSL-1.1 code",https://optimistic.etherscan.io/address/0x222228060E7Efbb1D78BB5D454581910e3922222#code https://basescan.org/address/0x0000049F63Ef0D60aBE49fdD8BEbfa5a68822222#code https://basescan.org/address/0x222228060E7Efbb1D78BB5D454581910e3922222#code
3,0x0000c74e9931c7d6c1a6e811fe96a8a808e06969,0xe20f59eb1c8f9cb72e07b8d0f067bac997614fd6db06d8c031c5c9235f760dcc,L2Pass,l2pass,"BASE,OPTIMISM,ZORA",,,0.31843769403795885,0.0,0.0,True,True,False,"out of 9 contracts submit only 1 of them is MIT, 5 of them are  BUSL-1.1, and 3 contracts are not verified. GitHub license is MIT, contract code is mix of BUSL-1.1 and MIT. MIT license.md does not overright BUSL-1.1 code",https://optimistic.etherscan.io/address/0x222228060E7Efbb1D78BB5D454581910e3922222#code https://basescan.org/address/0x0000049F63Ef0D60aBE49fdD8BEbfa5a68822222#code https://basescan.org/address/0x222228060E7Efbb1D78BB5D454581910e3922222#code
4,0x222228060e7efbb1d78bb5d454581910e3922222,0xe20f59eb1c8f9cb72e07b8d0f067bac997614fd6db06d8c031c5c9235f760dcc,L2Pass,l2pass,"OPTIMISM,ZORA,BASE",,,1.4997314699003321,0.0,0.0,True,True,False,"out of 9 contracts submit only 1 of them is MIT, 5 of them are  BUSL-1.1, and 3 contracts are not verified. GitHub license is MIT, contract code is mix of BUSL-1.1 and MIT. MIT license.md does not overright BUSL-1.1 code",https://optimistic.etherscan.io/address/0x222228060E7Efbb1D78BB5D454581910e3922222#code https://basescan.org/address/0x0000049F63Ef0D60aBE49fdD8BEbfa5a68822222#code https://basescan.org/address/0x222228060E7Efbb1D78BB5D454581910e3922222#code
5,0x003c2aa63fec8118297535350a66e7a53be3d0b5,0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,seamless-protocol,BASE,,,,0.0,2.0,True,True,False,"Contract submit were BUSL-1.1, AGPL-3.0, MIT, and GPL-3.0-only. Github license is MIT, contract code is MIT and UNLICENSED",https://basescan.org/address/0x36291d2D51a0122B9faCbE3c3F989cc6b1f859B3#code https://basescan.org/address/0x003c2aa63FEC8118297535350a66e7A53BE3d0B5 https://basescan.org/address/0x90C5055530C0465AbB077FA016a3699A3F53Ef99#code https://basescan.org/address/0xb4D5e163738682A955404737f88FDCF15C1391bF#code
6,0x003d47ddddb070822b35ae5cc4f0066cf9e89753,0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,seamless-protocol,BASE,,,,0.0,2.0,True,True,False,"Contract submit were BUSL-1.1, AGPL-3.0, MIT, and GPL-3.0-only. Github license is MIT, contract code is MIT and UNLICENSED",https://basescan.org/address/0x36291d2D51a0122B9faCbE3c3F989cc6b1f859B3#code https://basescan.org/address/0x003c2aa63FEC8118297535350a66e7A53BE3d0B5 https://basescan.org/address/0x90C5055530C0465AbB077FA016a3699A3F53Ef99#code https://basescan.org/address/0xb4D5e163738682A955404737f88FDCF15C1391bF#code
7,0x04faa2826dbb38a7a4e9a5e3db26b9e389e761b6,0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,seamless-protocol,BASE,,,0.0001009920016832,0.0,2.0,True,True,False,"Contract submit were BUSL-1.1, AGPL-3.0, MIT, and GPL-3.0-only. Github license is MIT, contract code is MIT and UNLICENSED",https://basescan.org/address/0x36291d2D51a0122B9faCbE3c3F989cc6b1f859B3#code https://basescan.org/address/0x003c2aa63FEC8118297535350a66e7A53BE3d0B5 https://basescan.org/address/0x90C5055530C0465AbB077FA016a3699A3F53Ef99#code https://basescan.org/address/0xb4D5e163738682A955404737f88FDCF15C1391bF#code
8,0x0e02eb705be325407707662c6f6d3466e939f3a0,0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,seamless-protocol,BASE,,,,0.0,2.0,True,True,False,"Contract submit were BUSL-1.1, AGPL-3.0, MIT, and GPL-3.0-only. Github license is MIT, contract code is MIT and UNLICENSED",https://basescan.org/address/0x36291d2D51a0122B9faCbE3c3F989cc6b1f859B3#code https://basescan.org/address/0x003c2aa63FEC8118297535350a66e7A53BE3d0B5 https://basescan.org/address/0x90C5055530C0465AbB077FA016a3699A3F53Ef99#code https://basescan.org/address/0xb4D5e163738682A955404737f88FDCF15C1391bF#code
9,0x16e48501634dfbb52f556430d788c110e5bda6cf,0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,seamless-protocol,BASE,,,0.000300012730113046,0.0,2.0,True,True,False,"Contract submit were BUSL-1.1, AGPL-3.0, MIT, and GPL-3.0-only. Github license is MIT, contract code is MIT and UNLICENSED",https://basescan.org/address/0x36291d2D51a0122B9faCbE3c3F989cc6b1f859B3#code https://basescan.org/address/0x003c2aa63FEC8118297535350a66e7A53BE3d0B5 https://basescan.org/address/0x90C5055530C0465AbB077FA016a3699A3F53Ef99#code https://basescan.org/address/0xb4D5e163738682A955404737f88FDCF15C1391bF#code
