Project ID,Project Name,Final Status
0x8ec88058175ef4c1c9b1f26910c4d4f2cfa733d6fcd1dbd9385476a313d9e12d,Lodestar,Approved
0x15888c525d6efc5ca1d66714644aace3d2e8598cecd7e37be1e6fd57fd958c07,Ethereum on ARM,Approved
0xdf1bb03d08808e2d789f5eac8462bdc560f1bb5b0877f0cf8c66ab53a0bc2f5c,Rust Libp2p,Approved
0x7504e494cb8d227193182e083128912173c14eaeecec9b90fa453de28377b269,Hermes - a GossipSub listener and tracer for libp2p-based networks.,Approved
0xcd9dfcace81ae28b29b10c4ddf36bcb8db6d705cbb92e7d885e5b946a9f77910,Nethermind Ethereum Execution Client,Approved
0xc71faa1bcb4ceb785816c3f22823377e9e5e7c48649badd9f0a0ce491f20d4b3,go-libp2p,Approved
0x0be3a0fa062180bdfbfdefa993b09acd9edcae93ba0d8d5829dd01c138268f40,jvm-libp2p,Approved
0x5a7e7c7acb21521e99021d746740b368801cbfe531301e50bdbaafdc24a0aac5,js-libp2p,Approved
0xf839a585342327848d4541a6fcc315404e879537a60a1370f2cd45a94283a1ba,Dappnode,Approved
0xc1899658402b1373d1beb84e069a3eca066aaf01c0654502dbba51b66aeb6214,Grandine,Approved
0x881736756bdcc544ef526f7719608161ca00c6aed5d8f9b8837bdc1914f2abc6,Understanding-Optimism-Codebase,Approved
0x7f1256b007e1156494e43b58d5e85e6ec20f4fcf1e5cac6ebb17b702e9c0b5fb,OP Nethermind,Approved
0x80393c05d524b7a6f7a78b0c141eadf0759642ae8d7e718134318cd2d73d5464,Formal Verification of Optimism's L1 pausability mechanism,Approved
0xf00518dc6abc147a7c46675cb76946afdd16868d7d4ab4689df0c48467158c26,Deployment of the Shutterized Optimism (SHOP) testnet.,Approved
0x66a3f6245dc3ac966d3ed9dd8c076a723cfc3aaaf5ea3721c634d46c3be46331,opUSDC,Approved
0x5759249c433d67eeb2ca1b6ff827feec164b60b92e849d6ce0db0974cedc4a89,OP Reth,Approved
0x7d69da70e6453a7abb641a770cad602c0a7893186cb20f990efe22c0cb248115,op-besu,Approved
0x7ada1f0835c4c195d0dd8d9761b80f87dab88d21891b2a2e83220720560af7c1,Ethereum POS Testnet,Approved
0xd9d3c625d5d821c6cea40f671dae15bc5ef9b9e159abcefe94864cddf11750a4,Builderism,Approved
0x7333cac46b20999de07f4d7be5146c10a30f19586907bd2ce986b81af340cb97,hildr,Approved
0x7d3f1d8e9da32b6e81e791a440b28ce9fbd79a5396acc4039d1cdc44c609c6d3,OP STACK DEPLOYER,Approved
0x7e4eb6294ad8e97eceb3bb6a39891eb386bfbaa5d4e8f16a9939d18ad79d789c,Blocknative Blob Archive and Research,Approved
0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,Ethereum Attestation Service (EAS),Approved
0x3a103436d12a3d54ade1a44f87ce255417fd530b6ec55abd3bea1898b32c61c1,roll-op,Approved
0x09b95c7697625da4915338750c5f78446817a3634cb38bc9155e26bbbc0c87f1,Maintaining simple-optimism-node,Approved
0x04b1cd5a7c59117474ce414b309fa48e985bdaab4b0dab72045f74d04ebd8cff,Lighthouse,Approved
0x28a8b14613c3a5790b2d0c7b7d32384ecd187b3b86fc66ba9d9244944d20b422,Sherlock,Approved
0xe346264e87202b47f1057eb0b0fcaa0ea7f83e14507ca4585a91a5d94e0e92c0,Nimbus,Approved
0xfef0eaf3c745a7175550a75ecfc0056d0a3276eeb0ce8fbc45dd7254411985ec,Smoo.th Cryptolib,Approved
0xbea008dac0a4a2d2cc88ed14468f7ce06b1a13d43ead38f31df3ca5f6d70d12e,blob-archiver-rs,Approved
0x9ca1f7b0e0d10d3bd2619e51a54f2e4175e029c87a2944cf1ebc89164ba77ea0,Vyper,Approved
0xdbc21abd2657c839060753eada61f93a6d835a0a2f3bdfb530339a2c85f23516,Research and development on multi-section fault dispute game,Approved
