project_id,application_id,project_name,category_id
0x66a3f6245dc3ac966d3ed9dd8c076a723cfc3aaaf5ea3721c634d46c3be46331,51247394-7b99-4ae1-9e46-84c09299c541,opUSDC,2
0x5492d1d4695dcf3cce3c31eb9883535d34da6c85a4978b384c0ecb0f3b17fbe9,0ff2d643-a02d-4770-b4d5-91d2f6a7bb9e,Alt-DA Server & Translation Hub,2
0xd4ed99cc6aaf73ca63b32f7a03b5427ac1d2955bf9efc31eb14f5773016988d0,033c8cdc-3d09-4c97-91d6-9447755aeffc,AWS KMS and YubiHSM signer for OP Stack,3
0x81af86360a8e964cc907a5689a62e94231c7e42e05f49c0586716975d72e2e2e,f5f96d2a-c8fb-4643-8e25-7f5c48ef6551,Upnode Deploy,3
0xd9d3c625d5d821c6cea40f671dae15bc5ef9b9e159abcefe94864cddf11750a4,883bb82a-d6a9-45f5-9c57-e264ac20fa61,Builderism,3
0x7d69da70e6453a7abb641a770cad602c0a7893186cb20f990efe22c0cb248115,89d2ec44-6340-4711-9ceb-9d744262ed13,op-besu,2
0xc49d46c5606148617c4202a6a0f745ce194418ca81f1c27d1ff75ea84e32a0cc,ecfe2bb2-ae9f-4812-bbe1-3703d1f31a7e,Protocol Guild,1
0x881736756bdcc544ef526f7719608161ca00c6aed5d8f9b8837bdc1914f2abc6,875e5aab-d6a0-4ab7-a317-c5ebad3349a5,Understanding-Optimism-Codebase ,3
0x11a2255f272c84328438f5081139455d8fd2a302fd35f0f08acdff1f1c0d84e6,f507f7d9-1d5d-45b6-8858-ce1ba403f739,Node Guardians,3
0x53499d3243b2c26b1f09d49f911a9d9300d29b2196576d417cf852ac9e8dfe4c,f4353454-6261-4d5b-9f17-409e3b7fc618,OPcity stack,2
0x09875cfe708f0c3acaca3d8af6b1ca2bd45b43c4a268a55c5d2b50ec9bdeef75,b42cf1de-5246-4890-9043-791f93159447,TechNERDs Program,3
0x334fa6de0243cd1509870ea95f400fd524bd9c8f909e7f629d5457e4ca52e6fc,263e6751-a8b8-4847-a520-331721dcdff0,Optimism Collective and OP Stack Documentation Improvements,3
0xb98778ca9ff41446e2bc304f7b5d27f0fa7c2bcd11df19e22d1352c06698a1f6,41923142-8520-43d2-9a97-1a9f895644ee,Account Abstraction - ERC-4337,1
0x842f92e1a555fdbc6f0be1640997d1a6f6a96af3c19b5a035b649d806608ad19,4070fa39-df82-4dff-9185-5fb47220ece9,Native Account Abstraction on OP Stack,2
0x8c76c13d8d0e63a7de499d47b9da5a4495d1151c0b2003c92379f41f14e404c0,f29a9466-c088-4314-9f78-0be7034caba2,Permissionless ZK Fault Proof System,2
