artifact,star_count,fork_count,fulltime_developer_average_6_months,new_contributor_count_6_months,repo_rank,starred,starred_by_top_devs,forked,forked_by_top_devs,age_of_project_years
testinprod-io/op-erigon,85,14,0.038461538461538464,15.0,2.0,104.0,23.0,17.0,2.0,1.5
paradigmxyz/reth,3634,966,4.961538461538462,207.0,11.0,4182.0,76.0,1336.0,83.0,1.6666666666667425
foundry-rs/foundry,7969,1619,2.302197802197802,327.0,18.0,9904.0,95.0,2104.0,94.0,2.9166666666667425
ethereum/go-ethereum,47234,20139,1.6318681318681318,338.0,23.0,118696.0,218.0,52818.0,346.0,9.583333333333485
optimism-java/hildr,39,11,0.0,2.0,28.0,49.0,13.0,10.0,3.0,1.25
bluealloy/revm,1521,492,1.0,54.0,29.0,1818.0,55.0,585.0,48.0,2.9166666666667425
alloy-rs/alloy,492,166,2.4395604395604398,125.0,32.0,578.0,18.0,207.0,26.0,0.75
statechannels/go-nitro,37,20,0.0,1.0,34.0,50.0,14.0,17.0,1.0,2.833333333333485
sigp/lighthouse,2854,713,0.0,59.0,47.0,3639.0,57.0,910.0,50.0,6.083333333333485
nicenode/nice-node,181,27,0.36813186813186816,5.0,52.0,211.0,8.0,34.0,1.0,2.333333333333485
latticexyz/mud,701,176,1.2142857142857142,23.0,55.0,857.0,22.0,247.0,4.0,2.0
ledgerwatch/erigon-lib,59,86,0.0,0.0,65.0,84.0,7.0,115.0,9.0,3.1666666666667425
l2beat/l2beat,478,376,5.054945054945055,70.0,69.0,571.0,12.0,451.0,15.0,3.4166666666667425
nethermindeth/eigenlayer,32,20,0.0,0.0,79.0,62.0,3.0,21.0,1.0,0.8333333333334849
snapshot-labs/snapshot.js,225,575,0.15384615384615385,9.0,83.0,262.0,3.0,644.0,11.0,3.9166666666667425
crytic/slither,5181,953,0.0,43.0,93.0,6288.0,44.0,1281.0,15.0,5.9166666666667425
primitivefinance/arbiter,656,65,0.19230769230769232,2.0,94.0,831.0,35.0,82.0,5.0,1.75
opensource-observer/oso,57,13,2.3351648351648353,12.0,95.0,53.0,5.0,14.0,2.0,1.083333333333485
scopelift/scopelint,77,5,0.0,2.0,96.0,92.0,15.0,7.0,0.0,1.833333333333485
otterscan/otterscan,1227,164,0.44505494505494503,4.0,99.0,1498.0,35.0,204.0,4.0,3.083333333333485
nomicfoundation/hardhat,7085,1358,0.08241758241758242,128.0,109.0,8309.0,35.0,1798.0,40.0,6.25
wevm/viem,2380,675,1.7967032967032968,242.0,113.0,2724.0,31.0,821.0,22.0,1.4166666666667425
libp2p/jvm-libp2p,255,74,0.0,1.0,117.0,305.0,4.0,90.0,10.0,5.25
vyperlang/vyper,4832,789,0.8461538461538461,15.0,121.0,6109.0,42.0,1135.0,51.0,7.75
openzeppelin/openzeppelin-contracts,24592,11729,0.07692307692307693,63.0,123.0,29400.0,70.0,14944.0,80.0,8.0
web3/web3.js,19066,4894,0.0,86.0,129.0,23206.0,35.0,6608.0,38.0,9.583333333333485
badboilabs/cannon-rs,44,6,0.0,0.0,136.0,51.0,15.0,8.0,1.0,1.833333333333485
zkonduit/ezkl,894,121,0.6318681318681318,19.0,141.0,1034.0,31.0,151.0,3.0,2.083333333333485
chainsafe/lodestar,1119,278,0.6428571428571429,20.0,151.0,1409.0,27.0,385.0,18.0,6.1666666666667425
vectorized/solady,2343,326,0.8571428571428571,18.0,164.0,2895.0,43.0,433.0,11.0,2.083333333333485
0xfableorg/roll-op,87,23,0.0,1.0,165.0,99.0,17.0,24.0,4.0,1.1666666666667425
blobscan/blobscan,65,28,0.0,15.0,172.0,83.0,6.0,30.0,2.0,1.833333333333485
eth-clients/holesky,302,100,0.0,7.0,180.0,345.0,19.0,100.0,7.0,1.6666666666667425
dappnode/dappnode,579,98,0.0,5.0,188.0,692.0,12.0,127.0,2.0,6.5
rotki/rotki,2750,505,2.0274725274725274,38.0,195.0,3215.0,28.0,700.0,7.0,6.4166666666667425
