project_name,display_name,repository_count,star_count,fork_count,fulltime_developer_average_6_months,new_contributor_count_6_months,repo_rank,starred,starred_by_top_devs,forked,forked_by_top_devs,age_of_project_years
hypeshothq,HypeshotHQ,1,1,0,,,,,,,,
ethereumbarcelona,ETHBarcelona,2,0,0,,,,,,,,
project-squallet-refractor-labs,Project Squallet from Lore,1,2,0,,,20253.0,3.0,,,,0.75
nacion-bankless,Nación Bankless,2,1,0,,,,1.0,,,,1.0
cannon-rs-badboilabs,Cannon-rs,1,44,6,0.0,0.0,136.0,51.0,15.0,8.0,1.0,1.833333333333485
wallet-abstraction-qd-qd,Wallet-Abstraction -- ETHGlobal NY 2023,1,16,3,0.0,0.0,8216.0,19.0,,3.0,,0.9166666666667425
attestation-station-interface-sbvegan,Attestation Station Interface,1,17,10,0.0,0.0,269.0,20.0,3.0,9.0,1.0,1.6666666666667425
optimism-box-truffle,Optimism Box,1,23,14,0.0,0.0,2314.0,22.0,,17.0,1.0,3.1666666666667425
opdelegate-michael-vander-meiden,OPdelegate.com ,1,0,0,0.0,0.0,,,,,,1.0
coinpassport,Coinpassport,6,2,2,0.0,0.0,19381.0,2.0,,2.0,,2.25
ethhub-io,EthHub,2,881,588,0.0,0.0,1614.0,1141.0,8.0,761.0,6.0,5.9166666666667425
wildcards-protocol,Wildcards Protocol,7,1,0,0.0,0.0,20203.0,1.0,,,,1.25
validatoxyz,Validato,2,4,2,0.0,0.0,7034.0,4.0,,1.0,,0.8333333333334849
decentragora,DecentrAgora,17,21,2,0.0,0.0,27008.0,20.0,,3.0,,3.083333333333485
valioxyz,valio.xyz,1,0,0,0.0,0.0,,,,,,1.0
onchain-reads-matallo,Onchain Reads,1,4,0,0.0,0.0,20313.0,4.0,,,,1.0
1w3,1W3,6,3,6,0.0,0.0,5921.0,1.0,,2.0,,1.4166666666667425
bunnyai-justindomingue,BunnyAI,1,2,1,0.0,0.0,7960.0,1.0,,1.0,,0.9166666666667425
zeroknowledgefm,Zero Knowledge Podcast,6,57,20,0.0,0.0,7207.0,67.0,2.0,21.0,1.0,5.75
optimism-gas-tracker-buildooor,Optimism Gas Tracker,1,3,1,0.0,0.0,,5.0,,1.0,,0.9166666666667425
blockchain-cli-0xs34n,Blockchain CLI,1,187,37,0.0,0.0,12575.0,213.0,,52.0,,6.5
zenbiteth,zenbit.eth,3,5,5,0.0,0.0,5052.0,8.0,,5.0,,3.333333333333485
metricsdao,MetricsDAO,13,45,23,0.0,0.0,348.0,62.0,,33.0,1.0,2.75
ether-actor-iainnash,ether.actor,1,54,7,0.0,0.0,3202.0,56.0,1.0,6.0,,2.833333333333485
waffle-truefieng,Waffle,1,959,163,0.0,0.0,1772.0,1188.0,12.0,234.0,16.0,6.0
mechanism-institute,Mechanism Institute,1,1,0,0.0,0.0,30466.0,6.0,,,,1.083333333333485
findcaster-limone-eth,Findcaster,2,6,4,0.0,0.0,6139.0,7.0,1.0,4.0,,1.0
l2planet,L2 Planet,4,0,1,0.0,0.0,,2.0,,1.0,,2.083333333333485
keyring-so,Keyring,2,5,3,0.0,0.0,10275.0,2.0,,1.0,,0.8333333333334849
statechannels,State Channels,31,288,65,0.0,1.0,34.0,353.0,49.0,78.0,8.0,5.583333333333485
go-ethereum-hdwallet-miguelmota,go-ethereum-hdwallet,1,487,264,0.0,3.0,1606.0,595.0,4.0,297.0,4.0,6.083333333333485
abi-to-sol-gnidan,abi-to-sol,1,324,51,0.0,0.0,355.0,391.0,10.0,70.0,,3.833333333333485
trusted-seed,Trusted Seed,4,12,4,0.0,1.0,2921.0,13.0,,4.0,1.0,2.4166666666667425
public-assembly,Public Assembly,31,195,42,0.0,0.0,4564.0,222.0,,66.0,,1.9166666666667425
farcaster-py-vrypan,farcaster-py & fario,2,33,2,0.0,1.0,5251.0,37.0,1.0,2.0,,0.8333333333334849
seedlefinance,Seedle,1,44,17,0.0,1.0,9286.0,51.0,,20.0,,3.25
givepraise,Praise,12,42,28,0.0,0.0,2518.0,56.0,,33.0,2.0,2.6666666666667425
tokenengineeringcommunity,Token Engineering Community,15,161,101,0.0,0.0,4706.0,204.0,2.0,109.0,,4.833333333333485
defilab-xyz,DefiLab,5,125,52,0.0,1.0,6723.0,150.0,1.0,62.0,,3.083333333333485
voteagora,Agora,2,66,17,0.0,0.0,222.0,89.0,6.0,20.0,1.0,1.75
mirror,Mirror,4,631,109,0.0,1.0,1731.0,739.0,8.0,142.0,,3.5
erigon-ledgerwatch,Erigon,21,136,127,0.0,1.0,65.0,177.0,15.0,165.0,14.0,5.75
basepunkorg,Base Punk NFT & Social-Fi Dapps,4,0,0,0.0,0.0,,,,,,0.9166666666667425
ethernautdao,EthernautDAO,16,291,59,0.14285714285714285,0.0,2263.0,342.0,11.0,83.0,,3.083333333333485
mosaicfun,Mosaic,9,1,2,0.0,1.0,22935.0,1.0,,3.0,,1.1666666666667425
endaoment,Endaoment,12,24,8,0.0,0.0,465.0,27.0,,8.0,,4.5
ethglobal,ETHGlobal,11,39,22,0.0,1.0,12801.0,44.0,,14.0,,5.833333333333485
nftearth,NFTEarth,156,45,27,1.0934065934065933,0.0,2786.0,50.0,,36.0,,1.583333333333485
uniwhales,Cielo & UniWhales,5,1,1,0.03296703296703297,1.0,24217.0,1.0,,3.0,,2.9166666666667425
ethereansos,EthereansOS,35,145,85,1.0494505494505495,0.0,2230.0,161.0,1.0,125.0,,5.333333333333485
aestus-relay,Aestus Relay,7,4,1,0.0,0.0,19933.0,1.0,,2.0,,1.833333333333485
spaghetteth,spaghettETH,1,5,7,0.0,0.0,15621.0,5.0,,5.0,,1.9166666666667425
spearbit-portfolio,Spearbit Labs,1,489,45,0.0,0.0,951.0,617.0,13.0,43.0,,2.6666666666667425
dspytdao,Pin Save (by Dsypt DAO),23,115,54,0.19230769230769232,1.0,6561.0,137.0,1.0,67.0,1.0,3.1666666666667425
jefetoken,JEFE TOKEN,14,14,2,0.0,2.0,,15.0,,2.0,,2.6666666666667425
acrypto-s,AcryptoS,9,23,19,0.0,1.0,17766.0,28.0,,42.0,,3.6666666666667425
kairosresearch,Kairos Research,3,0,1,0.0,2.0,,1.0,,1.0,,1.333333333333485
yokifinance,Yoki Finance,4,0,2,0.0,0.0,10181.0,,,1.0,,1.1666666666667425
delegatexyz,Delegate,4,221,67,0.0,2.0,2808.0,264.0,4.0,83.0,1.0,2.0
boardroom-inc,Boardroom,19,64,106,0.0,1.0,1941.0,96.0,,150.0,2.0,4.0
vmex-finance,VMEX Finance,4,8,0,0.0,1.0,9091.0,14.0,,12.0,1.0,1.1666666666667425
roll-op-0xfableorg,roll-op (by 0xFable),1,86,23,0.0,1.0,165.0,99.0,17.0,24.0,4.0,1.1666666666667425
wallet-guard,Wallet Guard,4,79,14,0.0,2.0,2630.0,86.0,1.0,19.0,1.0,1.5
banklessdao,Bankless DAO,47,212,227,0.0,2.0,3222.0,248.0,3.0,368.0,2.0,3.25
eoa-blockchain-labs,Ethereum on ARM,1,142,35,0.0,4.0,5385.0,172.0,3.0,55.0,1.0,3.583333333333485
prettier-solidity,Prettier Solidity,3,731,73,0.016483516483516484,3.0,584.0,925.0,18.0,95.0,5.0,6.25
nodeguardians,Node Guardians,28,75,45,0.0,4.0,1387.0,105.0,,135.0,1.0,1.75
sphinx-chugsplash,Sphinx (formerly ChugSplash),1,235,14,0.25824175824175827,4.0,255.0,281.0,32.0,18.0,1.0,2.083333333333485
theredguild,The Red Guild,10,914,891,0.0,5.0,1431.0,95.0,1.0,54.0,1.0,1.4166666666667425
