,allocation
0x8174118063cb147b9275027a3903ed346e0312017034f14a1d93dfdb11b6ae03,102484.90620346692
0xde11188b6d46fcb6a382982d47f01535096c4375b733108005ffc2708e2409e3,101177.9959811286
0xf0b3c2c47e7b2c56c10e8bc10a2243a082212a4903d2308a32562fe8ed1914ec,95951.34602424144
0x0891a0b0b838aba3e5b8aae39aa28cdd786185f8109a4e81058a957fe31e85f9,95100.8317697889
0xd3f12139664f6bb0bfa068b4f434562d23c6d7f8bc80741f072b0482880a664c,90578.99116090352
0x6266e9fec6b4c72cb5d0c2e140b34075626d00414602c342f9070cd6cfc346bb,90106.2636885452
0x1e2bee8970962d9ad1064318b737738b1445e7c2a836e7352e6017424fb6e646,88732.24281426564
0xff8558edb6f7da61862b7935966f125fa69de872b4c4d221b759fc881547b672,88217.53644556525
0xbb91c89a66a4c6c5e3d4c5cb668b4cc68b28406e6493ac354baa1b655bb0c80d,84769.83142324025
0x9f3ba1d01cecea78bac973b6692b9599b7232811ef0aa375c0beee572c606f8f,84189.03680746659
0x1a8881c17f0d8b640beebfe4a9b7f00b13286938f5a47a8be1a1f4e17818ab98,82996.07674760094
0xc7b97d427f4373800415178314d55cc10009b5fa19279d8ea588a0d6e0496f15,82555.22712676985
0x8cb48f49df310993ed327331c1eb813ad36421512ec089c426abebbe0634376c,80975.41063866753
0x1bc3ed0d58e9e9da1086a500f1066e5f47ea525a6255ea75610cd52cf257b726,80333.94607074956
0x8e6becb19c948b0631fd4f054a283eb0a413a2cdf29e9827e33af02aa762018c,80192.24944441816
0xf26936e44ab28e7f9435e4cd69c48ab4d20730f324a2ba4ccb10e76181ca9fea,80046.06109117843
0x4886d87623c9640ad5323b75c7446788462ec730dfb1407e07fc5333e1137872,79177.18732128532
0x84019372c98996e7f1022b8c88147303b0bc1f87629890c2a6fabc3fcd7cf0da,78737.47366406796
0xb5a273808d0af13f4f4780a56185aeb9066241825527f3cec3140c85276ac1b6,78245.49081211968
0x9e821141d31e3f97a0f04414fcac04bf1a508eb2491b6841b26ec127de10a9ac,77698.96898326365
0x2ac7124b487c14ce95be59223007df772feee2f14fbfc862183cc28b7c43ce72,76904.36257386896
0x025f53178309b5533b4e2f1916df29adee31317b7fa7c90c98bfc2371167ade8,75662.61878065458
0x13aa888eb9c7ba77f5c9e3e9d86a681eeca09e8ec7b3c6910067384583a5c6c5,74536.8476507065
0x023c2e26be3e58ca27b0acfc3c4c6c1fa025ccfc7e46b0a86604c3cc3689bc42,74029.74795258099
0x1d80af2813a0d04c8340d59306b95408e7e60277704840faf8962490128b4e49,73431.4713491594
0x86f20a2671ef751e9fdf181bfe8d2c6e0647f67679489b197c26cb25dad5458f,73318.59109005988
0xd009735343579f262fd612af0e196a2e6c2bd5e91f0dd21ff1d671d4e5e5234f,73287.00657882789
0xb013147d4a5c22749fa6937242ccac83ca43dd9a90d799db97c78a0c8e0e9e1e,73210.56945761568
0xe626b8e8cb166d0aceb633b9f46711dabc3d756466ed08a8c659da1311a6aeba,72689.20775207254
0x933019d3568e65ef5e798992024ae4b6342f8492fd14b35c0ac0d1bf1a953003,72647.39518145789
0x62bbb21c83167236f1224b33e62174e32053c7646277786eb989c70da18caed1,71918.40444940716
0x48e15f1a280e543983e8e44ac5278aa9a7c2ae10b5ce47063aeaac6e946e87b9,71099.11014126564
0xf21ed490481bfa94ad9d8c4e23a7df10f3678e4db089fa83e851c1be5960a295,70199.26396265325
0x6f06cd029b723ce7091c72c07f1ba3d8a13256330e80ba22a50f9ca4fb72ead3,69031.4434535288
0x60585df62409c99f673d3397e52b28827d7d6157ffdaf77cc822d529af76fb50,68817.47109613838
0x615bcadb648c632d3bad75c741e9df2a5ed642b7972d742e94fd17f7df00ca3e,68797.80771928627
0xf2021d8979bd4aa2227f27cfe6490815952fca725e8da6271e1f6dba49ba0701,68664.49949537481
0xf0c27a9c80ea4e1fae5d2539ab216b69c85bed3e28d32462fad630f4a647e4b9,67930.13013495093
0x02b58685651eb98cf186d2646229c4715f14df20a85a0726f19b2fe6f556c337,67654.34719809613
0x30b4d60bfb94f4aa0025688806a9bb0091bbb190ec5dd6c6fa450f73680e6cda,66961.45285701545
0xb6c682b512bde1cf119a5ea4ada73cd63588b1a88472f93b71ffe7a891db17f8,66709.11053348456
0x6aeb3dad89f6557ec81a11d4c59afd43afda97e8358145eba8a701462f1923d2,65470.78165559106
0x1146b460d58d7e9220497ea947d646b243f0aca3d4bec0d00c67116a4a1e8581,65342.76579879528
