,timeCreated,projectRegUID,mgl_project_name,agoraProjectRegUID,agora_project_name,farcasterUsername,farcasterID,is_citizen,is_top_delegate,governance_role,governance_membership,nps_score,pmf_score,valid_attestation,id,attester,recipient,contributionRegUID,metadataurl,metadata
818,2024-10-28 02:46:52,0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535,Superfluid,0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535,,ricmoo,9193,True,False,{'Citizen'},,7.0,1.0,False,0x53478a97fec9fa86429c0bfded6b19a7e9b3b13b1736b2d2279d31f5f02ef4ac,0x7484aABFef9f39464F332e632047983b67571C0a,0x6b9Bd00ac672CBD939F5Ea88B9e5cF1A4013f6ef,0x14efe58273fb2e2c53cec0e30c293aed48be721d1cfc967146973f977f3a591a,https://gateway.pinata.cloud/ipfs/QmXiWX36LtUvgsUh6RD76zvuradnqg9kJEdHNEBX5Dcw45,"{'id': 1865, 'project': {'name': 'Superfluid', 'description': ""Superfluid is the leading asset streaming protocol that brings subscriptions, salaries, vesting, and rewards distributions to DAOs and crypto-native businesses worldwide.\n\nThe protocol has been live on Optimism since March 2022 and on Base since July 2023. It has been empowering developers with a crypto-native financial primitive, money streaming, and a modular smart contracts framework to build applications that leverage a formula-based balance and gasless, liquid, ongoing value transfer.\n\nTo date 31,769 streams have been started on Optimism and 577,985 on Base for a combined total volume of over $170M.\n\nSuperfluid is designed to minimize its TVL in favor of making assets available to sender or recipient at all times, minimizing funds locked in smart contracts. As such its impact is better measures in total volume transferred, number of total or active streams, total number of users and daily active users. When measuring the protocol activity it's important to not only rely on the on-chain transaction to smart contracts, but also on the the inner mechanics of the protocol (i.e. by evaluating the actions triggered via callData or by using the protocol subgraph).\n\nOn the alignment with Optimism and Retro Funding Round 4\n- Superfluid is builder-centric. A developer tool with clear focus on onboarding more developers to build more apps. As such, it’s additive to Optimism’s own goals.\n- Superfluid is supporting long term, real world use cases, like Salaries, Subscriptions, Memberships, Rentals, Airdrops, Grants distribution as well as entirely novel applications in DeFi, SocialFi and beyond.\n\nSuperfluid Protocol has been used by the Optimism Foundation to stream the RPGF3 grants, and will be used again in the upcoming RPGF4 round, providing the rails for a seamless funds distribution.\n\nThe protocol has been designed around builders and developers, with a set of tools available for building, debugging and data retrieval that empower new applications development. Here you can see an overview of projects built on Superfluid that have added value (and usage) to the Optimism and Base networks: https://www.superfluid.finance/post/how-superfluid-protocol-is-empowering-onchain-builders\n\nIf you have any questions or would like to learn more about Superfluid, please reach out to mdali.eth on Warpcast or Twitter/X."", 'website': ''}, 'reviewer': {'userFID': 9193, 'ethAddress': '0x0000000000000000000000000000000000000000'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'Superfluid', 'description': 'Superfluid', 'website': ''}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 7}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 1}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': ""I have only had limited interaction with it (as a recipient of RPGF in a round that uses it). It works and has a UX that isn't overwhelming and intuitive. I'm still keeping an eye on it though.""}]}"
827,2024-10-28 02:44:32,0x8baac027df9c78c3dbda664c8f0190391e6b4bdabf240da9ccc4f0837933d8f2,Metrics Garden Labs,0x7753d360506e1d538e9a4720677595b2b811b3a3e74b81bd54c52ddfaaf51537,Impact Evaluation Framework + Metrics Garden Database,ricmoo,9193,True,False,{'Citizen'},,8.0,1.0,True,0x8123f9c780e2550e1d9f69c99bf37a266951630566abbac790edd0e6060a9485,0x7484aABFef9f39464F332e632047983b67571C0a,0x40a0D0a2e36FBECc22447Db34C997aF3b336c7B4,0x28415244574191f56aae9b13bf81d37ca40bc7db2b0201903d60f280330e2653,https://gateway.pinata.cloud/ipfs/QmQq8YcGgtWAPjQoatk1JLWDKXzqjir4spJJNo26noKcGS,"{'id': 1782, 'project': {'name': 'Metrics Garden Labs', 'description': ""We're an Impact Studio focused in advancing Impact Assessment in the web3 space through research, experiments, and mechanism design. "", 'website': 'https://www.metricsgarden.xyz'}, 'reviewer': {'userFID': 9193, 'ethAddress': '0x0000000000000000000000000000000000000000'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'Metrics Garden Labs', 'description': 'Impact Garden', 'website': 'https://www.metricsgarden.xyz'}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 8}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 1}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': ""Overall the project works well, but I haven't seen the output utilized enough yet to know how much impact it will have. Still keeping an eye on it. :)""}]}"
853,2024-10-28 02:42:44,0x5e6c436e48e56d6d9622ba5d0be0035c314e2b29d2afc8f5f1ee8ac75cd42532,Snapshot,0x5e6c436e48e56d6d9622ba5d0be0035c314e2b29d2afc8f5f1ee8ac75cd42532,Snapshot,ricmoo,9193,True,False,{'Citizen'},,10.0,2.0,True,0xdbfbc887d544c678f1d741bb4e33a17cc9e103337155a463bbb1a94fe08606ce,0x7484aABFef9f39464F332e632047983b67571C0a,0x0000000000000000000000000000000000000000,0xe6bdbfc520bd008e4d6b40d15405ea07528e65de66c2be318d93d706978f558c,https://gateway.pinata.cloud/ipfs/QmPbLg7ii9G5YswvChPdk9vjtocVcmSrku1x4Txf9FjQJW,"{'id': 2011, 'project': {'name': 'Snapshot', 'description': ""Snapshot started as a voting platform designed to allow onchain organizations to vote easily without gas fees. Its strength lies in its flexibility and high customization, catering to the diverse needs of its users. This includes options for calculating users' voting power, selecting different voting mechanisms, and managing proposal and vote validation rules.\n\nAs the gas cost dropped with the maturity of L2s and the need for more decentralized and trustless voting grew, we developed Snapshot X, an onchain voting protocol. Unlike the original Snapshot, Snapshot X operates fully onchain using a set of modular smart contracts. This shift makes Snapshot censorship resistant, with onchain and cross-chain voting power computation and trustless execution, while keeping gas costs to the minimal extent possible."", 'website': 'https://snapshot.box/#/'}, 'reviewer': {'userFID': 9193, 'ethAddress': '0x0000000000000000000000000000000000000000'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'Snapshot', 'description': 'Snapshot', 'website': 'https://snapshot.box/#/'}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 10}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 2}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': 'I solid project that is easy-to-use, does what it is supposed to *very* well and ""just works"" (which is a somewhat rare in the blockchain space ;)).'}]}"
860,2024-10-28 02:39:52,0x6aa80764b6082947c3b2de86fe12804eb475b0afb719de50b9eed60b86f20535,Gitcoin,0x6aa80764b6082947c3b2de86fe12804eb475b0afb719de50b9eed60b86f20535,Gitcoin,ricmoo,9193,True,False,{'Citizen'},,10.0,3.0,True,0xed4de6828520ede7afbf0688891d54fcbbdb8d1145cf9c8a91d2dcf1eb022019,0x7484aABFef9f39464F332e632047983b67571C0a,0x00De4B13153673BCAE2616b67bf822500d325Fc3,0x0a561d6a82243e08e04cba89d1ac246887806bc14a28f6f7a219b387183e2796,https://gateway.pinata.cloud/ipfs/QmQsCvMwXq4yhbAwBk3sLybScxdXVxuPsmgyeufRWBZJT5,"{'id': 1933, 'project': {'name': 'Gitcoin', 'description': 'Since 2017, Gitcoin has been building tools that enable communities to build, fund and protect what matters to them.  We envision a world shaped by community-led positive change.', 'website': ''}, 'reviewer': {'userFID': 9193, 'ethAddress': '0x0000000000000000000000000000000000000000'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'Gitcoin', 'description': 'Gitcoin', 'website': ''}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 10}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 3}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': 'I have participated in GitCoin rounds since GR1 and for projects like myself and numerous others, GitCoin has made projects that would have otherwise had no (credibly neutral) path forward possible.'}]}"
825,2024-10-28 01:53:44,0xbb1e4aadda991e93d4ba4630582f222b2c57c0b0d729e29247cf2a3873936808,Tribuni Telegram Bot,0xbb1e4aadda991e93d4ba4630582f222b2c57c0b0d729e29247cf2a3873936808,Tribuni Telegram Bot,ken12369,350951,False,False,,,10.0,3.0,False,0x718820ef4f0b77513b685ab20d2415c02415525368429a22666208e98f810e4b,0x7484aABFef9f39464F332e632047983b67571C0a,0xEdD95782d13902Ae535332b5D233041E47aD69E6,0x00857080059ebdd4f252fc921094498fc4025959df7d48785482790385b0e6f3,https://gateway.pinata.cloud/ipfs/QmPrLHLkqEEU3s2VkGuB26CBt6rzg83tkiynZfvG6Uvhfi,"{'id': 1789, 'project': {'name': 'Tribuni Telegram Bot', 'description': ""Delegates are the cornerstone of Optimism's governance system. Active and well-informed delegates lead to resilient and sound governance. However, delegates need to process a lot of information, and often find it challenging to stay up-to-date. We are humans after all.\\n\\nTo help delegates stay active and well-informed, my team launched Tribuni - a free telegram mini-app built for delegates. Tribuni sends you quality AI proposal summaries, vote reminders and OP forum activity digest via Telegram. Delegates never miss a vote or an important discussion in OP ecosystem as long as they're on Telegram.\\n\\nAs of Sep 2024, Tribuni supports people managing 28 OP delegate profiles with ~28M vote power combined. Tribuni has become an indispensable part of their delegate workflow. "", 'website': 'https://tribuni.vercel.app/'}, 'reviewer': {'userFID': '350951', 'ethAddress': '0x0000000000000000000000000000000000000000'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'Tribuni Telegram Bot', 'description': 'Tribuni Telegram Bot', 'website': 'https://tribuni.vercel.app/'}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 10}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 3}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': '""Tribuni has become a core part of the governance decision making process."" This rating represents an EAS attestation by calblockchain.eth: https://tinyurl.com/cal-tribuni-attestation'}]}"
857,2024-10-28 01:50:40,0x4a4f522807b32a1e1362a37c868d107f63407947d4efdc4e9ecc94c0fa77db0c,GovScore,0x4a4f522807b32a1e1362a37c868d107f63407947d4efdc4e9ecc94c0fa77db0c,GovScore,ken12369,350951,False,False,,,9.0,3.0,False,0xe679d889ffbd54556b70f8e3e301512e135bbbf234a3d96cf8878419b21c96b8,0x7484aABFef9f39464F332e632047983b67571C0a,0xA7860E99e3ce0752D1ac53b974E309fFf80277C6,0x4c5822eb6c284edefe4ee6d802f9a5a5d62d93909d60cf33a89b03a9f0bcd49e,https://gateway.pinata.cloud/ipfs/QmcsKLQSsxB9vfFnLMxCputosVxxgXPQyAz1QYPTyaTygW,"{'id': 2173, 'project': {'name': 'GovScore', 'description': 'GovScore is a platform for discovering quality underrepresented Optimism delegates via a score using onchain data. The factors that determine GovScore are voting history (with and without reason), voting power, and decentralized identity.', 'website': 'https://opgovscore.com/delegates'}, 'reviewer': {'userFID': '350951', 'ethAddress': '0x0000000000000000000000000000000000000000'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'GovScore', 'description': 'GovScore', 'website': 'https://opgovscore.com/delegates'}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 9}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 3}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': 'GovScore is helpful for identifying active delegates and their contact information. Support for partial wallet address match is great.'}]}"
801,2024-10-28 01:18:43,0x8baac027df9c78c3dbda664c8f0190391e6b4bdabf240da9ccc4f0837933d8f2,Metrics Garden Labs,0x7753d360506e1d538e9a4720677595b2b811b3a3e74b81bd54c52ddfaaf51537,Impact Evaluation Framework + Metrics Garden Database,chomtana.eth,328679,False,True,{'Top 100 Delegate'},,8.0,2.0,True,0x196ca988ddd7dcf000adfd34c56d97929edf51bcd6a671756f90934649977b3d,0x7484aABFef9f39464F332e632047983b67571C0a,0x40a0D0a2e36FBECc22447Db34C997aF3b336c7B4,0x28415244574191f56aae9b13bf81d37ca40bc7db2b0201903d60f280330e2653,https://gateway.pinata.cloud/ipfs/QmZkDL4sz6YzvxtUoCumri7f4BB7dm9T3njJhh38Q5Z9hc,"{'id': 1782, 'project': {'name': 'Metrics Garden Labs', 'description': ""We're an Impact Studio focused in advancing Impact Assessment in the web3 space through research, experiments, and mechanism design. "", 'website': 'https://www.metricsgarden.xyz'}, 'reviewer': {'userFID': '328679', 'ethAddress': '0xf01dd015bc442d872275a79b9cae84a6ff9b2a27'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'Metrics Garden Labs', 'description': 'Impact Garden', 'website': 'https://www.metricsgarden.xyz'}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 8}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 2}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': ''}]}"
800,2024-10-28 01:18:27,0x86945b0e97c101bc4cfdb82f897bd5cd16dcdf28b60b4c8887de88155c5c70da,Retro Funding App (Sign up and Identity),0x86945b0e97c101bc4cfdb82f897bd5cd16dcdf28b60b4c8887de88155c5c70da,Retro Funding App (Sign up and Identity),chomtana.eth,328679,False,True,{'Top 100 Delegate'},,8.0,2.0,True,0x1952bd9046e323c15201c0f676cbaed8bb2e710138b96f8e3e9e030c34d92fd3,0x7484aABFef9f39464F332e632047983b67571C0a,0xC3FdAdbAe46798CD8762185A09C5b672A7aA36Bb,0xd59c095e565c0f106c1312bda7482c01c11d224702dae90c9f664db6b03b18ed,https://gateway.pinata.cloud/ipfs/QmQJ4iUwNevcVX2dQFgu3QkoTn4rQgKHfmgM7tT3e7fdJq,"{'id': 2235, 'project': {'name': 'Retro Funding App (Sign up and Identity)', 'description': ""Agora developed major portions of the Retrofunding application (https://retrofunding.optimism.io/). In particular:\n\n* Project & team signup and management\n* Identity management for the citizens house (and its interaction with Attestations)\n* Grant claiming and viewing past grant recipients \n* API powering all voting interfaces\n\n---\nRetrofunding functionality not covered by Agora\n1. Voting interfaces for RF 4 and 5\n2. Open Source Observer's data work\n\nNote – all of Agora's projects are being worked on by our full team of 12 (viewable here https://www.agora.xyz/#About) Contributors listed on our projects are only the admins involved in completing our profile and do not represent the full headcount involved in projects."", 'website': 'vote.optimism.io'}, 'reviewer': {'userFID': '328679', 'ethAddress': '0xf01dd015bc442d872275a79b9cae84a6ff9b2a27'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'Retro Funding App (Sign up and Identity)', 'description': 'Retro Funding App (Sign up and Identity)', 'website': 'vote.optimism.io'}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 8}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 2}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': 'Overall good but bug sometime'}]}"
813,2024-10-28 01:17:55,0xfb52bbc12284743f2bf1ad88e2b1b5b3b08d88fa1a7414eefd256ee2ad4e6c73,Retro Funding Application Review,0xfb52bbc12284743f2bf1ad88e2b1b5b3b08d88fa1a7414eefd256ee2ad4e6c73,Retro Funding Application Review,chomtana.eth,328679,False,True,{'Top 100 Delegate'},,8.0,2.0,True,0x3db792ae4e1e99c780a4f382bd6326bf6077396e09a8b3f579ac9e30348d0f0d,0x7484aABFef9f39464F332e632047983b67571C0a,0x9934465Ee73BeAF148b1b3Ff232C8cD86c4c2c63,0x71ab640641b9c11726f5ad4f492ef9a8923a5ed16405588990c530c42956e0cc,https://gateway.pinata.cloud/ipfs/QmUVG38yzVi68uAUoGe5W2fPiE85Codj8ZMBbLxa6EYGj4,"{'id': 1925, 'project': {'name': 'Retro Funding Application Review', 'description': ""The platform for facilitating Retro Funding Round 4 & 5's application review process prior to badgeholder votes. "", 'website': 'https://www.charmverse.io/'}, 'reviewer': {'userFID': '328679', 'ethAddress': '0xf01dd015bc442d872275a79b9cae84a6ff9b2a27'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'Retro Funding Application Review', 'description': 'Retro Funding Application Review', 'website': 'https://www.charmverse.io/'}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 8}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 2}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': 'Would be better if API is exposed'}]}"
803,2024-10-28 01:17:19,0xf752ab3ca3a629004c99cd509b9b018e317c20ccc69344e491431a48836229ec,Retro Funding & Token House API,0xf752ab3ca3a629004c99cd509b9b018e317c20ccc69344e491431a48836229ec,Retro Funding & Token House API,chomtana.eth,328679,False,True,{'Top 100 Delegate'},,4.0,1.0,True,0x1c74a4b8f878e7aee29faa9429c28d47ae6c9e95feea03e8763cabb04ca1f259,0x7484aABFef9f39464F332e632047983b67571C0a,0xC3FdAdbAe46798CD8762185A09C5b672A7aA36Bb,0xe89302ebd22f1b00cf0d6438d72c36b58c993b750ed5663f1b11f80a6a80eb55,https://gateway.pinata.cloud/ipfs/QmUrvs6SK35pb1ndhoMmy3bUUG5MYBbHFM1CuDoGyvFVbM,"{'id': 2237, 'project': {'name': 'Retro Funding & Token House API', 'description': 'Agora built the backend and API powering all Retrofunding software. This backend and API is leveraged by both software built by Agora (Retrofunding sign up and identity management), but also ""official"" voting apps built by Optimism grantees like Gitcoin/RG and Charmvese, as well as community apps like Retrolist, RetroPGFHub, Delegatematch.xyz, IDriss, opdelegate.com, Tally, Curia, 3dns, Metric Garden, Open Source Observer, and more.\n\nNote – all of Agora\'s projects are being worked on by our full team of 12 (viewable here https://www.agora.xyz/#About) Contributors listed on our projects are only the admins involved in completing our profile and do not represent the full headcount involved in projects.', 'website': 'vote.optimism.io'}, 'reviewer': {'userFID': '328679', 'ethAddress': '0xf01dd015bc442d872275a79b9cae84a6ff9b2a27'}, 'context': {'ecosystems': [{'name': 'Optimism', 'tags': [{'category': 'Governance', 'subcategory': 'Infra & Tooling', 'round': 'RF6'}]}], 'userInterface': 'Impact Garden'}, 'contributions': [{'name': 'Retro Funding & Token House API', 'description': 'Retro Funding & Token House API', 'website': 'vote.optimism.io'}], 'impactAttestations': [{'name': 'Likely to Recommend', 'type': 'numeric', 'value': 4}, {'name': 'Feeling if didnt exist', 'type': 'numeric', 'value': 1}, {'name': 'Governance Knowledge', 'type': 'numeric', 'value': ''}, {'name': 'Useful for Understanding', 'type': 'numeric', 'value': ''}, {'name': 'Effective for Improvements', 'type': 'numeric', 'value': ''}, {'name': 'Why Effective for Improvements', 'type': 'string', 'value': ''}, {'name': 'Text Review', 'type': 'string', 'value': 'As LauNaMu said plus schema usually has breaking changes'}]}"
