,Devtool Project,Devtool URL,Onchain Builder,List of Packages Used by Project,Total Package Dependents in OSO,Total Package Dependents in RF4,Devtool Star Count,Devtool Fork Count,Devtool Created Date,Devtool Language,License
0,Blocknative,https://github.com/blocknative/web3-onboard,Across,"@web3-onboard/coinbase, @web3-onboard/common, @web3-onboard/core, @web3-onboard/gnosis, @web3-onboard/injected-wallets, @web3-onboard/metamask, @web3-onboard/phantom, @web3-onboard/react, @web3-onboard/walletconnect",98,16,876,527,2019-08-16,TypeScript,MIT License
26,Coinbase,https://github.com/coinbase/coinbase-wallet-sdk,Across,@coinbase/wallet-sdk,964,93,1540,613,2019-05-01,TypeScript,MIT License
1,Ethereum Miscellenia,https://github.com/ethereum/solc-js,Across,solc,1799,149,1470,481,2016-04-04,TypeScript,MIT License
2,EthereumJS,https://github.com/ethereumjs/ethereumjs-monorepo,Across,"@ethereumjs/block, @ethereumjs/blockchain, @ethereumjs/common, @ethereumjs/ethash, @ethereumjs/rlp, @ethereumjs/tx, @ethereumjs/util, @ethereumjs/vm, @nomicfoundation/ethereumjs-block, @nomicfoundation/ethereumjs-blockchain, @nomicfoundation/ethereumjs-common, @nomicfoundation/ethereumjs-ethash, @nomicfoundation/ethereumjs-evm, @nomicfoundation/ethereumjs-rlp, @nomicfoundation/ethereumjs-statemanager, @nomicfoundation/ethereumjs-trie, @nomicfoundation/ethereumjs-tx, @nomicfoundation/ethereumjs-util, @nomicfoundation/ethereumjs-vm, ethereumjs-util, merkle-patricia-tree, rlp",2298,170,2631,783,2015-07-10,TypeScript,
3,Hardhat,https://github.com/nomicfoundation/hardhat,Across,@nomicfoundation/hardhat-verify,1119,121,7470,1474,2018-04-14,TypeScript,Other
4,IPFS,https://github.com/ipfs/protons,Across,protons,653,55,34,23,2016-06-08,TypeScript,Other
5,Jolly Roger and Hardhat-deploy,https://github.com/wighawag/hardhat-deploy,Across,hardhat-deploy,737,80,1206,298,2020-03-19,TypeScript,MIT License
6,Metamask,https://github.com/metamask/core,Across,"@metamask/eth-json-rpc-provider, @metamask/json-rpc-engine, @metamask/json-rpc-middleware-stream",548,69,300,203,2018-05-29,TypeScript,MIT License
7,Metamask,https://github.com/metamask/eth-block-tracker,Across,eth-block-tracker,1705,136,131,82,2017-02-04,TypeScript,MIT License
8,OpenZeppelin,https://github.com/openzeppelin/defender-client,Across,"@openzeppelin/defender-base-client, @openzeppelin/platform-deploy-client",254,34,56,47,2020-07-09,TypeScript,MIT License
9,OpenZeppelin,https://github.com/openzeppelin/openzeppelin-contracts,Across,@openzeppelin/contracts,1773,146,25275,11910,2016-08-01,Solidity,MIT License
10,Optimism,https://github.com/ethereum-optimism/ecosystem,Across,@eth-optimism/sdk,108,17,105,55,2023-09-11,TypeScript,MIT License
11,Optimism,https://github.com/ethereum-optimism/optimism,Across,"@eth-optimism/contracts, @eth-optimism/core-utils",422,53,5915,3465,2020-02-06,Go,MIT License
24,Paul Miller,https://github.com/paulmillr/noble-curves,Across,@noble/curves,1579,146,734,69,2022-12-03,JavaScript,MIT License
12,Prettier Solidity,https://github.com/prettier-solidity/prettier-plugin-solidity,Across,prettier-plugin-solidity,1095,117,731,75,2018-05-15,Solidity,MIT License
28,Rollup,https://github.com/rollup/rollup,Across,"@rollup/rollup-android-arm-eabi, @rollup/rollup-android-arm64, @rollup/rollup-darwin-arm64, @rollup/rollup-darwin-x64, @rollup/rollup-linux-arm-gnueabihf, @rollup/rollup-linux-arm-musleabihf, @rollup/rollup-linux-arm64-gnu, @rollup/rollup-linux-arm64-musl, @rollup/rollup-linux-powerpc64le-gnu, @rollup/rollup-linux-riscv64-gnu, @rollup/rollup-linux-s390x-gnu, @rollup/rollup-linux-x64-gnu, @rollup/rollup-linux-x64-musl, @rollup/rollup-win32-arm64-msvc, @rollup/rollup-win32-ia32-msvc, @rollup/rollup-win32-x64-msvc, rollup",1820,108,25560,1548,2015-05-14,JavaScript,Other
13,Safe,https://github.com/safe-global/safe-apps-sdk,Across,"@safe-global/safe-apps-provider, @safe-global/safe-apps-sdk",767,82,279,138,2020-04-17,TypeScript,MIT License
14,Safe,https://github.com/safe-global/safe-gateway-typescript-sdk,Across,@safe-global/safe-gateway-typescript-sdk,764,82,21,24,2021-07-07,TypeScript,MIT License
25,Solana Labs,https://github.com/solana-labs/solana-program-library,Across,"@solana/spl-token, @solana/spl-token-group, @solana/spl-token-metadata, @solana/spl-type-length-value, spl-associated-token-account, spl-discriminator-derive, spl-discriminator-syn, spl-memo, spl-pod, spl-program-error, spl-program-error-derive, spl-tlv-account-resolution, spl-token, spl-token-group-interface, spl-token-metadata-interface, spl-transfer-hook-interface, spl-type-length-value",409,30,3749,2184,2020-05-29,Rust,Apache License 2.0
15,Solhint,https://github.com/protofire/solhint,Across,solhint,1014,111,1055,172,2017-10-16,JavaScript,MIT License
16,Synpress,https://github.com/synthetixio/synpress,Across,@synthetixio/synpress,51,7,625,204,2020-11-18,TypeScript,
27,UnJS,https://github.com/unjs/crossws,Across,crossws,646,72,439,18,2023-12-07,TypeScript,Other
17,Wallet Connect,https://github.com/walletconnect/walletconnect-monorepo,Across,"@walletconnect/browser-utils, @walletconnect/client, @walletconnect/core, @walletconnect/ethereum-provider, @walletconnect/iso-crypto, @walletconnect/mobile-registry, @walletconnect/qrcode-modal, @walletconnect/socket-transport, @walletconnect/types, @walletconnect/universal-provider, @walletconnect/utils",1365,103,1495,732,2018-08-26,TypeScript,Apache License 2.0
18,Wallet Connect,https://github.com/walletconnect/walletconnect-utils,Across,"@walletconnect/crypto, @walletconnect/encoding, @walletconnect/environment, @walletconnect/events, @walletconnect/heartbeat, @walletconnect/jsonrpc-http-connection, @walletconnect/jsonrpc-provider, @walletconnect/jsonrpc-types, @walletconnect/jsonrpc-utils, @walletconnect/jsonrpc-ws-connection, @walletconnect/keyvaluestorage, @walletconnect/logger, @walletconnect/randombytes, @walletconnect/relay-api, @walletconnect/relay-auth, @walletconnect/safe-json, @walletconnect/time, @walletconnect/window-getters, @walletconnect/window-metadata",1305,104,117,80,2021-07-08,TypeScript,MIT License
19,ethers.js,https://github.com/ethers-io/ethers.js,Across,"@ethersproject/abi, @ethersproject/abstract-provider, @ethersproject/abstract-signer, @ethersproject/address, @ethersproject/base64, @ethersproject/basex, @ethersproject/bignumber, @ethersproject/bytes, @ethersproject/constants, @ethersproject/contracts, @ethersproject/experimental, @ethersproject/hardware-wallets, @ethersproject/hash, @ethersproject/hdnode, @ethersproject/json-wallets, @ethersproject/keccak256, @ethersproject/logger, @ethersproject/networks, @ethersproject/pbkdf2, @ethersproject/properties, @ethersproject/providers, @ethersproject/random, @ethersproject/rlp, @ethersproject/sha2, @ethersproject/signing-key, @ethersproject/solidity, @ethersproject/strings, @ethersproject/transactions, @ethersproject/units, @ethersproject/wallet, @ethersproject/web, @ethersproject/wordlists, ethers",2552,180,8086,1925,2016-07-16,TypeScript,MIT License
20,gas-reporter,https://github.com/cgewecke/hardhat-gas-reporter,Across,hardhat-gas-reporter,1347,139,416,64,2019-06-20,TypeScript,MIT License
21,solidity-coverage,https://github.com/sc-forks/solidity-coverage,Across,solidity-coverage,1407,138,989,269,2017-05-01,JavaScript,MIT License
22,wevm,https://github.com/wevm/abitype,Across,abitype,1121,107,498,48,2022-08-03,TypeScript,MIT License
23,wevm,https://github.com/wevm/isows,Across,isows,811,94,49,5,2023-10-08,TypeScript,Other
29,zkSync Era,https://github.com/matter-labs/hardhat-zksync,Across,"@matterlabs/hardhat-zksync-deploy, @matterlabs/hardhat-zksync-solc, @matterlabs/hardhat-zksync-upgradable, @matterlabs/hardhat-zksync-verify",150,27,281,228,2021-11-17,TypeScript,Apache License 2.0
30,Alchemy,https://github.com/alchemyplatform/aa-sdk,Agora,"@aa-sdk/core, @account-kit/infra, @account-kit/logging, @account-kit/smart-contracts, @alchemy/aa-accounts, @alchemy/aa-alchemy, @alchemy/aa-core",35,6,240,140,2023-05-19,TypeScript,MIT License
