Project Name,Category,% of votes received,OP Received,Project Profile
Protocol Guild,Infrastructure,5.5730,"557,301.00",https://app.optimism.io/retropgf-discovery/0x4C0a466DF0628FE8699051b3Ac6506653191cc21
L2BEAT,Education,2.5629,"256,294.36",https://app.optimism.io/retropgf-discovery/0xa142aB9eab9264807A41F0E5cbDab877D204E233
geth,Infrastructure,2.3059,"230,590.08",https://app.optimism.io/retropgf-discovery/0x60AdC0F89a41AF237ce73554EDe170D733ec14E0
ETHGlobal,Education,2.3001,"230,005.52",https://app.optimism.io/retropgf-discovery/0xe993486B257Cd1481aef74b3B909A2627Fc8d305
BuidlGuidl,Education,2.2417,"224,174.11",https://app.optimism.io/retropgf-discovery/0x34aA3F359A9D614239015126635CE7732c18fDF3
Solidity,Infrastructure,2.1738,"217,383.16",https://app.optimism.io/retropgf-discovery/0x151EF20A3ADe1CC1161391594f8a32461389a54e
Ethers,Infrastructure,2.0914,"209,140.64",https://app.optimism.io/retropgf-discovery/0x8ba1f109551bD432803012645Ac136ddd64DBA72
0xPARC,Education,2.0605,"206,053.62",https://app.optimism.io/retropgf-discovery/0x5401745963974c22F8f8254a2A904Ea5f54ddc22
EIP4844 collection,Infrastructure,1.9567,"195,674.82",https://app.optimism.io/retropgf-discovery/eip-4844
Monorepo dependencies collection,Infrastructure,1.8900,"188,999.93",https://app.optimism.io/retropgf-discovery/monorepo-dependencies
ZachXBT,Education,1.8857,"188,573.93",https://app.optimism.io/retropgf-discovery/0x9D727911B54C455B0071A7B682FcF4Bc444B5596
OPCraft & MUD (Lattice),Infrastructure,1.8335,"183,348.21",https://app.optimism.io/retropgf-discovery/0xD8ce5Ae15E2A9C8528FDce195AD43015782C5079
OpenZeppelin,Tooling and utilities,1.8176,"181,764.94",https://app.optimism.io/retropgf-discovery/0x6084fBE2Aa96Bb131D6Bc7Bd3BE786882cfA250F
DefiLlama,Tooling and utilities,1.7129,"171,292.71",https://app.optimism.io/retropgf-discovery/0x3754a10c1cA723961068B2653109E6201982Dd9c
Lighthouse,Infrastructure,1.6546,"165,460.21",https://app.optimism.io/retropgf-discovery/0x59cc06BF5CF5e07790432599060B7D402F9d2cA8
wagmi,Tooling and utilities,1.5646,"156,463.05",https://app.optimism.io/retropgf-discovery/0xd2135CfB216b74109775236E36d4b433F1DF507B
Remix Project,Tooling and utilities,1.5168,"151,676.14",https://app.optimism.io/retropgf-discovery/0x2ba1aebA3fBd69aa74944F17326Bfdc229fD986E
Gitcoin,Tooling and utilities,1.5149,"151,494.17",https://app.optimism.io/retropgf-discovery/0x48A63097E1Ac123b1f5A8bbfFafA4afa8192FaB0
Foundry,Tooling and utilities,1.4867,"148,672.83",https://app.optimism.io/retropgf-discovery/0x4BAa1fcAe9Ba8F9e1247b5CFD71e2463e85b2284
Snapshot,Tooling and utilities,1.4570,"145,698.50",https://app.optimism.io/retropgf-discovery/0xf9551c66995eD3Ff9bb05C9Fd7ff148Bd75dc99a
rotki,Tooling and utilities,1.4527,"145,272.64",https://app.optimism.io/retropgf-discovery/0x9531C059098e3d194fF87FebB587aB07B30B1306
Goerli,Infrastructure,1.4351,"143,507.74",https://app.optimism.io/retropgf-discovery/goerli
Erigon,Infrastructure,1.4165,"141,650.27",https://app.optimism.io/retropgf-discovery/0x9D20893054afC4A74b856089c44F9A09d1C38Db0
Nethermind,Infrastructure,1.3562,"135,623.67",https://app.optimism.io/retropgf-discovery/0xFED0e586cB372Fd0b17ead9F8cb1347BF8a5937f
Vyper,Infrastructure,1.3523,"135,226.30",https://app.optimism.io/retropgf-discovery/0xAbfA48BCc0F96Fc70be7a4156b0a74Ea350167fD
Kernel,Education,1.3204,"132,035.12",https://app.optimism.io/retropgf-discovery/0xC728DEa8B2972E6e07493BE8DC2F0314F7dC3E98
CryptoZombies,Education,1.3058,"130,577.81",https://app.optimism.io/retropgf-discovery/0xbb105E3c6D6406A3F0aAB98cD8D0E3a127bD6436
Giveth,Tooling and utilities,1.2981,"129,814.43",https://app.optimism.io/retropgf-discovery/0xDCfe20E6C1d14c26930a28B1f92fB981CDa26884
Week in Ethereum News,Education,1.2170,"121,700.47",https://app.optimism.io/retropgf-discovery/0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1
Safe (previously Gnosis Safe),Infrastructure,1.1958,"119,584.01",https://app.optimism.io/retropgf-discovery/0x9F87C1aCaF3Afc6a5557c58284D9F8609470b571
beaconcha.in,Infrastructure,1.0584,"105,836.75",https://app.optimism.io/retropgf-discovery/0xd9ED89A0f4cfbC1be4b7b1aA744b5bd25ACA9979
Agora,Tooling and utilities,1.0199,"101,992.05",https://app.optimism.io/retropgf-discovery/0xFdFC6E1BbEc01288447222fC8F1AEE55a7C72b7B
Polynya,Education,0.9882,"98,824.31",https://app.optimism.io/retropgf-discovery/0x429F9aDA43e9F345CbB85EC88681BB70Df808892
Support NERDs collection,Education,0.9368,"93,683.95",https://app.optimism.io/retropgf-discovery/support-nerds
eth.limo,Tooling and utilities,0.9227,"92,270.33",https://app.optimism.io/retropgf-discovery/0xB352bB4E2A4f27683435f153A259f1B207218b1b
