"project_id","project_name","month","active_contributors"
"02e4eaf1-03c6-4a12-9f71-f311d4efc2ab","Plebbit","2022-06-01 00:00:00+00","1"
"032c0523-5c78-4ea0-9862-3de43c0806d9","Smart Invoice","2022-06-01 00:00:00+00","2"
"03d452b9-424e-4074-b21c-0c72ff8f000b","timdaub’s work as ETH Magician ","2022-06-01 00:00:00+00","3"
"03d97a66-4ccd-441d-8fcb-9bc3478bb348","Jolocom","2022-06-01 00:00:00+00","4"
"057c4801-a85e-458d-9bc4-87cc39ffb55a","Chainlist","2022-06-01 00:00:00+00","159"
"074f0a23-bc7e-430e-951a-ccb08f694939","Monorepo Dependencies Collection","2022-06-01 00:00:00+00","39"
"09a47872-831d-4fdd-9669-d6d069809e23","Dapp-Learning","2022-06-01 00:00:00+00","15"
"1141e698-ab25-49e9-89d4-bfc7fe4bc436","Otterscan","2022-06-01 00:00:00+00","4"
"1180bb84-428a-4ec4-9690-541bc711ce12","Help Protect the Internet Archive","2022-06-01 00:00:00+00","43"
"195a00a7-f7eb-454f-a15b-c0ea585b242b","Geo Web","2022-06-01 00:00:00+00","6"
"1ce236ae-f08b-40be-ab6c-a44b6c1273a3","Web3j","2022-06-01 00:00:00+00","19"
"217260d7-3adf-4b6b-b77b-f3a60038a81e","The MoonMath Manual to zk-SNARKs","2022-06-01 00:00:00+00","7"
"25357c3b-b2da-4b50-aeb5-ef861399f995","Blockscout","2022-06-01 00:00:00+00","38"
"2af8b532-7362-4683-b916-d322cb453774","Smock","2022-06-01 00:00:00+00","11"
"2e58f43d-e6ee-4625-a6f4-97e68da280af","Pepemon: Degen Battleground","2022-06-01 00:00:00+00","2"
"37c6e041-ecf3-45d6-ab26-339c1efcbb25","wagmi","2022-06-01 00:00:00+00","23"
"3d947266-f2b5-42bc-a280-af4032853ca0","Guild","2022-06-01 00:00:00+00","4"
"3def8575-c509-46e9-830c-0423b92330c4","db3 network","2022-06-01 00:00:00+00","2"
"40564057-0822-4115-bef6-dec8005df342","Gravity DAO","2022-06-01 00:00:00+00","14"
"4129c600-61b3-46ea-9a88-419836157d41","Hop Protocol","2022-06-01 00:00:00+00","6"
"412d9922-9114-4c10-bf28-c92205797b91","CirclesUBI","2022-06-01 00:00:00+00","6"
"428612ae-05d6-4709-baf5-6b0d38229869","Praise","2022-06-01 00:00:00+00","6"
"458e88cf-80c1-4eb4-8139-3533949079b3","Forta","2022-06-01 00:00:00+00","9"
"49265f45-467f-4e10-9ef6-8ef7532a9cec","Pocket Network","2022-06-01 00:00:00+00","10"
"4c6b108c-0c75-49e9-8371-8b5613fe1973","Lighthouse","2022-06-01 00:00:00+00","17"
"4f73671d-019d-46e0-a20e-262e30f264ff","dm3 protocol","2022-06-01 00:00:00+00","1"
"51af1c6e-2865-4bb4-9b37-045839c2aa4a","Fileverse – because Notion & Gsuite are centralised and expensive","2022-06-01 00:00:00+00","3"
"52f562f8-0d7f-4c0e-8c8e-b4ebf401c06c","Gelato","2022-06-01 00:00:00+00","7"
"53f7f73f-b4e9-40ea-8eca-01d1a91909e7","Loanshark","2022-06-01 00:00:00+00","4"
"55ec3e4d-de56-4dd9-8d0c-ca8d0ea3b04d","Ante","2022-06-01 00:00:00+00","5"
"5a5cdad7-8444-442e-8cf3-769e022afb5e","NiceNode","2022-06-01 00:00:00+00","5"
"5ca7682f-a844-47b9-871a-2de2d51a7c19","ethers.js","2022-06-01 00:00:00+00","40"
"5fc70a22-8183-402a-bbc4-6f1bfd34e96d","Nimbus","2022-06-01 00:00:00+00","80"
"603d1143-daf5-4652-bb80-dc0487a970d6","Cambiatus","2022-06-01 00:00:00+00","5"
"613b9789-9ea4-4ff6-b4eb-22e53fbdc80d","Eneagon by zenbit.eth","2022-06-01 00:00:00+00","1"
"65196041-43a7-45d5-bd34-9fc384296314","Vocdoni","2022-06-01 00:00:00+00","11"
"65fb20b9-9df8-48f9-abc2-f612e1a5676b","clr.fund","2022-06-01 00:00:00+00","6"
"674c97ea-5356-40ef-a727-4e1eb37029f2","PLUME: Pseudonymously Linked Unique Message Entities, aka Verifiably Deterministic Signatures on Ethereum","2022-06-01 00:00:00+00","2"
"6d262266-8094-4a33-b924-b762883b09b1","Rigoblock","2022-06-01 00:00:00+00","1"
"6d4eeaaf-ae2d-4d79-8fbd-1d868b5d21ad","beaconcha.in","2022-06-01 00:00:00+00","19"
"6fd36dbf-ee08-4b5e-b5e1-cb7cffeac021","EthStaker","2022-06-01 00:00:00+00","6"
"71df72f6-a83b-46be-b316-2f9880ecda9d","TypeChain","2022-06-01 00:00:00+00","16"
"737f04dd-9bd8-4fba-8cf1-dd79c90eda7a","Scaffold-ETH 2","2022-06-01 00:00:00+00","28"
"77054d7f-1e6d-4b9d-a816-653ddd501623","Rings Network","2022-06-01 00:00:00+00","5"
"778d64aa-723c-4d8a-93f2-621ad904fc68","CruzoCards - Multi-chain NFT marketplace & Web3 AI-powered platform for digital emotions","2022-06-01 00:00:00+00","3"
"78ccf1ea-8b05-4e61-9e64-249b11151742","Somleng - A full-stack cloud communications platform","2022-06-01 00:00:00+00","3"
"7a697c14-9953-4b09-8572-452fbe7e0d1c","Vyper","2022-06-01 00:00:00+00","13"
"81926722-0bfa-4d05-9639-0c40a8f46383","Questbook","2022-06-01 00:00:00+00","10"
"838f8286-be63-4c08-b28b-6970f6fadf5a","GeoNFT & Fractionalizer","2022-06-01 00:00:00+00","4"
"84d743e8-7636-4a75-ab28-5d998ed582f6","Proof of Humanity","2022-06-01 00:00:00+00","8"
"89e56637-00bd-41fe-8dcd-835977c477e8","MetaGame","2022-06-01 00:00:00+00","8"
"8a0fa9d9-b242-4ddf-9237-499babcd2b7a","CryptoStats","2022-06-01 00:00:00+00","3"
"8c0d893c-98b7-4986-89fe-ab2aec7b47b7","Ape Framework","2022-06-01 00:00:00+00","21"
"8e636630-d98a-4249-b66a-0665a402663f","EIP-5164 / PoolTogether Inc","2022-06-01 00:00:00+00","11"
"9528348c-5071-416e-8d05-3cf584b53328","Quest Chains","2022-06-01 00:00:00+00","3"
