project_name,Median,Median (exclude 0s),Mean,Quadratic,variance,category
0xDeFiTH,9,10,6,10,0.21633936555429614,Median (exclude 0s)
0xKhmer,24,23,15,16,0.2387049580131443,Median
0xSalman,25,24,15,15,0.27848101265822783,Median
0xs34n,25,24,25,28,0.06792356108113244,No difference
1W3,20,19,18,20,0.04973647313019938,No difference
ATK,7,6,5,8,0.19861453057473932,Quadratic (longtail)
AW,76,73,122,83,0.2567567151360341,Mean
Accessible,22,21,20,17,0.10801234497346432,No difference
Account,247,238,256,256,0.03457108914666818,No difference
Across Protocol,39,37,54,55,0.206917149116477,Quadratic
Aerodrome Finance,109,105,218,121,0.38770051189598553,Mean
Aestus Relay,97,95,102,37,0.37029301657573627,Mean
Agora,213,219,196,233,0.07120553515500584,No difference
Airstack,48,48,24,34,0.30401817949921106,Median
Alchemy,74,73,52,71,0.15419748144193574,Median
Alex Harley,49,48,83,48,0.3042060071026889,Mean
Alloy,77,74,96,65,0.16715903603083715,Mean
Alpha Insiders,5,5,7,13,0.5047918529600243,Quadratic (longtail)
Andino Talent,10,12,9,17,0.2965855070008698,Quadratic (longtail)
Andrew Hong ilemi,28,27,37,40,0.19638608176993516,Quadratic
Ankr,49,48,23,19,0.4594564011965891,Median
Another World,35,43,29,18,0.337014341930231,Median (exclude 0s)
Antoine,49,48,36,35,0.17923158397835262,Median
ApeWorX LTD,99,95,112,120,0.10855802939608529,No difference
Arbiter,52,50,50,50,0.019801980198019802,No difference
Archly,39,37,15,25,0.3860426580171647,Median
Attest Fest,23,22,16,26,0.19279303640473752,Quadratic
Awesome Optimism,10,10,17,17,0.29936680624647266,Mean
AyaHQ,29,32,72,38,0.464461512319644,Mean
BMX by Morphex,32,34,23,27,0.17126051064081999,Median (exclude 0s)
Bankless Academy,25,29,20,37,0.2588163534704534,Quadratic
Bankless Africa,15,21,29,25,0.2654292276617617,Mean
Bankless Bengali,5,10,9,11,0.3005663588201809,Quadratic (longtail)
Bankless DAO,24,24,20,36,0.2664693550105965,Quadratic
Bankless DAO,5,10,5,9,0.36275250202435627,Median (exclude 0s)
Bankless Japan,7,8,100,26,1.2493815850329846,Mean
Bankless Malayalam,6,8,8,13,0.3412661498508365,Quadratic (longtail)
Bankless Publishing,11,21,16,13,0.2852019311628391,Median (exclude 0s)
BanklessDAO Turkish,5,6,5,10,0.36622709889963334,Quadratic (longtail)
BanklessUA,5,7,9,13,0.40184120650821953,Quadratic (longtail)
Banklessadria,5,10,4,8,0.4079681886878594,Median (exclude 0s)
BasePaint,119,114,175,132,0.2053691736486746,Mean
Based Nouns,49,48,23,30,0.3473497543569764,Median
Baseswap,25,24,32,34,0.1736229464564862,Quadratic
Basic course,5,5,6,11,0.42552315900281695,Quadratic (longtail)
Beam Wallet LLC,76,73,58,53,0.17269187938956654,Median
Bedrock,5,5,14,11,0.5142857142857142,Mean
BitcoinAddict,5,5,10,13,0.4784937083768489,Quadratic (longtail)
Blobscan,99,95,61,68,0.23591791733613282,Median
Blockchain na Escola,11,14,18,20,0.25594469042217616,Quadratic (longtail)
Blockhead,39,37,24,37,0.20140342663333213,Median
Blocknative,99,95,73,73,0.16414470224671648,Median
Blockscout,198,191,206,230,0.0823172210732104,No difference
Blocktrend 區塊勢,5,6,15,16,0.5525998471596575,Quadratic (longtail)
Boardroom,49,48,48,67,0.1763251040110212,Quadratic
Bob,2,3,3,6,0.4948716593053935,Quadratic (longtail)
Bonding Curve,49,48,44,30,0.20515122209626305,Median
Bored Town NFT,12,14,11,12,0.1027188358540238,No difference
Brichis,25,24,38,46,0.3195857269031595,Quadratic
BrightID,74,72,71,82,0.06677805632941777,No difference
Builder Protocol,49,48,62,67,0.16759731812792675,Quadratic
Buildooor,40,38,24,24,0.27614790160211405,Median
Bware Labs,65,63,32,37,0.3486931561187211,Median
CII,8,12,4,10,0.40184120650821953,Median (exclude 0s)
Candide,99,95,64,68,0.22142621977323787,Median
Cannon,99,95,87,97,0.055660436818552025,No difference
Cannonrs,47,47,37,32,0.18404907975460122,Median
Cardo,10,10,6,8,0.2252769665309031,Median
Carlos Melgar,15,16,16,19,0.10497277621629558,No difference
Castle Capital,5,5,14,18,0.6245179546954286,Quadratic (longtail)
ChainList,76,73,63,101,0.20642703020555275,Quadratic
ChainPatrol,49,48,32,19,0.3866534006103592,Median
CharmVerse,109,110,126,110,0.0719143806113291,No difference
Chronicle Labs,49,48,42,39,0.1077714949059038,No difference
Cielo,39,37,21,31,0.2525907427704613,Median
Clave formerly,74,72,63,65,0.07770666385728131,No difference
Clipper,49,73,39,26,0.42508043478596375,Median (exclude 0s)
Clique,49,48,32,46,0.18130291861776449,Median
CollabLand,59,57,61,72,0.1076624860127609,No difference
Commons Stack,69,69,53,68,0.12119698704755266,Median
Conduit,89,86,52,58,0.2661429144039956,Median
Coop Records Music,51,52,100,49,0.3920345725469355,Mean
Coordinape,99,95,66,80,0.1773832608297826,Median
Copinio,28,27,21,22,0.14334222792996923,Median
Covalent,49,48,30,41,0.20847500851688405,Median
CrossAngle Xangle,31,30,25,16,0.2688492000157272,Median
Crowdmuse,33,31,22,15,0.33036287145193927,Median
Crust Network,74,72,41,30,0.40786230560220443,Median
Crypto Commons,15,19,27,19,0.2516611478423583,Mean
Crypto Sapiens,18,19,24,16,0.17680153988452066,Mean
CryptoConexión,12,14,13,20,0.2436594198061901,Quadratic (longtail)
CryptoDuck,5,5,13,16,0.57640052307991,Quadratic (longtail)
CryptoMage,10,10,6,14,0.32659863237109044,Quadratic (longtail)
CryptoStats,36,34,53,43,0.20681756127845352,Mean
CryptoZombies,99,95,112,127,0.13352378627112435,Quadratic
Cryptoast,5,10,7,12,0.3657795707093653,Quadratic (longtail)
Cryptola,3,4,3,8,0.5289946984105814,Quadratic (longtail)
Cryptomind Research,10,10,7,15,0.3158690276528952,Quadratic (longtail)
Cryptosquare,10,10,14,21,0.3773183616066274,Quadratic (longtail)
Cryptoversidad,15,14,14,23,0.26417569354791964,Quadratic (longtail)
DAC on OP Stack,49,48,66,64,0.16863291888347245,Mean
DackieSwap,48,46,23,29,0.33962290377693244,Median
DappLearning,40,41,48,50,0.11154546839383192,No difference
DappRadar,76,76,50,73,0.18297811818776907,Median
Dappnode,247,238,173,221,0.15007293910451697,Median
Dasy,39,41,22,24,0.31373475302377973,Median (exclude 0s)
DeFI Saint,10,10,5,12,0.32281933093998044,Quadratic (longtail)
DeFi Africa,19,22,37,36,0.32727645800311633,Mean
DeFi France,5,5,4,10,0.45133546692422,Quadratic (longtail)
DeSchool,10,10,12,18,0.3028751117760146,Quadratic (longtail)
Decentxyz,56,58,31,39,0.28565801948444963,Median (exclude 0s)
DeepDAO,49,48,43,57,0.11766726667149718,Quadratic
Defilabxyz,40,48,30,18,0.3812200410828153,Median (exclude 0s)
DefiLlama,247,238,263,266,0.05238286466020273,No difference
Definomics labs,10,12,10,18,0.3028751117760146,Quadratic (longtail)
Defy Foundation,5,5,8,15,0.5717564322458547,Quadratic (longtail)
Delegate,49,48,58,70,0.18151624761477456,Quadratic
Dept of Decentral,129,124,165,136,0.13241438944384037,Mean
Diego,49,48,58,54,0.0889145764897375,No difference
Divergent,10,10,11,16,0.24444947432076716,Quadratic (longtail)
Doris Protocol,5,5,9,11,0.4,Quadratic (longtail)
EIP4824 DAOstar,38,36,35,54,0.21891899699096337,Quadratic
ERC6551 Tooling,22,21,75,21,0.7723014043349434,Mean
ERC4337 Smart,75,72,48,63,0.18797450624778514,Median
ETH Daily OP News,26,25,66,50,0.4759882712872768,Mean
ETHAccra,24,24,62,57,0.49334921973762824,Mean
ETHBarcelona,49,48,34,46,0.15697676824237067,Median
ETHGlobal,257,272,313,289,0.08499721829816739,No difference
ETHSafari 2023,82,79,96,62,0.17506277006824214,Mean
EZKL,49,48,65,52,0.14678154503912458,Mean
Edge Node The Graph,67,73,45,67,0.19569568263393575,Median (exclude 0s)
Encriptados,5,6,5,13,0.5327186310922514,Quadratic (longtail)
Endaoment,76,73,93,81,0.10907913528770947,No difference
Equalizer,51,51,26,31,0.3308120301479979,Median
Erigon,341,329,277,290,0.09894325808112686,No difference
Espacio Cripto,10,10,15,27,0.517471372710364,Quadratic
EthVolcano,15,14,13,23,0.2814445689028152,Quadratic (longtail)
EthStaker,82,86,79,87,0.0442735988279817,No difference
EtherScore,46,45,23,39,0.2778098148896746,Median
EthereansOS,17,19,13,27,0.309886346186942,Quadratic
Ethereum,227,219,219,257,0.0783717940988531,No difference
Ethereum Cat Herders,129,124,131,163,0.12976885954883233,Quadratic
