slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Contributors Last 6 Months,Avg Monthly Active Devs Last 6 Months,# OP Contracts,Date First Txn,Total Onchain Users,Onchain Users Last 6 Months,Total Txns,Total Txn Fees (ETH),Txn Fees Last 6 Months (ETH),# NPM Packages,Date First Download,Total Downloads,Downloads Last 6 Months
0x-splits,15,2022-01-04,145.0,29.0,38,15,1.8333333333333333,4,2022-10-05,312,239,868.0,0.0033207895275336563,0.003298962297600169,2,2022-07-26,83832.0,50920.0
1w3,4,2022-12-26,2.0,1.0,3,3,0.16666666666666666,1,2023-07-05,6,6,20.0,6.217032499344001e-06,6.217032499344001e-06,0,,,
abi-to-sol-gnidan,1,2020-10-05,302.0,49.0,12,4,0.3333333333333333,0,,0,0,,,,0,,,
across,15,2021-08-20,51.0,24.0,42,15,4.833333333333333,15,2021-11-23,81439,11484,657018.0,4.56470531071639,4.171791251218498,0,,,
acrypto-s,7,2019-11-10,11.0,8.0,21,2,0.16666666666666666,9,2022-11-01,1,1,127.0,0.000437425998863519,0.0004275074638420189,0,,,
aerodrome-finance,1,2023-04-15,3.0,2.0,8,8,0.3333333333333333,0,,0,0,,,,0,,,
aestus-relay,1,2022-11-06,1.0,,2,2,0.0,0,,0,0,,,,0,,,
agoraxyz,46,2021-01-31,2978.0,358.0,99,30,4.333333333333333,0,,0,0,,,,0,,,
alchemyplatform,4,2023-01-31,142.0,73.0,70,69,2.8333333333333335,0,,0,0,,,,0,,,
alembic-tech,5,2021-08-05,15.0,9.0,44,22,3.3333333333333335,0,,0,0,,,,0,,,
alloy-rs,7,2021-09-11,518.0,70.0,74,62,2.0,0,,0,0,,,,0,,,
alphadayhq,2,2021-11-26,1.0,,10,3,0.0,0,,0,0,,,,0,,,
another-world,6,2022-11-21,2.0,,1,1,0.8333333333333334,9,2023-05-05,18,18,1864.0,0.0881444431759182,0.0881444431759182,0,,,
anotherblock,4,2022-06-30,,2.0,4,2,1.1666666666666667,1,2023-02-15,3,1,95.0,0.000840933667158688,0.000567075333408688,0,,,
ape-framework,3,2021-01-05,738.0,110.0,101,38,1.1666666666666667,1,2023-08-18,3,3,25.0,7.251741205638399e-05,7.251741205638399e-05,0,,,
arbiter-primitivefinance,3,2022-11-17,525.0,49.0,32,24,3.8333333333333335,0,,0,0,,,,0,,,
arpa-network,2,2022-07-20,7.0,6.0,6,6,2.3333333333333335,0,,0,0,,,,0,,,
attestation-station-interface-sbvegan,1,2022-11-06,18.0,10.0,5,1,0.0,0,,0,0,,,,0,,,
attestation-visualizer-xvoorvaa,1,2023-08-16,4.0,,5,5,0.6666666666666666,0,,0,0,,,,0,,,
aw-labs,3,2023-06-20,5.0,,3,3,1.8333333333333333,1,2023-10-08,19,19,100.0,0.042295278593672596,0.042295278593672596,0,,,
awesome-optimism-lucas-op,1,2023-08-27,2.0,2.0,4,4,0.6666666666666666,0,,0,0,,,,0,,,
aya-labs,5,2022-08-16,,,10,8,0.3333333333333333,0,,0,0,,,,0,,,
bankless-academy,1,2021-04-07,15.0,10.0,17,4,1.1666666666666667,0,,0,0,,,,0,,,
bankless-card,6,2022-06-10,1.0,2.0,13,7,0.5,0,,0,0,,,,0,,,
banklessdao,41,2021-04-26,37.0,35.0,141,32,0.16666666666666666,0,,0,0,,,,0,,,
basepunkorg,3,2023-09-30,,,3,3,0.16666666666666666,0,,0,0,,,,0,,,
beacon-chain,5,2019-11-25,701.0,424.0,365,81,7.166666666666667,0,,0,0,,,,0,,,
blobscan,5,2022-10-08,29.0,9.0,12,6,3.1666666666666665,0,,0,0,,,,0,,,
blockhead-darryl-yeo,1,2020-10-06,87.0,44.0,8,4,1.0,0,,0,0,,,,0,,,
blocknative,21,2018-07-02,707.0,424.0,486,100,2.8333333333333335,0,,0,0,,,,0,,,
blockscout,18,2018-01-16,2859.0,1903.0,2153,390,13.833333333333334,0,,0,0,,,,0,,,
blst-supranational,1,2020-06-22,395.0,137.0,93,19,0.6666666666666666,0,,0,0,,,,0,,,
boardroom-inc,10,2018-09-14,38.0,,272,6,0.0,0,,0,0,,,,0,,,
bonding-curves,2,2023-04-01,7.0,,3,2,0.16666666666666666,0,,0,0,,,,0,,,
bootnodedev,14,2021-07-01,4.0,1.0,11,4,0.3333333333333333,0,,0,0,,,,0,,,
brightid,34,2017-09-13,215.0,59.0,114,18,0.3333333333333333,0,,0,0,,,,0,,,
buidlguidl,63,2018-08-14,8910.0,4085.0,314,122,4.5,0,,0,0,,,,0,,,
bunnyai-justindomingue,1,2023-09-23,2.0,1.0,6,6,0.8333333333333334,0,,0,0,,,,0,,,
bwarelabs,19,2021-04-21,10.0,3.0,22,7,0.0,0,,0,0,,,,0,,,
candide-labs,15,2020-03-12,63.0,15.0,19,7,2.0,0,,0,0,,,,1,2023-07-29,1263.0,1263.0
cannon-rs-badboilabs,1,2022-10-20,35.0,2.0,5,5,0.16666666666666666,0,,0,0,,,,0,,,
chainlist-defillama,1,2021-03-04,1830.0,1219.0,453,178,1.1666666666666667,0,,0,0,,,,0,,,
chainpatrol,4,2022-11-28,2.0,2.0,7,6,0.3333333333333333,0,,0,0,,,,0,,,
charmverse,2,2022-01-05,36.0,16.0,19,10,7.5,0,,0,0,,,,0,,,
chronicleprotocol,22,2021-10-05,81.0,27.0,27,13,2.6666666666666665,1,2022-08-30,7,0,18.0,1.921093121049e-06,,0,,,
cliqueofficial,13,2022-11-16,3.0,2.0,15,13,2.1666666666666665,2,2023-01-05,85344,37908,199439.0,0.0702479231621165,0.04565749677468053,0,,,
coinpassport,3,2022-05-08,,,2,0,0.0,1,2022-05-14,25,2,35.0,2.7632185798960006e-06,6.0084379896e-08,0,,,
commons-stack,26,2019-03-15,32.0,1.0,109,8,1.3333333333333333,0,,0,0,,,,0,,,
commonsbuild,38,2020-10-21,10.0,11.0,98,11,0.16666666666666666,0,,0,0,,,,0,,,
concrete-geth-therealbytes,1,2016-10-18,34.0,,635,8,1.0,0,,0,0,,,,0,,,
coordinape,5,2021-02-18,79.0,57.0,87,9,2.3333333333333335,3,2023-06-21,26194,26194,93214.0,0.4396625800629311,0.4396625800629311,0,,,
copin-protocol,3,2023-09-27,7.0,2.0,4,4,0.6666666666666666,0,,0,0,,,,0,,,
covalenthq,17,2013-12-26,86.0,45.0,136,64,2.0,0,,0,0,,,,0,,,
crate-crypto,23,2019-07-15,73.0,25.0,44,14,0.5,0,,0,0,,,,0,,,
crowdmuse,1,2023-06-16,,,2,2,0.0,0,,0,0,,,,0,,,
crustio,49,2019-11-13,464.0,59.0,367,60,1.5,1,2023-06-25,4,4,7.0,0.0006401815225882341,0.0006401815225882341,0,,,
cryo-paradigmxyz,1,2023-06-18,776.0,55.0,35,35,1.0,0,,0,0,,,,0,,,
crypto-stats,18,2021-07-01,14.0,7.0,14,1,0.0,0,,0,0,,,,0,,,
cryptozombieshq,3,2017-12-07,2206.0,1041.0,451,11,0.0,0,,0,0,,,,0,,,
curvegrid-multibaas,29,2014-01-25,49.0,20.0,108,3,0.0,0,,0,0,,,,0,,,
daimo-eth,2,2023-02-27,128.0,10.0,13,12,2.1666666666666665,0,,0,0,,,,0,,,
dapp-learning-dao,11,2021-04-16,4291.0,1140.0,240,26,1.3333333333333333,1,2023-10-12,5,5,141.0,0.0007372289443616121,0.0007372289443616121,0,,,
dappnode,187,2015-12-14,547.0,103.0,408,68,6.333333333333333,0,,0,0,,,,0,,,
dappradar,11,2021-06-11,243.0,303.0,178,26,3.1666666666666665,0,,0,0,,,,0,,,
dasylang,2,2022-09-07,2.0,,1,0,,0,,0,0,,,,0,,,
decent,15,2021-05-13,1.0,1.0,18,4,0.5,15,2022-10-06,172,131,430.0,0.0032878771630106326,0.0032213577039106336,0,,,
decentragora,13,2021-07-20,2.0,,9,1,0.5,8,2023-05-05,14,14,56.0,1.1052269057714002e-05,1.1052269057714002e-05,0,,,
defi-africa-network,1,2023-10-20,,,6,6,0.0,0,,0,0,,,,0,,,
defi-llama,47,2020-11-14,710.0,3726.0,3109,1005,15.166666666666666,10,2022-04-26,40757,31773,148793.0,0.25720382907775796,0.2546195130485042,0,,,
defi-wonderland,10,2021-06-15,135.0,23.0,24,12,0.6666666666666666,0,,0,0,,,,0,,,
defientco,15,2022-06-23,2.0,3.0,13,12,4.0,0,,0,0,,,,0,,,
defieye,3,2022-02-02,45.0,19.0,7,2,0.16666666666666666,0,,0,0,,,,0,,,
defilab-xyz,5,2021-07-05,44.0,22.0,6,1,0.0,0,,0,0,,,,0,,,
definomics-labs,1,2022-11-30,,,1,0,,0,,0,0,,,,0,,,
delegatexyz,4,2022-08-06,159.0,47.0,27,12,0.5,2,2023-01-03,1896,770,2558.0,0.0027808725867857396,0.00249553606362647,0,,,
dexkit,27,2020-10-29,66.0,89.0,16,7,1.5,0,,0,0,,,,0,,,
dforce-network,19,2019-05-21,30.0,12.0,46,4,0.0,66,2021-11-26,2903,1763,75493.0,0.17868490223866132,0.15414913538700095,0,,,
dm3-protocol,3,2021-12-14,54.0,12.0,17,10,1.1666666666666667,1,2023-03-01,1,0,10.0,4.07035e-07,,0,,,
dorisprotocol,1,2023-10-12,,,3,3,0.16666666666666666,0,,0,0,,,,0,,,
eco-association,6,2022-06-13,1.0,4.0,18,8,0.16666666666666666,2,2023-06-12,165,165,705.0,0.0016128031846473186,0.0016128031846473186,0,,,
edgeandnode,27,2021-01-19,116.0,7.0,35,17,1.6666666666666667,0,,0,0,,,,0,,,
endaoment,8,2020-02-14,14.0,3.0,15,4,0.0,2,2023-10-17,5,5,60.0,0.00032813097327245795,0.00032813097327245795,0,,,
erigon-ledgerwatch,14,2013-03-26,2644.0,866.0,1008,224,5.666666666666667,0,,0,0,,,,0,,,
eth-infinitism-account-abstraction,1,2021-07-25,1199.0,496.0,102,42,0.3333333333333333,1,2023-04-22,332,330,459679.0,21.480468684958144,21.480459269564147,0,,,
eth-limo,4,2022-08-25,33.0,4.0,4,3,0.0,0,,0,0,,,,0,,,
ether-actor-iainnash,1,2021-10-12,56.0,7.0,5,2,0.0,0,,0,0,,,,0,,,
ethereansos,31,2019-04-19,18.0,11.0,47,1,0.3333333333333333,0,,0,0,,,,0,,,
ethereum-attestation-service,10,2020-10-03,164.0,34.0,56,44,2.5,2,2023-07-28,10366,10366,21419.0,0.4320661588587882,0.4320661588587882,0,,,
ethereum-cat-herders,13,2015-10-27,12170.0,5242.0,1396,282,1.5,0,,0,0,,,,0,,,
ethereum-etl-blockchain-etl,1,2018-05-02,2726.0,780.0,226,20,0.16666666666666666,0,,0,0,,,,0,,,
ethereum-on-arm,1,2020-12-15,128.0,30.0,54,9,1.0,0,,0,0,,,,0,,,
ethereumbarcelona,2,2023-04-02,,,2,2,0.3333333333333333,0,,0,0,,,,0,,,
ethereumphone,33,2012-01-02,8.0,2.0,185,5,0.5,0,,0,0,,,,0,,,
ethernaut-openzeppelin,2,2017-11-16,1748.0,629.0,229,17,0.3333333333333333,0,,0,0,,,,0,,,
ethernautdao,12,2021-07-15,138.0,23.0,30,2,1.3333333333333333,0,,0,0,,,,0,,,
ethers-io,29,2016-05-03,7166.0,1761.0,1820,188,1.1666666666666667,0,,0,0,,,,1,2017-04-05,118692193.0,30235298.0
ethglobal,8,2018-09-18,8.0,6.0,33,4,0.0,0,,0,0,,,,0,,,
ethhub-io,2,2018-09-15,867.0,662.0,239,0,,0,,0,0,,,,0,,,
ethstaker,10,2020-09-15,361.0,147.0,213,54,2.1666666666666665,0,,0,0,,,,0,,,
ezkl-zkonduit,11,2022-07-05,690.0,86.0,51,32,3.1666666666666665,0,,0,0,,,,0,,,
f-o-a-m,43,2012-04-27,126.0,24.0,114,7,0.8333333333333334,0,,0,0,,,,0,,,
farcaster-indexer-gskril,1,2022-06-12,97.0,34.0,10,5,0.0,0,,0,0,,,,0,,,
farcaster-py-vrypan,2,2023-10-19,16.0,,3,3,0.3333333333333333,0,,0,0,,,,0,,,
fe-ethereum,1,2019-09-12,1517.0,165.0,71,17,0.0,0,,0,0,,,,0,,,
filosofiacodigo,34,2021-05-02,14.0,10.0,8,2,0.16666666666666666,7,2023-04-17,46,44,508.0,0.0054646221555351045,0.0054539693212226036,0,,,
findcaster-limone-eth,1,2023-08-09,4.0,3.0,2,2,0.5,0,,0,0,,,,0,,,
flipside-crypto,60,2018-11-30,28.0,24.0,121,43,10.0,1,2022-12-15,41101,478,103332.0,0.00532764196646947,0.0019672585000514537,0,,,
forumdaos,2,2022-11-03,13.0,2.0,2,2,0.16666666666666666,0,,0,0,,,,0,,,
foundry,17,2021-09-05,6914.0,1247.0,1572,597,6.333333333333333,0,,0,0,,,,0,,,
foundry-full-course-f23-cyfrin,1,2023-04-28,1729.0,385.0,51,51,0.6666666666666666,0,,0,0,,,,0,,,
frame-floating,1,2018-03-09,976.0,143.0,203,33,0.3333333333333333,0,,0,0,,,,0,,,
g7dao,24,2022-03-26,56.0,15.0,28,6,0.3333333333333333,0,,0,0,,,,0,,,
galxe,13,2021-09-14,96.0,102.0,42,17,0.3333333333333333,7,2022-07-18,686249,210783,6100617.0,7.404012052416078,6.9751342785309705,0,,,
gashawk-corpus-io,2,2022-08-11,5.0,2.0,3,0,,0,,0,0,,,,0,,,
gaslitedrop-poppunkllc,1,2023-09-13,33.0,6.0,5,5,0.16666666666666666,1,2023-11-28,1,1,1.0,,,0,,,
gelato,114,2019-06-17,234.0,37.0,104,25,2.6666666666666665,8,2022-01-21,4140,3556,526727.0,2.0907811430032828,2.0406062855755254,0,,,
geo-web,34,2020-07-10,22.0,15.0,35,8,1.1666666666666667,3,2022-12-13,94,52,333.0,0.004493081108754334,0.0032288792920447053,0,,,
