package_name,total_occurrences,direct_occurrences,percentage_direct
ethers,155,148,95.48
hardhat,119,120,100.84
@openzeppelin/contracts,114,107,93.86
prettier-plugin-solidity,93,97,104.3
solhint,88,92,104.55
hardhat-gas-reporter,86,67,77.91
solidity-coverage,82,63,76.83
viem,71,56,78.87
@nomicfoundation/hardhat-toolbox,49,43,87.76
@openzeppelin/contracts-upgradeable,57,42,73.68
@nomicfoundation/hardhat-network-helpers,62,42,67.74
@nomicfoundation/hardhat-chai-matchers,57,37,64.91
wagmi,32,32,100.0
@openzeppelin/hardhat-upgrades,36,31,86.11
@nomicfoundation/hardhat-verify,52,30,57.69
hardhat-deploy,45,27,60.0
@nomicfoundation/hardhat-ethers,41,26,63.41
@ethersproject/providers,137,21,15.33
@nomicfoundation/hardhat-foundry,21,19,90.48
@ethersproject/abi,148,18,12.16
@ethersproject/bignumber,150,14,9.33
@ethersproject/bytes,150,13,8.67
@ethersproject/abstract-signer,149,12,8.05
solc,110,12,10.91
@openzeppelin/upgrades-core,38,8,21.05
@openzeppelin/merkle-tree,11,8,72.73
hardhat-preprocessor,10,8,80.0
merkletreejs,26,7,26.92
@prb/math,7,6,85.71
@wagmi/core,30,5,16.67
@ethersproject/abstract-provider,147,5,3.4
solady,6,4,66.67
@ethersproject/contracts,135,4,2.96
@ethersproject/address,148,4,2.7
@wagmi/cli,5,3,60.0
thirdweb,5,3,60.0
@ethersproject/experimental,6,3,50.0
@ethersproject/units,137,3,2.19
@ethersproject/constants,147,3,2.04
@ponder/core,3,3,100.0
@ethersproject/hash,147,3,2.04
@aragon/osx,1,2,200.0
@nomicfoundation/hardhat-toolbox-viem,3,2,66.67
@wagmi/connectors,29,2,6.9
@nomicfoundation/hardhat-viem,5,2,40.0
@ethereum-attestation-service/eas-contracts,4,2,50.0
@thirdweb-dev/contracts,2,2,100.0
@ethersproject/solidity,135,2,1.48
@ethersproject/wallet,135,2,1.48
@lifi/sdk,4,1,25.0
@ethersproject/base64,147,1,0.68
@synthetixio/synpress,1,1,100.0
@thirdweb-dev/merkletree,1,1,100.0
@ethersproject/keccak256,148,1,0.68
@ethersproject/properties,147,1,0.68
@aragon/osx-ethers,2,1,50.0
openzeppelin-solidity,1,1,100.0
@thirdweb-dev/wagmi-adapter,1,1,100.0
@ethersproject/strings,147,1,0.68
@ethersproject/transactions,147,1,0.68
@ethersproject/web,147,1,0.68
@nomicfoundation/hardhat-ignition-ethers,12,1,8.33
ethereum-multicall,3,1,33.33
@noble/curves,116,1,0.86
@lifi/widget,3,1,33.33
frames.js,1,1,100.0
@noble/hashes,153,1,0.65
hardhat-cannon,1,0,0.0
ethers-multicall-provider,1,0,0.0
ipns,1,0,0.0
@thirdweb-dev/engine,2,0,0.0
solidity-bytes-utils,3,0,0.0
kubo-rpc-client,2,0,0.0
libp2p,1,0,0.0
protons-runtime,2,0,0.0
@thirdweb-dev/sdk,1,0,0.0
hardhat-coverage,1,0,0.0
protons,5,0,0.0
@usecannon/cli,1,0,0.0
@synthetixio/synpress-metamask,1,0,0.0
interface-datastore,9,0,0.0
@usecannon/builder,1,0,0.0
ethereum-bloom-filters,120,0,0.0
datastore-fs,1,0,0.0
datastore-core,1,0,0.0
blockstore-core,4,0,0.0
interface-blockstore,4,0,0.0
interface-store,10,0,0.0
@0xsplits/splits-sdk,1,0,0.0
@synthetixio/synpress-core,1,0,0.0
@ethersproject/rlp,148,0,0.0
@libp2p/interface-keys,1,0,0.0
@libp2p/interface-keychain,1,0,0.0
@libp2p/interface-connection,1,0,0.0
@libp2p/interface,2,0,0.0
@libp2p/crypto,2,0,0.0
@ethersproject/wordlists,135,0,0.0
@ethersproject/signing-key,147,0,0.0
@ethersproject/sha2,137,0,0.0
@ethersproject/random,135,0,0.0
@libp2p/interface-pubsub,1,0,0.0
@ethersproject/pbkdf2,135,0,0.0
@ethersproject/networks,147,0,0.0
@ethersproject/logger,148,0,0.0
@ethersproject/json-wallets,135,0,0.0
@ethersproject/hdnode,135,0,0.0
@ethersproject/hardware-wallets,4,0,0.0
@ethersproject/basex,135,0,0.0
@ethereum-attestation-service/eas-sdk,1,0,0.0
@libp2p/interface-peer-id,1,0,0.0
@libp2p/interfaces,1,0,0.0
@shazow/whatsabi,1,0,0.0
@nomicfoundation/edr-linux-x64-musl,47,0,0.0
@ponder/utils,3,0,0.0
@openzeppelin/truffle-upgrades,1,0,0.0
@nomicfoundation/ignition-ui,15,0,0.0
@nomicfoundation/ignition-core,15,0,0.0
@nomicfoundation/hardhat-ignition-viem,3,0,0.0
@nomicfoundation/edr-win32-x64-msvc,46,0,0.0
@nomicfoundation/edr-win32-ia32-msvc,5,0,0.0
@nomicfoundation/edr-win32-arm64-msvc,5,0,0.0
@nomicfoundation/edr-linux-x64-gnu,47,0,0.0
@libp2p/logger,2,0,0.0
@nomicfoundation/edr-linux-arm64-musl,46,0,0.0
@nomicfoundation/edr-linux-arm64-gnu,46,0,0.0
@nomicfoundation/edr-darwin-x64,46,0,0.0
@nomicfoundation/edr-darwin-arm64,47,0,0.0
@nomicfoundation/edr,48,0,0.0
@noble/ciphers,23,0,0.0
@lifi/wallet-management,3,0,0.0
@libp2p/peer-id,2,0,0.0
@nomicfoundation/hardhat-ignition,15,0,0.0
