,project_id,name,artifact_namespace,artifact_name,github_url
0,0x26a8d2bf9f36f9632cc4ae2157270087f3c0a0425f4f0847095451a7532293a3,Samba,meldsun0,samba,https://github.com/meldsun0/samba
16,0x5cfdb8c453a7eede1946071e9d7417d01cc2116f57563b87dc0094a6bdb9a081,"Optimism × Filecoin: Enabling Scalable Storage, On-Chain Compute & Cross-Chain Interoperability",seetadev,zkmedical-billing,https://github.com/seetadev/zkmedical-billing
22,0x37fe5886f4c77d5a5cb947deff90158c045a5d207572763187748ac4dd4bd9b9,ethereum-multicall,joshstevens19,ethereum-multicall,https://github.com/joshstevens19/ethereum-multicall
71,0x5f9f1b45eb4a49e8c2482288e02c8fc1e0e60ad3e88f0ea87bbdb4932da1054d,Diamondscaffold: Simplifying EIP-2535 Diamond Architecture Development,collinsadi,diamonds,https://github.com/collinsadi/diamonds
91,0x6ee546715053790bda72f913925b782461830ccdcc14ad12a2f288641510f448,Dragons On Op Stack 🔴,mali030303,dragons-on-op-stack--,https://github.com/mali030303/dragons-on-op-stack--
170,0x495b81a381005f49592ee02a7ac6861b8da69762b7164180d0a1e4570f2d83bf,DEO AI: Ethereum Developer Assistant,psychemist,deo-ai,https://github.com/psychemist/deo-ai
174,0xf9ebb0464e7162627ab3de5fe03a21c879e932233e1453f2139c2126eb93f72e,Air3,air3app,buildair3,https://github.com/air3app/buildair3
292,0x5b054742b09f8ce4092a15700ef9781520a6ff2928ba5ee09c78ad4dd8817b85,Kiwi News,attestate,ad,https://github.com/attestate/ad
298,0x51504348243d8e8fa59cf2ba983d9255373e5eb23fe22a0d18c0d36028561ace,Test Project,jseiferth,testingthisthing,https://github.com/jseiferth/testingthisthing
356,0x939241afa4c4b9e1dda6b8250baa8f04fa8b0debce738cfd324c0b18f9926d25,OpenZeppelin Contracts,openzeppelin,openzeppelin-foundry-upgrades,https://github.com/openzeppelin/openzeppelin-foundry-upgrades
365,0x85f58c1ce6ef97a8b2f4fd2b0cf4099798a598a02da7a0d2fc53ef75b5fb7fcb,discord-deepseek-r1-bot,fzn0x,discord-deepseek-r1-bot,https://github.com/fzn0x/discord-deepseek-r1-bot
378,0x97525ec91080ddd917eaccabf9d383cf70a2f78839ab21eeabe1687e312f2132,rindexer,joshstevens19,rindexer,https://github.com/joshstevens19/rindexer
400,0xed3d54e5394dc3ed01f15a67fa6a70e203df31c928dad79f70e25cb84f6e2cf9,HostIT,hostit-events,hostit-mobile,https://github.com/hostit-events/hostit-mobile
472,0x512e27ae7e194a31bbde426c25d78b5d43916192674d71a0c4deeea1c622f166,motoDEX,oleksiivinogradov,motodextopos,https://github.com/oleksiivinogradov/motodextopos
506,0x7974baaeef5e3af2e165a0911471ccddcb47d8ca74438558a89abb515aa64275,Krystal,krystaldefi,krystal-core,https://github.com/krystaldefi/krystal-core
517,0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf,Super Account,superchaineco,savings-sunny-module,https://github.com/superchaineco/savings-sunny-module
540,0x55bff36906b3e55bff995b4a7d73fd6651eeba4274ad49e269b29157bbf2fee2,8 Bit Cats☑️,zeus199803,8-bit-cats--,https://github.com/zeus199803/8-bit-cats--
546,0x51504348243d8e8fa59cf2ba983d9255373e5eb23fe22a0d18c0d36028561ace,Test Project,jseiferth,testing,https://github.com/jseiferth/testing
570,0x7974baaeef5e3af2e165a0911471ccddcb47d8ca74438558a89abb515aa64275,Krystal,krystaldefi,v3utils,https://github.com/krystaldefi/v3utils
579,0x70ba3cb2e433f1cd9ace8aea84c46d167ba5db12293cd108eaca068d06be3a71,Gains Network (gTrade),gainsnetwork-org,sdk,https://github.com/gainsnetwork-org/sdk
586,0xc42d914c33ae90e388d0129dfcb43b0dcfe66272876b636830b9556d492f1a45,Mugen Craft,0xbaratie,mugencraft,https://github.com/0xbaratie/mugencraft
722,0xb60780abaff82da08ddb98703d6792d806f03f190f6dcd7d0b8e7346533bd4eb,Web3bridge,web3bridge,web3bridge-records,https://github.com/web3bridge/web3bridge-records
743,0x8c0365628d69981ac162a89f2b391cc4adfd224e9a424f8e985e70e2421de6d1,SuperUI - UI for Supersim,nerd3lab,superui,https://github.com/nerd3lab/superui
745,0x8c0365628d69981ac162a89f2b391cc4adfd224e9a424f8e985e70e2421de6d1,SuperUI,nerd3lab,superui,https://github.com/nerd3lab/superui
774,0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea,Mint Club,steemhunt,mint.club-v2-contract,https://github.com/steemhunt/mint.club-v2-contract
824,0x52b74da84ea50e0a6ddb28c1c78e0baaa284b7a95298cf23bf65dafd7b0c6d19,Skeleton ERA 💀,mali030303,skeleton-era--,https://github.com/mali030303/skeleton-era--
858,0xbb067b01988521110c91737f058e7301f608be231d850a72af1516bd034d161c,Synpress,synpress-io,docs,https://github.com/synpress-io/docs
881,0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MintSwap Finance,mintswapfinance,mintswap-v3-periphery,https://github.com/mintswapfinance/mintswap-v3-periphery
885,0x40483b3554ae17882db98d1cfd3aae6b10ba8250736279d184fd947931ed02c3,Superfuse,ratimon,superfuse-wizard,https://github.com/ratimon/superfuse-wizard
896,0x5e6c436e48e56d6d9622ba5d0be0035c314e2b29d2afc8f5f1ee8ac75cd42532,Snapshot,snapshot-labs,snapshot,https://github.com/snapshot-labs/snapshot
945,0x4f8902ac6eba8e2243237247302ab778a1e1f496cf62e1696fbb8d57eff7701d,blocksmith.js,adraffy,blocksmith.js,https://github.com/adraffy/blocksmith.js
957,0xed3d54e5394dc3ed01f15a67fa6a70e203df31c928dad79f70e25cb84f6e2cf9,HostIT,hostit-events,hostit-official-website,https://github.com/hostit-events/hostit-official-website
1058,0x96767e87a27cdb9798f40c3a6fd78e70da611afe53a5e45cbaafc50cae4ad0e7,Sonus Exchange,sonusexchange,sonusexchange-lists,https://github.com/sonusexchange/sonusexchange-lists
1059,0x23de0728e6569822fc61ee61d2a79eda8b8322894a82700bff5d5c91606798d1,Blobs Guru,saurabhburade,blobs-guru-app,https://github.com/saurabhburade/blobs-guru-app
1074,0xcb0434aaf86a5dca68f96edefc22bf04a16bbfaa48b0a4a40c844f1afb8d7b1e,BASE BTC EARTH 🌍,mali030303,base-btc-earth--,https://github.com/mali030303/base-btc-earth--
1135,0xa6e21a58b178cdfd073df12288b8edf761b595c2938b81c64e40c944a1403432,Spectra Finance,perspectivefi,spectra-core,https://github.com/perspectivefi/spectra-core
1143,0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MintSwap Finance,mintswapfinance,mintswap-v3-core,https://github.com/mintswapfinance/mintswap-v3-core
1152,0x8595f830f4d1716621d19bca6394f304837133fb473d8fcd1699e84402df1409,SwapBased,swapbased,swapbased-main-contracts,https://github.com/swapbased/swapbased-main-contracts
1190,0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf,Super Account,superchaineco,super-chain-smart-account-wallet,https://github.com/superchaineco/super-chain-smart-account-wallet
1237,0x5cfdb8c453a7eede1946071e9d7417d01cc2116f57563b87dc0094a6bdb9a081,"Optimism × Filecoin: Enabling Scalable Storage, On-Chain Compute & Cross-Chain Interoperability",seetadev,py-libp2p,https://github.com/seetadev/py-libp2p
1293,0xec7002ee89bf249ae4fca1ebe718a66dea7247e33cfc9319f979a3f9fb324b24,Explorer,web3privacy,explorer-data,https://github.com/web3privacy/explorer-data
1315,0x740297a85de756f69945e2cfd9d439598cdb06a70e409e91664c701f5c0af34c,TOCD Studio,the-old-castle-defense,drs,https://github.com/the-old-castle-defense/drs
1356,0xe6371e0b190ff5db00617519599cbbafe719db0386e42a0af106b8c7f9161b63,NERZO,nerzofc,nerzo,https://github.com/nerzofc/nerzo
1416,0x229bbc8163bdee3891cde1c18c74ab3afc72e8683692fc7f1b767570cbe7c4a7,EVM Explorer,pfed-prog,evmexplorer-utility,https://github.com/pfed-prog/evmexplorer-utility
1434,0xf173b116c6383d6d7557d633de525a4535543265d800af3d8b15bc224dbab982,FrameMaker,holova,framemaker,https://github.com/holova/framemaker
1446,0x259b729af86ba38c0c84be9b739dfbca109a6df985371d8cabd43116d18d7a1a,Flaunch,flayerlabs,flaunchgg-contracts,https://github.com/flayerlabs/flaunchgg-contracts
1451,0xaa1b878800206da24ee7297fb202ef98a6af0fb3ec298a65ba6b675cb4f4144b,Stepan's project,flayerlabs,flaunchgg-contracts,https://github.com/flayerlabs/flaunchgg-contracts
1456,0x1f60db63651f74e2fc8b3ff900d05142552a763c31caf3a8c8e62b0953f02bf2,SuperVol,stvol-official,stvol-contract,https://github.com/stvol-official/stvol-contract
1489,0x92f33d0611c514cafbf54780ec7925a6080a37a192683444c30116cb099d95e7,PinSave,pfed-prog,dspyt-nfts-evm,https://github.com/pfed-prog/dspyt-nfts-evm
1578,0x6fc25d7c763441933c53333f0f9105b37cc74d88f21ef61b3b7eaf94cba45bfb,Amped Finance,amped-finance,amped-smart-contracts,https://github.com/amped-finance/amped-smart-contracts
1586,0x7fd813000c03bd11fdf3ded76a3b46db355218c72947acea7f14871a5b0a9258,Satoshi's Secret,mx1000m,satoshissecrettest,https://github.com/mx1000m/satoshissecrettest
1658,0x8589657542ff4b7c5071dfdeff18a041642a72344ede9acea701e9b39fb46fee,Chimera,recon-fuzz,create-chimera-app,https://github.com/recon-fuzz/create-chimera-app
1700,0x740bebbc731ec56dcc17c7d429656220a73960022c3809edf324bd8120285722,bulloak,alexfertel,bulloak,https://github.com/alexfertel/bulloak
1738,0x740297a85de756f69945e2cfd9d439598cdb06a70e409e91664c701f5c0af34c,TOCD Studio,the-old-castle-defense,docs,https://github.com/the-old-castle-defense/docs
1780,0x45a05710ec665203dc05dfb3024e42532468fa6b75e6927c2da539d7fcac4f4f,Open Labels Initiative,openlabelsinitiative,oli-frontend,https://github.com/openlabelsinitiative/oli-frontend
1783,0x10da43868e7439419af2859f2539ed8b355a0f330bd05a6d028ddff8fd4a03d8,dwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadwdwawdadw,jseiferth,interest-and-credit-notebooks,https://github.com/jseiferth/interest-and-credit-notebooks
1791,0x1480383a90f1ab95cfedee6ea130dca700e5236eceb7dcf3f08a0e96b43c90aa,MonstersOnBase,mali030303,monstersonbasee,https://github.com/mali030303/monstersonbasee
1856,0x156641d6720964c32e4491c0deaf83a424ec3af5e7df8cc0c93a794e5205a7e0,Harvest.art,x3labs,harvest-art,https://github.com/x3labs/harvest-art
1906,0xee345ddf96e54920ab4b32bf055b6324ca49dcce0063787137557de0a3b20d35,F1337,0xbaratie,f1337,https://github.com/0xbaratie/f1337
1911,0xb65d1a1f56c8bacffb8e8d7bfac237d459927bfb8924d25cc4f68c1996128abf,Usecase Generator,web3privacy,hackathonusecases,https://github.com/web3privacy/hackathonusecases
2010,0x7eb6ba7a1057659d04ec414446c1b32509bf57704958139266c7120903446ad6,Pinto Protocol,pinto-org,protocol,https://github.com/pinto-org/protocol
2014,0x740297a85de756f69945e2cfd9d439598cdb06a70e409e91664c701f5c0af34c,TOCD Studio,the-old-castle-defense,fge,https://github.com/the-old-castle-defense/fge
2049,0x7262ed9c020b3b41ac7ba405aab4ff37575f8b6f975ebed2e65554a08419f8f4,Sablier,sablier-labs,v2-core,https://github.com/sablier-labs/v2-core
2108,0x18539618cdbab1c37092e7e0bd8e03c7c4037a55b8a356215bc15c8d6a8c68dd,Purrmissionless Proofs,shaunop,shaun_1,https://github.com/shaunop/shaun_1
2120,0xb620f012eb197e5661f65c1a5aee6a4bbb43629f0056879ae4dc66adf8383ae3,ORB,johncpalmer,orb_contracts,https://github.com/johncpalmer/orb_contracts
2140,0xdafc4d2a060c7d08913ceb05b19c4fe7fb6d93a7f5f1142642be939be16bf6e9,DNA Token,dnatokenio,maintenance-page,https://github.com/dnatokenio/maintenance-page
2197,0xbaccff0188ef78c1bab0c9798b0faceee552de1dee4f763d1801a9c1d5e3bca5,Verifereum,verifereum,verifereum,https://github.com/verifereum/verifereum
2350,0x5be59dc0909b4da309af49cd207bfd84aa172475abefdaa3bc8442625b723ec3,TAIKAI,layerx-labs,taikai-contracts-v3,https://github.com/layerx-labs/taikai-contracts-v3
2367,0x8bfdc42f26bf691d378d2073ae509c46b85c0eed8db8abc6987b6725dd0d056a,Superfluid ,must479,openzeppelin-contracts,https://github.com/must479/openzeppelin-contracts
2398,0xd35cc78b456bf11d4acc96d2c227b29fa4115ad9d93ae211a31974a408ed8303,Diffuse Data Feeds,diffuse-fi,datafeed-cli,https://github.com/diffuse-fi/datafeed-cli
2406,0x46d784ec075b98efe6a23e515cad06f1b7081f082cb0c7502c68a7a76c38c9e2,"DistriButler: Multi Token Sender for Optimism, Base & Arbitrum",sifaw23,distributler,https://github.com/sifaw23/distributler
2421,0x8f7edabd00cd8a9bc0065eec465bd3d97ebe3f4632c8d3d52b336a9bc1d8fb3a,SuperSwap,superswapink,superswap-ui,https://github.com/superswapink/superswap-ui
2453,0x670a2982f6d7786b58a8399bcabc23246365b21e533a97945e055791fc235e64,Hardhat,nomicfoundation,edr,https://github.com/nomicfoundation/edr
2469,0x96a03f09bd8f6b4e82de71cb60626c5572e4a00d70f59dccaf512297f6deb93e,Jobs,web3privacy,jobs-app,https://github.com/web3privacy/jobs-app
2515,0x3a942492f564e13e4a3fc11e9a8b5dcd8bf0213f9dd8571d888f32db84271c5f,evm-rpcs-list,apoorvlathey,evm-rpcs-list,https://github.com/apoorvlathey/evm-rpcs-list
2526,0x8589657542ff4b7c5071dfdeff18a041642a72344ede9acea701e9b39fb46fee,Chimera,recon-fuzz,chimera,https://github.com/recon-fuzz/chimera
2537,0xbcfa7063514406f498f2792ae6435bf488709709391cebfa260a552703b4a8f9,GDWeb3,qingfengzxr,gdscript-web3,https://github.com/qingfengzxr/gdscript-web3
2650,0x93b1eafeb62f6cd5099ad82068763c1fd21f9d881c4e1a474ab854876ea84441,Based Year 2024,tamastorok,based-year-2024,https://github.com/tamastorok/based-year-2024
2651,0xae3efd865f9584671ede5e94c83190b0aea5ac5d77eb0179ba849bcaae314546,Base Logos,gayatrigt,baselogos,https://github.com/gayatrigt/baselogos
2684,0x2ccf4b9bd6ed894c10befd9fe00c467c4bfd84ff057ee956ab708259cfa845a9,CodeTracer,metacraft-labs,codetracer,https://github.com/metacraft-labs/codetracer
2740,0x991062ec81edb818a542e45d7c142cc62bc06e68b582273bd2ae1b037c2d6791,Titan Layer,titanlayer,contracts,https://github.com/titanlayer/contracts
2787,0x40483b3554ae17882db98d1cfd3aae6b10ba8250736279d184fd947931ed02c3,Superfuse,ratimon,superfuse-forge,https://github.com/ratimon/superfuse-forge
2795,0x939241afa4c4b9e1dda6b8250baa8f04fa8b0debce738cfd324c0b18f9926d25,OpenZeppelin Contracts,openzeppelin,openzeppelin-community-contracts,https://github.com/openzeppelin/openzeppelin-community-contracts
2817,0xaa4cf223915387f8e0cd66640f86f4f770d0c1edfc4303ce1d596a735747e673,Farcaster Attestation,farcaster-attestation,op-attest,https://github.com/farcaster-attestation/op-attest
2820,0xc0809225b6287417d08ec0fde8d632ecc935296e61e239e7e44559c7dd7f2495,Crawling the Ethereum P2P network with Nebula,probe-lab,website,https://github.com/probe-lab/website
2856,0x96767e87a27cdb9798f40c3a6fd78e70da611afe53a5e45cbaafc50cae4ad0e7,Sonus Exchange,sonusexchange,sonus-contracts,https://github.com/sonusexchange/sonus-contracts
2867,0x60565a1ff56360c729ec5e33b27040acd6d495e35e328fec7ec5a493b9c533e2,New Project,jseiferth,rfsignup,https://github.com/jseiferth/rfsignup
2871,0x9d93ec97ef2d3bd4c2b8d95abac9ce0cf43e4f3eb1f05709f8282da8200e69ee,Frames.js,framesjs,frames.js,https://github.com/framesjs/frames.js
2934,0xe672c4e1230d7870e73e2ba6a9c5389f321dde735289bf33575e163a6ea2f00f,Got Vision,wd021,gotvision-contracts,https://github.com/wd021/gotvision-contracts
2941,0x1335476de5a24573f3fa1297827fbeb02921948d678b399c7367fb956d08a6cc,Opstack For Cats Dream ☑️,zeus199803,opstack-for-cats-dream-,https://github.com/zeus199803/opstack-for-cats-dream-
3048,0x5cfdb8c453a7eede1946071e9d7417d01cc2116f57563b87dc0094a6bdb9a081,"Optimism × Filecoin: Enabling Scalable Storage, On-Chain Compute & Cross-Chain Interoperability",seetadev,py-libp2p-yamux,https://github.com/seetadev/py-libp2p-yamux
3049,0x740297a85de756f69945e2cfd9d439598cdb06a70e409e91664c701f5c0af34c,TOCD Studio,the-old-castle-defense,burnfomo,https://github.com/the-old-castle-defense/burnfomo
3085,0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MintSwap Finance,mintswapfinance,contract-mintswap404nft,https://github.com/mintswapfinance/contract-mintswap404nft
3112,0x70ba3cb2e433f1cd9ace8aea84c46d167ba5db12293cd108eaca068d06be3a71,Gains Network (gTrade),gainsnetwork-org,trading-sdk,https://github.com/gainsnetwork-org/trading-sdk
3128,0x7e917a2d0718401c9fe2a82f43ea558f5128f251b1e658c76dc7ff9a5e9fd993,PRBMath,paulrberg,prb-math,https://github.com/paulrberg/prb-math
3139,0x558ad0914eaf21a4965b2e4b7fef4cd66ef9d5bb861c5c42f4795a9e4614df71,Chonks,backseats,chonks,https://github.com/backseats/chonks
3147,0xc0809225b6287417d08ec0fde8d632ecc935296e61e239e7e44559c7dd7f2495,Crawling the Ethereum P2P network with Nebula,dennis-tra,nebula,https://github.com/dennis-tra/nebula
3182,0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf,Super Account,superchaineco,superchain-raffle,https://github.com/superchaineco/superchain-raffle
3276,0x75e78fd68a1f9412783513515efcad7fa40867cb119715829caaf1e5d7c6c2fd,AW Hack,0xbaratie,mud-hackathon,https://github.com/0xbaratie/mud-hackathon
3351,0x8997fa34367532a9072ca36c424498162980303a8d36fc49d58c5ac7daac9311,VRNouns,omgbbqhaxx,vrnouns,https://github.com/omgbbqhaxx/vrnouns
3378,0xa38c8f4ffa48fe01222fe1b5f2bc6c95e204a4f243d67bd0c9f92887d905d3d8,Academy,web3privacy,cypherpunkacademy,https://github.com/web3privacy/cypherpunkacademy
3448,0xdba6f6be6f7cddd6b7f291292ab4179ad4dbe92fc8a85612f76dc67fc480a8a9,LasMeta,lasmetaio,glasm,https://github.com/lasmetaio/glasm
3493,0x5cfdb8c453a7eede1946071e9d7417d01cc2116f57563b87dc0094a6bdb9a081,"Optimism × Filecoin: Enabling Scalable Storage, On-Chain Compute & Cross-Chain Interoperability",seetadev,op-conceirge-suite,https://github.com/seetadev/op-conceirge-suite
3505,0x4eaa0df4cfbda85126db57a231598d33c283b8aacf3a441539877ce7e17be22a,daos.world,azflin,daos-world-contracts,https://github.com/azflin/daos-world-contracts
3542,0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MintSwap Finance,mintswapfinance,mintswap-nft-marketplace,https://github.com/mintswapfinance/mintswap-nft-marketplace
3556,0xaa4cf223915387f8e0cd66640f86f4f770d0c1edfc4303ce1d596a735747e673,Farcaster Attestation,farcaster-attestation,farcaster-solidity,https://github.com/farcaster-attestation/farcaster-solidity
3579,0xe6371e0b190ff5db00617519599cbbafe719db0386e42a0af106b8c7f9161b63,NERZO,nerzofc,contacts,https://github.com/nerzofc/contacts
3584,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,OnChainGM,onchaingm,onchaingm,https://github.com/onchaingm/onchaingm
3600,0x2df0b4b72977134030cd30fadc6ec5239f9f107205c0638e29c15a02ca7c87d5,Newsletter,web3privacy,news,https://github.com/web3privacy/news
3667,0x70ba3cb2e433f1cd9ace8aea84c46d167ba5db12293cd108eaca068d06be3a71,Gains Network (gTrade),gainsnetwork-org,nft-bot-v3,https://github.com/gainsnetwork-org/nft-bot-v3
3684,0x9e50828e261179c6d1a5c107c7c2c16907b4b529fef416f64af781c5b2ff29d1,Amazing Hunt,amazinghunt-contracts,amazinghunt-contracts,https://github.com/amazinghunt-contracts/amazinghunt-contracts
3685,0x63f8e1e35986862f0bb24a619b72d12459497d2b6b94d93a9f2c232d376c54dc,RainbowKit Theme Generator,zwergdev,rainbowkit-theme-generator,https://github.com/zwergdev/rainbowkit-theme-generator
3764,0x8bfdc42f26bf691d378d2073ae509c46b85c0eed8db8abc6987b6725dd0d056a,Superfluid ,must479,go-ethereum,https://github.com/must479/go-ethereum
3781,0xed3d54e5394dc3ed01f15a67fa6a70e203df31c928dad79f70e25cb84f6e2cf9,HostIT,hostit-events,host-it-contract,https://github.com/hostit-events/host-it-contract
3815,0xb8cc15b51b7ae9acd5b771bb7872a9d54a9f19562e5a37df3a7d9b31044099df,Ladders.Vision,jacobhomanics,scaffold-nft,https://github.com/jacobhomanics/scaffold-nft
3865,0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea,Mint Club,steemhunt,mint.club-v2-sdk,https://github.com/steemhunt/mint.club-v2-sdk
3888,0xe11a4f107e474ae204a45e4f674f6d422f2230c9675f9ebfba1eb2af217c2d1b,Eat The Pie,eatthepie,contracts-layer2,https://github.com/eatthepie/contracts-layer2
3919,0xe11a4f107e474ae204a45e4f674f6d422f2230c9675f9ebfba1eb2af217c2d1b,Eat The Pie,eatthepie,contracts,https://github.com/eatthepie/contracts
3996,0xdd5998cc29bcd164fe277beb1e64f1fb28390886bc736a218fca0369537c719f,Records.xyz,wildcardlabs,records.xyz,https://github.com/wildcardlabs/records.xyz
4015,0x40cda7edf27894d647d9433ded29290966f5c258dade2c3ea36427fccf0ef3c9,Veil Cash,veildotcash,veildotcash_contracts,https://github.com/veildotcash/veildotcash_contracts
4146,0xd63cb23c26cc3bda03b1cc2971589fd26c9d22f3bbc8f1ff2bb74613e6d1c36d,Solidity Bytes Arrays Utils Library,gnsps,solidity-bytes-utils,https://github.com/gnsps/solidity-bytes-utils
4171,0x8bfdc42f26bf691d378d2073ae509c46b85c0eed8db8abc6987b6725dd0d056a,Superfluid ,must479,zora-protocol,https://github.com/must479/zora-protocol
4172,0xaa4cf223915387f8e0cd66640f86f4f770d0c1edfc4303ce1d596a735747e673,Farcaster Attestation,farcaster-attestation,farcaster-resolver,https://github.com/farcaster-attestation/farcaster-resolver
4228,0xae3efd865f9584671ede5e94c83190b0aea5ac5d77eb0179ba849bcaae314546,Base Logos,gayatrigt,baselogonftproject,https://github.com/gayatrigt/baselogonftproject
4231,0xaa1b878800206da24ee7297fb202ef98a6af0fb3ec298a65ba6b675cb4f4144b,Stepan's project,stepandel,eas-resolver,https://github.com/stepandel/eas-resolver
4245,0xdba6f6be6f7cddd6b7f291292ab4179ad4dbe92fc8a85612f76dc67fc480a8a9,LasMeta,lasmetaio,unique-id-sbt,https://github.com/lasmetaio/unique-id-sbt
4248,0x2cb7fb23e5d066f65a80a09b2eab34d76bbac06de1af16c31dcf2e54119639c3,Smellcheckmate,samir0x,smellcheckmate,https://github.com/samir0x/smellcheckmate
4273,0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf,Super Account,superchaineco,sunny_airdrop,https://github.com/superchaineco/sunny_airdrop
4274,0x5c76f623580566171af2a9553e8b7b230acc71aeb8829446d5eae2579ecda369,WebHash.com,webhash-eth,websitessmartcontract,https://github.com/webhash-eth/websitessmartcontract
4276,0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf,Super Account,superchaineco,superchainsmartaccounts,https://github.com/superchaineco/superchainsmartaccounts
4294,0xec7002ee89bf249ae4fca1ebe718a66dea7247e33cfc9319f979a3f9fb324b24,Explorer,web3privacy,explorer-app,https://github.com/web3privacy/explorer-app
4316,0x23de0728e6569822fc61ee61d2a79eda8b8322894a82700bff5d5c91606798d1,Blobs Guru,saurabhburade,substream-eth-blobs,https://github.com/saurabhburade/substream-eth-blobs
6480,0x1d3ec77661554ddaeab18519930b218ba5185016a0e770ce4664a831a1eef7f4,Larry,mod-protocol,micro-party-larry,https://github.com/mod-protocol/micro-party-larry
7176,0xf9513b5bfca3be3513450bd56b48ae485ce157aa56c1d8b2e06a68bce0b8d084,LeverageX by Javsphere,javsphere,contracts,https://github.com/javsphere/contracts
7450,0xf9513b5bfca3be3513450bd56b48ae485ce157aa56c1d8b2e06a68bce0b8d084,LeverageX by Javsphere,javsphere,subgraph-leveragex,https://github.com/javsphere/subgraph-leveragex
7913,0xd765664dd27255f1ba341fbb3375439a57fb6a92313df2f7af7856233f415ed7,Linkdrop,linkdrophq,linkdrop-p2p-sdk,https://github.com/linkdrophq/linkdrop-p2p-sdk
8650,0x0e5d90c5b5b75851d02f8286e78ed3b7af85d6920ca92a0f73cdc268fff185c0,Moshicam,gallery-so,moshicam-contracts,https://github.com/gallery-so/moshicam-contracts
12382,0x46d819ee72e9b51fb0175286e6ade010776b39cdb56aee88bc9f39501050eb92,Team Finance,trustswap,teamfinance-stakingpool,https://github.com/trustswap/teamfinance-stakingpool
