,github_url,is_available,is_fork,fork_of,first_commit,last_commit,total_commits,total_developers,project_id,name,round_ids,github_owner,in_oso
16,https://github.com/zeus199803/8-bit-cats--,True,False,,2024-06-02T15:07:25Z,2024-06-02T15:22:39Z,4,1,0x55bff36906b3e55bff995b4a7d73fd6651eeba4274ad49e269b29157bbf2fee2,8 Bit Cats☑️,"7, 8",https://github.com/zeus199803,
95,https://github.com/0xbaratie/mud-hackathon,True,False,,2023-06-20T09:24:26Z,2024-05-30T03:13:13Z,281,3,0x75e78fd68a1f9412783513515efcad7fa40867cb119715829caaf1e5d7c6c2fd,AW Hack,8,https://github.com/0xbaratie,
6,https://github.com/air3app/buildair3,True,False,,2023-11-15T09:54:32Z,2024-06-04T09:00:16Z,22,3,0xf9ebb0464e7162627ab3de5fe03a21c879e932233e1453f2139c2126eb93f72e,Air3,"7, 8",https://github.com/air3app,
107,https://github.com/amazinghunt-contracts/amazinghunt-contracts,True,False,,2025-02-20T08:44:52Z,2025-02-20T09:07:43Z,3,1,0x9e50828e261179c6d1a5c107c7c2c16907b4b529fef416f64af781c5b2ff29d1,Amazing Hunt,8,https://github.com/amazinghunt-contracts,
33,https://github.com/mali030303/base-btc-earth--,True,False,,2024-06-02T15:42:46Z,2024-06-02T15:45:14Z,3,1,0xcb0434aaf86a5dca68f96edefc22bf04a16bbfaa48b0a4a40c844f1afb8d7b1e,BASE BTC EARTH 🌍,7,https://github.com/mali030303,
120,https://github.com/gayatrigt/baselogonftproject,False,False,,,,0,0,0xae3efd865f9584671ede5e94c83190b0aea5ac5d77eb0179ba849bcaae314546,Base Logos,8,https://github.com/gayatrigt,
75,https://github.com/gayatrigt/baselogos,True,False,,2024-10-23T04:36:54Z,2025-02-19T13:18:05Z,52,3,0xae3efd865f9584671ede5e94c83190b0aea5ac5d77eb0179ba849bcaae314546,Base Logos,8,https://github.com/gayatrigt,
74,https://github.com/tamastorok/based-year-2024,False,False,,,,0,0,0x93b1eafeb62f6cd5099ad82068763c1fd21f9d881c4e1a474ab854876ea84441,Based Year 2024,8,https://github.com/tamastorok,
127,https://github.com/saurabhburade/substream-eth-blobs,True,False,,2024-10-02T17:12:38Z,2025-02-06T16:53:37Z,20,1,0x23de0728e6569822fc61ee61d2a79eda8b8322894a82700bff5d5c91606798d1,Blobs Guru,7,https://github.com/saurabhburade,
32,https://github.com/saurabhburade/blobs-guru-app,False,False,,,,0,0,0x23de0728e6569822fc61ee61d2a79eda8b8322894a82700bff5d5c91606798d1,Blobs Guru,7,https://github.com/saurabhburade,
