project_id,project_name,display_name,chain,measurement_period,amount,sample_date
2g30p5A8ixZHkvhQomua4U9L1V1lcAyWnTu9X2JUVKo=,harvestfi,Harvest Finance,BASE,Dec 2024,18534223.322580647,2024-12-01
2g30p5A8ixZHkvhQomua4U9L1V1lcAyWnTu9X2JUVKo=,harvestfi,Harvest Finance,BASE,Feb 2025,9794663.45,2025-02-01
2g30p5A8ixZHkvhQomua4U9L1V1lcAyWnTu9X2JUVKo=,harvestfi,Harvest Finance,BASE,Jan 2025,14778009.655172413,2025-01-01
2g30p5A8ixZHkvhQomua4U9L1V1lcAyWnTu9X2JUVKo=,harvestfi,Harvest Finance,BASE,Nov 2024,15852807.3,2024-11-01
2rDMrpL2LxAp8HdLsctM08faEhDFO6b_OJT0yXJhV9I=,aerodrome-finance,Aerodrome Finance,BASE,Dec 2024,795332584.0645162,2024-12-01
2rDMrpL2LxAp8HdLsctM08faEhDFO6b_OJT0yXJhV9I=,aerodrome-finance,Aerodrome Finance,BASE,Feb 2025,477899938.4,2025-02-01
2rDMrpL2LxAp8HdLsctM08faEhDFO6b_OJT0yXJhV9I=,aerodrome-finance,Aerodrome Finance,BASE,Jan 2025,622766626.0806452,2025-01-01
2rDMrpL2LxAp8HdLsctM08faEhDFO6b_OJT0yXJhV9I=,aerodrome-finance,Aerodrome Finance,BASE,Nov 2024,702250425.2333333,2024-11-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,BASE,Dec 2024,88810737.03225806,2024-12-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,BASE,Feb 2025,65691309.9,2025-02-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,BASE,Jan 2025,71237062.96774194,2025-01-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,BASE,Nov 2024,83668498.1,2024-11-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,FRAX,Dec 2024,6811093.774193549,2024-12-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,FRAX,Feb 2025,7019786.55,2025-02-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,FRAX,Jan 2025,7501568.645161291,2025-01-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,FRAX,Nov 2024,5928694.933333334,2024-11-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,LISK,Dec 2024,217028.90476190476,2024-12-11
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,LISK,Feb 2025,40726.5,2025-02-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,LISK,Jan 2025,362030.4193548387,2025-01-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,MODE,Dec 2024,197732.64516129033,2024-12-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,MODE,Feb 2025,51985.95,2025-02-01
6fLsB5BZHfI1tPdWILgHSAWF6hcYpycAlU9B8PQxziU=,beefy-finance,Beefy Finance,MODE,Jan 2025,117778.6129032258,2025-01-01
