URL Peoject,Project,Link,Co-incentives
LiqPass,LiqPass,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-G9WUXGJ2-124YX2,no mention
PagCrypto,PagCrypto,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-A2ZTXRTP-HHT7U9,no mention
Velodrome Finance,Velodrome Finance,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-LZT0D77C-HTHMFT,"Review

In Point 9 they mention (in the weekly distribution plan): 14k/OP/Week:

Match incentives from partner projects launching on these chains to attract more outside capital to the ecosystem."
Morpho,Morpho,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-OC0PQ0BP-0PQURZ,no mention
Precog,Precog,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-HR94I78E-LGNYW7,"Co-incentives include:

We will redirect the protocol's 5% profit share to incentivize even more the LPs, on the pools where OP is being incentivized.

MATE token airdrop to onboard forecasters into live-value markets"
openOracle,openOracle,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-JKZMI45A-QYZ3NG,no mention
Lido,Lido,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-ADR4SDTF-LR8N60,"Lido will also be incentivizing the omnichain vault during the initial bootstrap period (first few months). The purpose is to attract enough TVL in the vault that makes deployments into these Superchain strategies feasible. At the same time, Lido contributors will also explore other co-incentivization options with the protocols (and chains where relevant) that are included in the vault strategies to further drive growth."
Superset,Superset,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-CW47IDWE-KMO9I4,no mention
Limitless,Limitless,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-I1TJYA5M-XIRWVL,"One of the First Milestone's bulletpoints says: Activate Co-Incentive Program: Officially launch the program, distributing OP rewards alongside our Season 2 Points for liquidity and trading."
Renzo Protocol,Renzo Protocol,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-ODZDTQFJ-QTLS4P,"Multiple mentions. I think you are looking for this one: To help bootstrap this flywheel, Renzo will delegate $REZ co-incentives to Aave Base with a 50/50 OP/REZ co-incentivization allocation and will work with Morpho curators on World Chain to grow ezETH markets. Co-incentives will also be applied to Morpho on World Chain to bring ETH borrow utilization to >75% or ezETH supply to >$5m, whichever comes first. "
NEUS Network,NEUS Network,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-2KLX3FN8-D2ZTTU,"Co-incentives (Neutral chains like Base): OP funds are disbursed only for chainId 10 actions. If a campaign spans multiple chains, any non-OP incentives are partner-funded and tagged separately in logs (campaignId, chainId). Base serves as coordination/hub; it receives no OP disbursement."
َQuintes,َQuintes,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-3S22LRYW-HHABVN,no mention
Spicenet,Spicenet,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-C7O5W7RK-ZGIGFO,no mention
Tydro,Tydro,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-RMFNN0IH-NM93BQ,no mention
Curve Lending,Curve Lending,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-VZLIY6MC-SQDRNT,"Co-Incentives: Curve DAO and/or partner protocols may deploy additional token incentives alongside OP to amplify impact. Deployment details, contract addresses, and amounts will be disclosed before launch to ensure transparency."
Strands,Strands,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-23YE2TW4-HVI82T,no mention
Truemarkets,Truemarkets,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-45IYMH9L-PJU5AX,"• Offering co-incentives: TRUE (our governance token) and OP (through this grant)
• In the past 30 days, we’ve distributed 129,425 TRUE tokens (~$14,530) to LPs across markets. We plan to continue this alongside the OP grant, creating a co-incentive engine that amplifies user acquisition and TVL growth."
YieldFi,YieldFi,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-26Y3A1CE-ORWVH6,"Co-incentives
We also have our point system YieldFi Points which we will use to boost on top of OP incentives
1x per $ for holding yUSD, Supplying yUSD on Lending Markets
5x per $ for holding vyUSD, Supplying vyUSD on Lending Markets
2.5x multiplier for yUSD Yield Tokenisation Markets
5x multiplier for vyUSD Yield Tokenisation Markets
2.5x multiplier for supplying borrow assets into yUSD lending markets"
Hydrex,Hydrex,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-HX8QVFXW-RXYI7I,"It was aked by a GovNerd in a comment, but there was no reply directly related to that question.
From the Final Milestone: With the remaining portion of the grant + matched Hydrex incentives, we have a budget of $39,000 to work with. We would more conservatively distribute these rewards over the next 8 weeks until end of year to sustain acquired TVL and encourage new TVL at lower rates."
Extrafi,Extrafi,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-PZ9Y02P7-UXJ2W4,"Co-Incentives:
Amount of co-incentives: 2.5M EXTRA
Scope: Extrafi LYF and Extrafi XLend on OP Mainnet and Base
Deployment timeline:
Extrafi Incentives Campaign on OP Mainnet and Base; Total Co-Incentives: 2.5M EXTRA;
(1) USDC and WETH lending pools on Extrafi LYF: 10/1/2025 - 1/30/2026
(2) USDC, ETH, and cbBTC pools on Extrafi XLend: 10/1/2025 - 1/30/2026
(3) The allocation will be based on the community vote results for lending emissions."
Oku,Oku,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-SJI1PDNL-Z0UTM9,no mention
PancakeSwap,PancakeSwap,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-61MKC5AZ-TFCR6F,"We will be co-incentivizing the Base pools with CAKE tokens
Currently, we are emitting 8800 CAKE per day to our Base pools, and we can commit to providing 5000 CAKE per day within this grant period
Assuming the grant will be distributed over 90 days, assuming CAKE = $2.5, we will provide $1.125M in co-incentives, which is a 250% co-incentive ratio vs our requested 600k OP grant ($450k)"
40acres.finance,40acres.finance,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-CS0S7GDN-MR3JI7,"From the comments: In addition, we will provide $24,000 in USDC as co-incentives on Base to be distributed alongside the grant incentives. These co-incentives represent approximately 33% of the OP distributed to our users on Base. We believe this is a fair compromise that gives us the best chance of reaching our milestones and demonstrating the full impact the incentives can have. Updated: I have also updated the grant to match the request of 200k OP + $24000 USDC and the milestones to based on these changes."
Super DCA,Super DCA,https://www.karmahq.xyz/community/optimism/admin/funding-platform/959_42161/applications/APP-0A6ZP40D-82XHOP,no mention
