,repo_owner,repo_name,package_artifact_name,package_artifact_source
0,erigontech,erigontech/erigon,github.com/pion/udp,GO
1,erigontech,erigontech/erigon,golang.org/x/exp,GO
2,erigontech,erigontech/erigon,gopkg.in/yaml.v2,GO
3,erigontech,erigontech/erigon,github.com/anacrolix/go-libutp,GO
4,erigontech,erigontech/erigon,github.com/go-ole/go-ole,GO
5,erigontech,erigontech/erigon,github.com/mschoch/smat,GO
6,erigontech,erigontech/erigon,github.com/spf13/cast,GO
7,erigontech,erigontech/erigon,github.com/gorilla/websocket,GO
8,erigontech,erigontech/erigon,github.com/pion/mdns,GO
9,erigontech,erigontech/erigon,github.com/kr/text,GO
10,erigontech,erigontech/erigon,github.com/multiformats/go-varint,GO
11,erigontech,erigontech/erigon,github.com/ncruces/go-strftime,GO
12,erigontech,erigontech/erigon,github.com/bits-and-blooms/bitset,GO
13,erigontech,erigontech/erigon,github.com/erigontech/mdbx-go,GO
14,erigontech,erigontech/erigon,github.com/ianlancetaylor/cgosymbolizer,GO
15,erigontech,erigontech/erigon,github.com/99designs/gqlgen,GO
16,erigontech,erigontech/erigon,github.com/alecthomas/kong,GO
17,erigontech,erigontech/erigon,github.com/consensys/gnark-crypto,GO
18,ethereum,ethereum/ethdev-site,jshint-stylish,NPM
19,ethereum,ethereum/ethdev-site,gulp-watch,NPM
20,ethereum,ethereum/eth-rlp,eth-utils,PIP
21,ethereum,ethereum/meteor-dapp-wallet,underscore,NPM
22,ethereum,ethereum/meteor-dapp-wallet,pseudomap,NPM
23,ethereum,ethereum/meteor-dapp-wallet,chalk,NPM
24,ethereum,ethereum/meteor-dapp-wallet,buffered-spawn,NPM
25,ethereum,ethereum/moon-browser,detective,NPM
26,ethereum,ethereum/moon-browser,babel-plugin-syntax-async-generators,NPM
27,ethereum,ethereum/moon-browser,constants-browserify,NPM
28,ethereum,ethereum/moon-browser,querystring-es3,NPM
29,ethereum,ethereum/moon-browser,browserify-zlib,NPM
30,ethereum,ethereum/moon-browser,jodid25519,NPM
31,ethereum,ethereum/moon-browser,timers-browserify,NPM
32,ethereum,ethereum/moon-browser,htmlescape,NPM
33,ethereum,ethereum/remix-live-beta,@babel/preset-es2017,NPM
34,ethereum,ethereum/remix-live-beta,ace-mode-solidity,NPM
35,ethereum,ethereum/remix-live-beta,@babel/register,NPM
36,ethereum,ethereum/remix-live-beta,standard,NPM
37,ethereum,ethereum/portal-network-specs,@json-schema-tools/meta-schema,NPM
38,ethereum,ethereum/eip-review-bot,@typescript-eslint/parser,NPM
39,ethereum,ethereum/staking-deposit-cli,ssz,PIP
40,ethereum,ethereum/staking-deposit-cli,more-itertools,PIP
41,ethereum,ethereum/solidity-examples,cli-width,NPM
42,ethereum,ethereum/solidity-examples,ignore,NPM
43,ethereum,ethereum/solidity-examples,is-arrayish,NPM
44,ethereum,ethereum/solidity-examples,spdx-correct,NPM
45,ethereum,ethereum/solidity-examples,hoek,NPM
46,ethereum,ethereum/solidity-examples,istanbul-lib-source-maps,NPM
47,ethereum,ethereum/solidity-examples,tryit,NPM
48,ethereum,ethereum/solidity-examples,run-async,NPM
49,ethereum,ethereum/solidity-examples,arr-flatten,NPM
50,ethereum,ethereum/solidity-examples,istanbul-lib-hook,NPM
51,ethereum,ethereum/solidity-examples,jest-validate,NPM
52,ethereum,ethereum/solidity-examples,array-union,NPM
53,ethereum,ethereum/solidity-examples,prr,NPM
54,ethereum,ethereum/solidity-examples,tmpl,NPM
55,ethereum,ethereum/solidity-examples,babel-core,NPM
56,ethereum,ethereum/solidity-examples,glob-parent,NPM
57,ethereum,ethereum/remix-tests,commander,NPM
58,ethereum,ethereum/remix-tests,async,NPM
59,ethereum,ethereum/eth-portal,eth-portal,PIP
60,ethereum,ethereum/portal-website,ts-dedent,NPM
61,ethereum,ethereum/portal-website,dayjs,NPM
62,ethereum,ethereum/portal-website,unist-util-position,NPM
63,ethereum,ethereum/portal-website,@chakra-ui/toast,NPM
64,ethereum,ethereum/portal-website,slash,NPM
65,ethereum,ethereum/portal-website,d3-zoom,NPM
66,ethereum,ethereum/portal-website,natural-compare,NPM
67,ethereum,ethereum/portal-website,react-remove-scroll-bar,NPM
68,ethereum,ethereum/portal-website,@emotion/serialize,NPM
69,ethereum,ethereum/portal-website,git-url-parse,NPM
70,ethereum,ethereum/portal-website,@napi-rs/simple-git-win32-arm64-msvc,NPM
71,ethereum,ethereum/portal-website,github-slugger,NPM
72,ethereum,ethereum/portal-website,d3-time-format,NPM
73,ethereum,ethereum/portal-website,d3-path,NPM
74,ethereum,ethereum/portal-website,flexsearch,NPM
75,ethereum,ethereum/portal-website,rehype-raw,NPM
76,ethereum,ethereum/portal-website,strip-bom-string,NPM
77,ethereum,ethereum/portal-website,micromark-factory-whitespace,NPM
78,ethereum,ethereum/portal-website,@chakra-ui/select,NPM
79,ethereum,ethereum/portal-website,mdast-util-gfm-task-list-item,NPM
80,ethereum,ethereum/portal-website,@chakra-ui/slider,NPM
81,ethereum,ethereum/portal-website,@chakra-ui/react-use-interval,NPM
82,ethereum,ethereum/portal-website,cytoscape-fcose,NPM
83,ethereum,ethereum/portal-website,estraverse,NPM
84,ethereum,ethereum/portal-website,@eslint-community/eslint-utils,NPM
85,ethereum,ethereum/portal-website,invariant,NPM
86,ethereum,ethereum/portal-website,path-type,NPM
87,ethereum,ethereum/portal-website,flat-cache,NPM
88,ethereum,ethereum/portal-website,@chakra-ui/hooks,NPM
89,ethereum,ethereum/portal-website,locate-path,NPM
90,ethereum,ethereum/portal-website,@chakra-ui/react-use-merge-refs,NPM
91,ethereum,ethereum/portal-website,character-entities-html4,NPM
92,ethereum,ethereum/portal-website,focus-lock,NPM
93,ethereum,ethereum/portal-website,brace-expansion,NPM
94,ethereum,ethereum/portal-website,micromark-util-html-tag-name,NPM
95,ethereum,ethereum/remixd,string.prototype.trimend,NPM
96,ethereum,ethereum/remixd,lowercase-keys,NPM
97,ethereum,ethereum/remixd,minimatch,NPM
98,ethereum,ethereum/remixd,http-cache-semantics,NPM
99,ethereum,ethereum/remixd,once,NPM
100,ethereum,ethereum/remixd,@types/fs-extra,NPM
