,oso_slug,grant_source,grantee,grant_date,grant_token_address,grant_amount,grant_name,grant_round,grant_type,grant_category,grant_distribution,grant_blockchain
0,thales,Arbitrum Foundation,Thales,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,500000.0,STIP,1,proactive,growth,claim,arbitrum
2,premiafinance,Arbitrum Foundation,Premia,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,900000.0,STIP,1,proactive,growth,claim,arbitrum
8,camelotlabs,Arbitrum Foundation,Camelot,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,3090000.0,STIP,1,proactive,growth,claim,arbitrum
18,balancer,Arbitrum Foundation,Balancer,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1200000.0,STIP,1,proactive,growth,claim,arbitrum
27,kyber-swap,Arbitrum Foundation,KyberSwap,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1500000.0,STIP,1,proactive,growth,claim,arbitrum
39,timeswap-labs,Arbitrum Foundation,Timeswap,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,200000.0,STIP,1,proactive,growth,claim,arbitrum
45,ramsesexchange,Arbitrum Foundation,Ramses,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,248000.0,STIP,1,proactive,growth,claim,arbitrum
46,rodeofi,Arbitrum Foundation,Rodeo Finance,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,250000.0,STIP,1,proactive,growth,claim,arbitrum
50,goodentry-io,Arbitrum Foundation,GoodEntry,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,200000.0,STIP,1,proactive,growth,claim,arbitrum
78,dopex-io,Arbitrum Foundation,Dopex,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1500000.0,STIP,1,proactive,growth,claim,arbitrum
79,umamidao,Arbitrum Foundation,Umami Finance,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,750000.0,STIP,1,proactive,growth,claim,arbitrum
112,traderjoe-xyz,Arbitrum Foundation,Trader Joe,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1510000.0,STIP,1,proactive,growth,claim,arbitrum
217,defiedge,Arbitrum Foundation,DefiEdge,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,200000.0,STIP,1,proactive,growth,claim,arbitrum
272,savvy-finance,Arbitrum Foundation,Savvy,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,200000.0,STIP,1,proactive,growth,claim,arbitrum
279,velaexchange,Arbitrum Foundation,Vela,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1000000.0,STIP,1,proactive,growth,claim,arbitrum
284,vertex-protocol,Arbitrum Foundation,Vertex,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,3000000.0,STIP,1,proactive,growth,claim,arbitrum
287,,Arbitrum Foundation,Thetanuts Finance,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,200000.0,STIP,1,proactive,growth,claim,arbitrum
331,gmx-io,Arbitrum Foundation,GMX,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,12000000.0,STIP,1,proactive,growth,claim,arbitrum
