project_id,project_name,applicant_type,applicant_address,applicant_ens,award_result,median_amount_result,ballot_result,quorum_result,included_in_ballots,included_in_lists,lists_min_amount,lists_quartile_1_amount,lists_median_amount,lists_quartile_3_amount,lists_max_amount,funding_reported_total,funding_reported_usd,funding_reported_op,vc_funding,has_token,impact_category
0xef65b1e277e1c7398bbd8a10c623d53dbbb64474ea68b6484e9ccf5c9c0cc494,Solidity,PROJECT,0x151EF20A3ADe1CC1161391594f8a32461389a54e,soliditylang.eth,422361.96,425000,109,true,109,14,100000,180000,300000,528979.59,1250000,333809.05000000005,40342,217383,,,DEVELOPER_ECOSYSTEM|OP_STACK
0x32ee121e0dbcef2fe2b7a8e668f9a53ddc6d43e16c423fe8b4595b0120ac08d8,ethers.js,PROJECT,0x8ba1f109551bD432803012645Ac136ddd64DBA72,ricmoo.firefly.eth,298137.85,300000,107,true,107,13,76923,104119.5,250000,650000,1250000,333684,51345,209140,,,DEVELOPER_ECOSYSTEM
0x5c84f2c69cd6044c8a9275924a2c4040acbc8e31572260526d9b0bd028eabf04,Otterscan,PROJECT,0x2648Fd2a1D10563AE0931e78559408D56Bc8C85C,,170364.91,171429,99,true,101,10,0,62326,137500,857142.8571,2500000,132880,40000,68800,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x31588517386990050541aed3f6d4d5a370e30fcd5bf622886c1955ffc9565f52,Hardhat,PROJECT,0x329Ee91AE6A0A28a0a2B729B80adC50855ceE2d2,,280249.58,282000,101,true,101,10,74795,200000,250000,466172,800000,0,0,0,,,DEVELOPER_ECOSYSTEM|OP_STACK
0x5b5cb12df644ca17fabd91825886b5491d1526befaec2924315b8e5971d26cf8,go-ethereum,PROJECT,0x0000006916a87b82333f4245046623b23794C65C,,496896.42,500000,101,true,101,15,0,150000,400000,857142.8571,3750000,311175,0,230500,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0xc754e70f8d64d1923e4fb7591e0cad3790d4e164b3b11a8db1c1356714037792,L2BEAT 💗,PROJECT,0x1B686eE8E31c5959D9F5BBd8122a58682788eeaD,delegate.l2beat.eth,198758.57,200000,99,true,100,16,0,65811,112500,177695.5,528979.59,1243947.836,812000,319961.36,,,COLLECTIVE_GOVERNANCE|DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0x023dfdedcfb50385c8c24fd86489a7f016633219c66583c71f154d7af99c6b51,Vyper,PROJECT,0x0b98718264cA14d0A17C145FfE1e4F3c38a39372,gramsci.eth,248448.21,250000,97,true,97,11,0,100000,200000,500000,1250000,182520,0,135200,,,DEVELOPER_ECOSYSTEM|OP_STACK
0x2a1d784639add63bb313c3836b5dc1421d0a775d4cf7459c97bfbee95f39e26f,Protocol Guild,PROJECT,0xE5bC420a8845542C2A46E76233418dEA8eEb9d0F,,663853.62,668000,95,true,95,13,0,200000,352653.06,1000000,5000000,12752356.35,12000000,557301,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0xda04cebe79ec8547116a948edfbdb87e48dcb0543b29b7276df53df579170f74,DefiLlama,PROJECT,0x5A9D07ED3d7318eD5cB932776D2CEeb177a68bCd,,248448.21,250000,93,true,94,14,0,120000,176217.5,420000,1250000,635850,0,471000,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0xa0498cfa249bc5a542fa793407d47f31e0d090e1edf767bd1d72f7869bbbe534,beaconcha.in,PROJECT,0xd9ED89A0f4cfbC1be4b7b1aA744b5bd25ACA9979,grants.beaconchain.eth,223603.39,225000,94,true,94,10,0,139852,175000,300000,1250000,422830,280000,105800,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0xf307abb7638c184e3836beb422abf8cd36b7fd2bbb4fbd0fdeadf7ab7047a8c8,rotki,PROJECT,0x9531C059098e3d194fF87FebB587aB07B30B1306,rotki.eth,149068.93,150000,93,true,93,13,0,113491.5,153354,325000,1250000,476382.5,22823,335970,0,false,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0x5eace21ba2231567c07c2c39ad0854c8051e096d18a4bee3e08c833becd2d776,Ethereum Attestation Service,PROJECT,0x3e95B8E249c4536FE1db2E4ce5476010767C0A05,brycealan.eth,219757.63,221130.22,93,true,93,16,69307,127500,165622,527653.06,1238938,67500,0,50000,,,COLLECTIVE_GOVERNANCE|DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x912e6971c43c3a46dbb82d1358af205530663ef01c2fb0691d843a9f72293689,OpenZeppelin Contracts,PROJECT,0x9e1E9D592BAb52406289A1B4e8Bc1236d9eAD33e,,248448.21,250000,93,true,93,13,76923,193234.5,250000,514489.795,625000,245382.66900000002,0,181764.94,,,DEVELOPER_ECOSYSTEM
0x75c17ab86592588357ebe8f116dab73c6a531ec20a5b23a1f57ae7d85dbb3549,Erigon,PROJECT,0x9D20893054afC4A74b856089c44F9A09d1C38Db0,,339545.72,341666.5,92,true,92,18,0,180000,200000,857142.8571,5000000,191227.5,0,141650,,,DEVELOPER_ECOSYSTEM|OP_STACK
