,uuid,recipient,project_type,category,address,chain
0,10a38b6d-e432-403b-bd9c-9e0bbbeef72b,0x258a3790639F0dC736eAF5b8817706417C656a47,Creator,Art NFTs,0xd0966b2d8d48e057105afa7a1b84bf1188fb00f0,Base
1,10a38b6d-e432-403b-bd9c-9e0bbbeef72b,0x258a3790639F0dC736eAF5b8817706417C656a47,Creator,Art NFTs,0xd0966b2d8d48e057105afa7a1b84bf1188fb00f0,Optimism
2,10a38b6d-e432-403b-bd9c-9e0bbbeef72b,0x258a3790639F0dC736eAF5b8817706417C656a47,Creator,Art NFTs,0xd0966b2d8d48e057105afa7a1b84bf1188fb00f0,Zora
3,8c12c1a5-d565-4851-abf2-1e22724816b0,0x72bA95D9701B0aE496AB4320010a43a764905b1b,Creator,Art NFTs,0x72ba95d9701b0ae496ab4320010a43a764905b1b,Base
4,8c12c1a5-d565-4851-abf2-1e22724816b0,0x72bA95D9701B0aE496AB4320010a43a764905b1b,Creator,Art NFTs,0x72ba95d9701b0ae496ab4320010a43a764905b1b,Optimism
5,8c12c1a5-d565-4851-abf2-1e22724816b0,0x72bA95D9701B0aE496AB4320010a43a764905b1b,Creator,Art NFTs,0x72ba95d9701b0ae496ab4320010a43a764905b1b,Zora
6,d037864b-d216-451a-a46c-cf587766d6ab,0x5de2B5B72A0b49f7D4490a1fEF61Afa8415971F5,Creator,Art NFTs,0x5de2b5b72a0b49f7d4490a1fef61afa8415971f5,Base
7,d037864b-d216-451a-a46c-cf587766d6ab,0x5de2B5B72A0b49f7D4490a1fEF61Afa8415971F5,Creator,Art NFTs,0x5de2b5b72a0b49f7d4490a1fef61afa8415971f5,Optimism
8,d037864b-d216-451a-a46c-cf587766d6ab,0x5de2B5B72A0b49f7D4490a1fEF61Afa8415971F5,Creator,Art NFTs,0x5de2b5b72a0b49f7d4490a1fef61afa8415971f5,Zora
9,6d66053a-3741-4c86-83cd-2b3909c92e8f,0xcaa77C8c52c7F0a37DB1A663Dd910Ee444dAB441,Creator,Art NFTs,0xb1abf1039323f248514594a5ed1aef4f4fc95823,Base
10,6d66053a-3741-4c86-83cd-2b3909c92e8f,0xcaa77C8c52c7F0a37DB1A663Dd910Ee444dAB441,Creator,Art NFTs,0xb1abf1039323f248514594a5ed1aef4f4fc95823,Optimism
11,6d66053a-3741-4c86-83cd-2b3909c92e8f,0xcaa77C8c52c7F0a37DB1A663Dd910Ee444dAB441,Creator,Art NFTs,0xb1abf1039323f248514594a5ed1aef4f4fc95823,Zora
12,8a175e5b-0c5c-49e4-ba8b-87ab6d713367,0xD9bFBC709DA3e481E469AF815265fBD1BC4ae31f,Creator,Other Media NFTs,0x4b4324bcc6db9380abbbbd20b24a16c11fb5b38a,Base
13,8a175e5b-0c5c-49e4-ba8b-87ab6d713367,0xD9bFBC709DA3e481E469AF815265fBD1BC4ae31f,Creator,Other Media NFTs,0x4b4324bcc6db9380abbbbd20b24a16c11fb5b38a,Optimism
14,8a175e5b-0c5c-49e4-ba8b-87ab6d713367,0xD9bFBC709DA3e481E469AF815265fBD1BC4ae31f,Creator,Other Media NFTs,0x4b4324bcc6db9380abbbbd20b24a16c11fb5b38a,Zora
15,e9d828f3-4dce-4805-a40f-f9e49f78368a,0x6826Ba168776251688D4E3a6C4AC430CF4F185A8,Creator,Art NFTs,0x6826ba168776251688d4e3a6c4ac430cf4f185a8,Base
16,e9d828f3-4dce-4805-a40f-f9e49f78368a,0x6826Ba168776251688D4E3a6C4AC430CF4F185A8,Creator,Art NFTs,0x6826ba168776251688d4e3a6c4ac430cf4f185a8,Optimism
17,e9d828f3-4dce-4805-a40f-f9e49f78368a,0x6826Ba168776251688D4E3a6C4AC430CF4F185A8,Creator,Art NFTs,0x6826ba168776251688d4e3a6c4ac430cf4f185a8,Zora
18,5fc08a5c-5a84-414e-87fd-f43f9ba8a336,0x2eA49C863BE976ee9c10CB8EF382757E48F0b9e5,Creator,Art NFTs,0x2ea49c863be976ee9c10cb8ef382757e48f0b9e5,Base
19,5fc08a5c-5a84-414e-87fd-f43f9ba8a336,0x2eA49C863BE976ee9c10CB8EF382757E48F0b9e5,Creator,Art NFTs,0x2ea49c863be976ee9c10cb8ef382757e48f0b9e5,Optimism
20,5fc08a5c-5a84-414e-87fd-f43f9ba8a336,0x2eA49C863BE976ee9c10CB8EF382757E48F0b9e5,Creator,Art NFTs,0x2ea49c863be976ee9c10cb8ef382757e48f0b9e5,Zora
21,a222b9e9-7a8f-4610-83cf-4804d15c5d3a,0x47C322EC78fA2db2a9EfCE64D82B0d4Fb82f2945,Creator,Art NFTs,0x8f87d1feefa305a453174982df870fa93ebe2175,Base
22,a222b9e9-7a8f-4610-83cf-4804d15c5d3a,0x47C322EC78fA2db2a9EfCE64D82B0d4Fb82f2945,Creator,Art NFTs,0x8f87d1feefa305a453174982df870fa93ebe2175,Optimism
23,a222b9e9-7a8f-4610-83cf-4804d15c5d3a,0x47C322EC78fA2db2a9EfCE64D82B0d4Fb82f2945,Creator,Art NFTs,0x8f87d1feefa305a453174982df870fa93ebe2175,Zora
24,abd622c3-4750-4715-9ea3-975634dc11e0,0x3f08a8029BCa8AfF2e9C0b828F2a3485C620A644,Creator,Art NFTs,0x21339e2ce5ce1d7a19a28e774513619c0c6259da,Base
25,abd622c3-4750-4715-9ea3-975634dc11e0,0x3f08a8029BCa8AfF2e9C0b828F2a3485C620A644,Creator,Art NFTs,0x21339e2ce5ce1d7a19a28e774513619c0c6259da,Optimism
26,abd622c3-4750-4715-9ea3-975634dc11e0,0x3f08a8029BCa8AfF2e9C0b828F2a3485C620A644,Creator,Art NFTs,0x21339e2ce5ce1d7a19a28e774513619c0c6259da,Zora
27,1572b488-74ee-4ed2-b339-19ab463c4bec,0x723bEE2edd9595596a0CA2fa71ce505695735568,Creator,Art NFTs,0x723bee2edd9595596a0ca2fa71ce505695735568,Base
28,1572b488-74ee-4ed2-b339-19ab463c4bec,0x723bEE2edd9595596a0CA2fa71ce505695735568,Creator,Art NFTs,0x723bee2edd9595596a0ca2fa71ce505695735568,Optimism
29,1572b488-74ee-4ed2-b339-19ab463c4bec,0x723bEE2edd9595596a0CA2fa71ce505695735568,Creator,Art NFTs,0x723bee2edd9595596a0ca2fa71ce505695735568,Zora
30,29bafbe9-ece3-40e3-90cf-5a1cfc2420e5,0xc4A6B73AcaE5573d24551867332F8877C9767651,Creator,Other Media NFTs,0x4fba94363621a3b86417d6d0b2819583263a9bc0,Base
31,29bafbe9-ece3-40e3-90cf-5a1cfc2420e5,0xc4A6B73AcaE5573d24551867332F8877C9767651,Creator,Other Media NFTs,0x4fba94363621a3b86417d6d0b2819583263a9bc0,Optimism
32,29bafbe9-ece3-40e3-90cf-5a1cfc2420e5,0xc4A6B73AcaE5573d24551867332F8877C9767651,Creator,Other Media NFTs,0x4fba94363621a3b86417d6d0b2819583263a9bc0,Zora
33,b21440f2-f4e8-4eb1-87d1-04323317abc2,0x08E0a3E752D1338c0F02b986B9504f1009a962ca,Creator,Art NFTs,0x08e0a3e752d1338c0f02b986b9504f1009a962ca,Base
34,b21440f2-f4e8-4eb1-87d1-04323317abc2,0x08E0a3E752D1338c0F02b986B9504f1009a962ca,Creator,Art NFTs,0x08e0a3e752d1338c0f02b986b9504f1009a962ca,Optimism
