uuid,charmverseId,agoraProjectRefUID,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,flag_multiple_projects_same_profile,flag_creator_no_address,flag_app_missing_contract,flag_channel_no_channel,flag_charmverse_in_name,flag_creator_address_conflict,count_flags,has_flag
d8db2a21-5843-42a2-96af-378fba391603,d8db2a21-5843-42a2-96af-378fba391603,0x9a94d5ee92f1a5b834079715297af489dfbecd049017a7a34e0223051d075bf0,0x83343ef2cd78008735dd4f7d0de520b8678ee818fac3a485c7dfcd39feb34078,0xFA1aFC4534fc9F80a552e61Dd04CD8A172c821a6,1724762469,2021go in Web3,pending,jaxo,https://warpcast.com/jaxo,2021go in Web3,https://2021go.xyz,Other Application,Other Category,N/A,,,,False,False,True,False,False,False,1,1
328d1b4d-8531-46e3-8783-b01afb4df460,328d1b4d-8531-46e3-8783-b01afb4df460,0x3e662931155df6d4df0c716d9f13ee15eb418d55f8f3e98c89337cfea91bb5c2,0x3446e77d0ae24d28fe5ef76bdcf07226ad9910f8e567dbfa951d9a9dfe113553,0x776aBd4A6Cf0C7d49b545AA7FAaF4B0B4F0bfA70,1726773959,AA Art,pending,aaeth,https://warpcast.com/aaeth,AA Art,www.charmverse.io,Creator,Art Marketplace,mintingWallet,0x5f9e809791af4138c50192ede966e86f579cba2c,,All Superchain,False,False,True,False,False,False,1,1
50d39707-8348-45a0-8c8b-62b1502f5d38,50d39707-8348-45a0-8c8b-62b1502f5d38,0xacec4d001ccd4744fbefde1e9986a933a63ce277e0044f4cd27c2b01382e8764,0x024c706878b58b4e992b0d85e48c27e6cd9264bd1350e128c28b81676c5f726a,0x71306dbdCD14b1770CeEC15dE46bB9E9c1f61022,1724766787,AAWH,pending,cosmicbagelsart,https://warpcast.com/cosmicbagelsart,AAWH,https://linktr.ee/aawh.art?fbclid=PAZXh0bgNhZW0CMTEAAaZGiy3vQ7IAItaG4kkggPyeVhStQXbO3QLN1tB4gq28DKwrTChrbB_-5RA_aem_iVZajGJujh1s7mI3cMgn8Q,Creator,Art Marketplace,mintingWallet,0x4625ba2b59336cf499907e46c22e60a38d9202e0,,All Superchain,False,False,True,False,False,False,1,1
4114f6da-f282-456e-9ed9-382632c1c2df,4114f6da-f282-456e-9ed9-382632c1c2df,,0x5a7cb06009e8923c4d3abeda891a0e87c9887f1b90460a8fcb06c6670112f1f8,0x57D2f26Fc927423cfcd0f41282CF1574E138208c,1724761649,Abdull rahman,pending,ssyaipurrahman,https://warpcast.com/ssyaipurrahman,Abdull rahman,https://charmverse.io/ssyapulrahman,Other Application,Other Media Marketplace,N/A,,,,False,False,True,False,False,False,1,1
0fabbd3f-fd11-45c1-8afc-a477269c06d8,0fabbd3f-fd11-45c1-8afc-a477269c06d8,0xa87aeff274b03157fa1ea9f34fb6321d48c528ca3fda8d6e0087993326ff1d93,0x64eb476fd537411519a718799ea764ac5bf2ab1b309fe5d2b38ec6ea46a7f978,0x39FbCFAfb35272936Aaea73c85A3231Cd50C9ebB,1724769661,Abisrungkad,pending,abisrungkad,https://warpcast.com/abisrungkad,Abisrungkad,https://abisrungkad.com,Other Application,Art Marketplace,N/A,,,,False,False,True,False,False,False,1,1
f63c1b21-2a90-4fa8-a01e-342615ecfee9,f63c1b21-2a90-4fa8-a01e-342615ecfee9,0x028e2d916e18c8f4885d4c12ca5f560a679ec52f3a0d5e2341712690cc380c92,0x77843cae47d8dbf907526a8ffca65da4ad25cf0cb9a007f3c3a98d877e5b0334,0x0C8a1408B3EAB2E90C933da7b1d968D040515eeD,1725809263,AceTCG,pending,acetcg,https://warpcast.com/acetcg,AceTCG,https://acetcg.xyz/,Other Application,Gaming,N/A,,,,False,False,True,False,False,False,1,1
7d495e53-6a41-4743-b0bb-ce10f498d368,7d495e53-6a41-4743-b0bb-ce10f498d368,0x61227297dbbb5c606d77be159caa9d7fa2944d30a2a2280c9268d988aca60018,0xd1e2f68b0e69e9e8c64167a458b99566e2204e7eccf2103c80cac2ede53ef9aa,0xfFBe87856ebcA31143A59b88Db2726E773BE7194,1724724813,Adltix ,pending,syakira72,https://warpcast.com/syakira72,Adltix ,https://adltix.com ,Other Application,Other Media Marketplace,N/A,,,,False,False,True,False,False,False,1,1
794c9dbc-8c68-482c-9b3c-2ad4a1248f99,794c9dbc-8c68-482c-9b3c-2ad4a1248f99,0xd8e959a5d982f34aac288ab3f8150004552a50834a3b77a96516b559036035bf,0x16059768171e75e141cd4fc7f0428be34c43fb2f14789eefac1551ea8b72d656,0x617077F8762990c5Cb25378aA357AA14BF4c74d8,1724995915,Ahmad,pending,ahmad456677,https://warpcast.com/ahmad456677,Ahmad,https://warpcast.com/ahmad456677,Other Application,Art NFTs,N/A,,,,False,True,False,False,False,False,1,1
a9644284-022b-4dbd-aae0-6eb4f439f933,a9644284-022b-4dbd-aae0-6eb4f439f933,0x48d1dfe608655812a72301c51e082c6b690881a0ccac0faa852f00a531fb79d6,0xc03104f0878b4aeb1dcbd5395076e2e8b846b6e113e434322705c61c63be622e,0x6048ac7Bb25389994AE13EC9aD40cdDFdc33Dc0A,1725297111,Airdropers,pending,blockduck,https://warpcast.com/blockduck,Airdropers,https://warpcast.com/blockduck,Creator,Airdrop,mintingWallet,0x6048ac7bb25389994ae13ec9ad40cddfdc33dc0a,,All Superchain,False,False,True,False,False,False,1,1
5596128a-673a-4e61-a719-51c90278886c,5596128a-673a-4e61-a719-51c90278886c,0x662dfe9535c44f9d4dfbae48de4e273c7e464b0a119aae0bf269d13910ccd5b0,0xd651c69c3ae3cf9cec6701f3fc4f97b99cf8419b8a42c334e1ea931778b072f3,0x6048ac7Bb25389994AE13EC9aD40cdDFdc33Dc0A,1725296981,Airdrop Hunter,pending,blockduck,https://warpcast.com/blockduck,Masks Community,https://warpcast.com/blockduck,Creator,Airdrop,mintingWallet,0x6048ac7bb25389994ae13ec9ad40cddfdc33dc0a,,All Superchain,False,False,True,False,False,False,1,1
