,recipient,name,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid_list
0,0x01133c3834a96aDd681a9C9Ad3b2f955968ed60F,ArbiLearn,metrics_available,36.0,10.0,0.0,0.0,36.0,10.0,0.0,0.0,"['6abc3227-4e7f-4786-863c-abdd23f488a2', '72d91704-0a5f-4ec7-9e6b-92d5d72df0bc']"
1,0x013437412c41716f72B54fE66d7c11858aFe4894,BetBase,metrics_available,12901.0,2146.0,60.0,198.0,32785.0,4295.0,68.0,456.0,['8bd5539d-ef65-4f2c-9014-3fc11620f12f']
2,0x022541dF816F50CfC6ce60c9de80619F44f7CeF1,datalatte,metrics_available,73.0,4.0,0.0,3.0,73.0,4.0,0.0,3.0,['78f0eac0-c56e-489c-a4e3-9c700ccf4ce8']
3,0x02cdD55Bea4d8Ef7E7dDA6A60305a03dfaB0C128,/send,metrics_available,33636.0,1816.0,46.0,129.0,45966.0,3765.0,60.0,293.0,"['02873c40-7e3f-4f0c-b9ff-ba12466b834c', '3600073d-fe30-4c55-84b6-5cf388843fd2', '40e9c64b-e468-4a27-8dfa-b392f5813c2e', '91d27ce9-b7f8-4c31-bba2-f8a0ba72eadb', 'b6cb620b-63ad-4ff7-b9bf-53c66db71dad', 'f7e0b2d9-b0c5-4464-9994-9ae3984a3579']"
4,0x035eBd096AFa6b98372494C7f08f3402324117D3,Namespace - ENS Subname Sorcery,metrics_available,1683.0,143.0,1.0,117.0,1683.0,143.0,0.0,117.0,['45ca2132-cb78-4e41-aca2-61f2fe8c71c1']
5,0x06AE622bF2029Db79Bdebd38F723f1f33f95F6C5,nounspace,metrics_available,5.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,['7ec52321-6065-4cbf-b763-dec8b0ad5290']
6,0x073f0DC58e9989C827bA5b7b35570B7315652e63,Gloom,metrics_available,132.0,111.0,1.0,49.0,41802.0,8195.0,78.0,5182.0,['b7e11cb2-d643-4f5f-99ce-803f396b31a5']
7,0x08D816526BdC9d077DD685Bd9FA49F58A5Ab8e48,Collectr,metrics_available,217.0,164.0,2.0,52.0,217.0,164.0,1.0,52.0,['cb6ef65c-3136-4af7-9be1-c993d8789376']
8,0x091Ce12B4592f1b434e597374BF6F054904F200A,Event Horizon DEX,metrics_available,156250.0,69218.0,848.0,6072.0,156314.0,69233.0,424.0,6075.0,"['278bd0d9-4887-44bb-bbdd-37f88a5f0e6b', '3b2e3fce-6673-4e1d-8b7d-83431ad27ee6', '3bbe2463-0d9b-4d12-bf59-1eaab405e941', '4c5edadc-00b0-4063-a62c-fc768c164921', '578a22eb-31d1-47d4-90fe-516b380b588a', '643b9cf2-c91b-4b10-9efc-3afa8beec654', '8280bdf5-79bf-4d5e-88c0-2ab18741e0f9', '8e56e88c-f02d-48cd-8208-9ebef2287d21', 'a8e6bf30-59cb-4b11-b938-8353effd846c', 'baa4fa61-e1e8-4e5f-91a4-9fceb08796ff']"
9,0x0B3CF56E7dF3BB3Fb7201fFcD96d279b05DDd2E3,Scoop,metrics_available,161652.0,3070.0,191.0,10.0,161652.0,3070.0,95.0,10.0,['3922c00b-976f-43dd-8e1a-616b686efee1']
