uuid,name,recipient,project_type,category,address,chain,contract_type,transactions_90D,transactions_180D,active_addresses_90D,active_addresses_180D,farcaster_users_90D,farcaster_users_180D,daily_active_addresses_90D,daily_active_addresses_180D,block_explorer
89eb0a1c-36f6-4455-af98-c822064425bb,0x,0xE4EE538019673501F4B75de5aF5CC073Ec0A1487,App,DEX,0xdef1c0ded9bec7f1a1670819833240f027b25eff,Base,dapp_contract,1543115.0,2811827.0,154685.0,361243.0,10746.0,28663.0,3984.0,5434.0,https://basescan.org/address/0xdef1c0ded9bec7f1a1670819833240f027b25eff
9dbc583f-6672-48cd-9ddc-90d35e1a9474,5050IO,0xA89946F00052Bc385B3121b45420316a7cE20E60,App,Donations,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,Base,trace_contract,153.0,153.0,12.0,12.0,4.0,4.0,0.0,0.0,https://basescan.org/address/0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9
b4d81636-0080-49bd-8039-0721b3ea716c,Aerodrome Finance,0xc687f7c9BDfF8d40cF4f789FA105f7dCF0771d6a,App,DEX,0x940181a94a35a4569e4529a3cdfb74e38fd98631,Base,token_contract,26251866.0,36012251.0,196067.0,300062.0,14463.0,23948.0,7605.0,7534.0,https://basescan.org/address/0x940181a94a35a4569e4529a3cdfb74e38fd98631
af197310-d16f-4b6d-8b14-6c18a60ef145,AI Frames Creator,0x980F5aC0Fe183479B87f78E7892f8002fB9D5401,Other Application,Frames,0x02e4227ed20379db2999511609b8e2b28f73f0e0,Optimism,dapp_contract,191.0,6531.0,1.0,2.0,1.0,1.0,0.0,0.0,https://optimistic.etherscan.io/address/0x02e4227ed20379db2999511609b8e2b28f73f0e0
c31e36bc-69ad-40e8-a3b9-29f5c1d6d86a,AI,0xf1a871aF236eC0Da070C3b09302270Ccf4E35794,App,Real World Assets,0xf1a871af236ec0da070c3b09302270ccf4e35794,Base,trace_contract,1880.0,2356.0,388.0,475.0,17.0,18.0,9.0,6.0,https://basescan.org/address/0xf1a871af236ec0da070c3b09302270ccf4e35794
795a96c7-4d7e-4c58-8958-aad52d6a8f12,Air3,0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,App,Art Marketplace,0xbeebbaee8f085f506ce0ea3591f8fbb9c24af356,Mint,pending_mint,3156.0,3156.0,2168.0,2168.0,328.0,328.0,27.0,13.0,https://explorer.mintchain.io/address/0xbeebbaee8f085f506ce0ea3591f8fbb9c24af356
62729a7e-c90a-4494-8391-3646724a2fce,AlfaFrens,0x908f23Be36C2447db79Df2aE3A8A21c079217546,App,Community & Curation,0x30e0b740acfb45b6edb9eed40094134f24d8f159,Base,factory_contract,1191.0,23174.0,795.0,15395.0,1.0,4.0,9.0,86.0,https://basescan.org/address/0x30e0b740acfb45b6edb9eed40094134f24d8f159
657d3052-63b9-499a-8898-ee74a2d4c0e7,Amazing Hunt,0x9D63038e7f74bc089eb38e61Be8Da937918900D6,App,Art NFTs,0x0db19369d6d62237d065677cf05c1b0a1236bb0a,Optimism,dapp_contract,1179.0,1179.0,3.0,3.0,1.0,1.0,0.0,0.0,https://optimistic.etherscan.io/address/0x0db19369d6d62237d065677cf05c1b0a1236bb0a
3d669a90-f377-4e3b-91f0-8d0818d5f1f3,Another World,0x6cfbF06E8b6612B39333eA7c230208D1d178278d,App,Gaming,0x56edafc97279c53a74c1c105abeebc79e0936c73,Optimism,dapp_contract,57.0,142.0,3.0,5.0,2.0,2.0,0.0,0.0,https://optimistic.etherscan.io/address/0x56edafc97279c53a74c1c105abeebc79e0936c73
564c6ffc-f42b-41d2-aee7-bf808411c32f,Aragon ,0x0000000000000000000000000000000000000000,Other Application,Other Category,0x1b6632d1357d26055d6452e3b3bebd1c1d982e86,Base,factory_contract,847.0,1482.0,414.0,709.0,10.0,25.0,6.0,5.0,https://basescan.org/address/0x1b6632d1357d26055d6452e3b3bebd1c1d982e86
6abc3227-4e7f-4786-863c-abdd23f488a2,ArbiLearn,0x01133c3834a96aDd681a9C9Ad3b2f955968ed60F,App,Community & Curation,0x85ba183fb4c16d435b076dde459dafc8eff864d8,Optimism,trace_contract,18.0,18.0,10.0,10.0,1.0,1.0,0.0,0.0,https://optimistic.etherscan.io/address/0x85ba183fb4c16d435b076dde459dafc8eff864d8
72d91704-0a5f-4ec7-9e6b-92d5d72df0bc,ArbiLearn,0x01133c3834a96aDd681a9C9Ad3b2f955968ed60F,App,Community & Curation,0x85ba183fb4c16d435b076dde459dafc8eff864d8,Optimism,trace_contract,18.0,18.0,10.0,10.0,1.0,1.0,0.0,0.0,https://optimistic.etherscan.io/address/0x85ba183fb4c16d435b076dde459dafc8eff864d8
bfaa1c75-7b03-4b76-bdbb-b8a2916bfab9,Arcadia Finance,0x0000000000000000000000000000000000000000,App,Lending,0xda14fdd72345c4d2511357214c5b89a919768e59,Base,dapp_contract,1030.0,1504.0,407.0,701.0,93.0,181.0,5.0,5.0,https://basescan.org/address/0xda14fdd72345c4d2511357214c5b89a919768e59
