id,category,chain,address,active_addresses_180D,active_addresses_90D,daily_active_addresses_180D,daily_active_addresses_90D,farcaster_users_180D,farcaster_users_90D,transactions_180D,transactions_90D
0x017c7ee83075bb3eabb8964bf4d0debb8ef0cdf7ee49531f56ec0941212da1db,Lending,BASE,0x47cefa4f2170e6cba87452e9053540e05182a556,275.0,275.0,10.0,10.0,20.0,20.0,404.0,404.0
0x01e15817ba1feed50c67699f8ff4efc5959f6fb0b0dec64ebbfb0075bac5cfbc,Other Category,BASE,0x2f6cddd6d22b0fa917cc81166d26b4b9c9834f9a,132.0,132.0,5.0,5.0,18.0,18.0,6001.0,6001.0
0x035cfee33785ec92fc69013923f3cfe989568ef2afefb3c242e764ed3eca16d5,DEX,OP MAINNET,0x4c4af8dbc524681930a27b2f1af5bcc8062e6fb7,9496.0,3510.0,59.0,41.0,635.0,216.0,13942.0,5007.0
0x04f2233951090d71b8808b4ec44c5420cbb51ab4de3f6cd174b07fe65a8cfa57,Betting & Prediction Markets,BASE,0x80f6bcedd3d4fa1035285affa30e38f464db3895,2500.0,1045.0,32.0,17.0,262.0,99.0,5241.0,1966.0
0x075525294b6f9562c8bf26b677ed96e1ea8099190fa46b5b028518a9c1955c49,Lending,OP MAINNET,0x8ed1609d796345661d36291b411992e85de7b224,3.0,3.0,1.0,1.0,,,3.0,3.0
0x08b77f02cf073f606c7d8f06b4ea0b7f6623bf33ff9fb3480a7c32946caea942,Lending,MODE,0xfb3323e24743caf4add0fdccfb268565c0685556,25386.0,626.0,396.0,27.0,6469.0,247.0,78233.0,857.0
0x0ad0d151604b5cb1c975cb5864deb7fdbebb493e1696bca86d1228424f16a5d8,Community & Curation,BASE,0x326f14942f8899406e3224bd63e9f250d275a52e,11029.0,5327.0,63.0,58.0,5328.0,2343.0,12149.0,5559.0
0x0c65af94143bb893fc7fd972e257c6ccdae61bf45f3614764fe53629fa95b3e0,Meme Community,BASE,0x6921b130d297cc43754afba22e5eac0fbf8db75b,23613.0,6220.0,199.0,100.0,2686.0,558.0,58224.0,15305.0
0x10ebaaad99b899b7f98aa62d6095d129b8a9fe9901f0bafae2f9e294ba710010,DEX,BASE,0xd07379a755a8f11b57610154861d694b2a0f615a,22865.0,6478.0,200.0,96.0,1070.0,248.0,48449.0,10971.0
0x127f470810a1fc8bb8c585ade79d291c5e64ddfb0cc3bf5769eeb1585fc492da,Art NFTs,BASE,0x28e43bb3ee202e1da587c88b0a8398309e8d4c2d,15222.0,36.0,178.0,1.0,2398.0,16.0,16008.0,40.0
0x13737b98846c8b709b9aea871f6daaf644bb067ccb2c3a0e7548b6c2a2a4018a,Airdrop,BASE,0x09350f89e2d7b6e96ba730783c2d76137b045fef,493.0,239.0,8.0,9.0,42.0,12.0,80074.0,45937.0
0x17f675da93901be4983b154ac47d1a840c681fe752fb136e0b33a06a0198ff77,Other Category,OP MAINNET,0xf35fe10ffd0a9672d0095c435fd8767a7fe29b55,11.0,7.0,1.0,1.0,,,52.0,37.0
0x198e603166ca0501a30a8a0ac78523df82ec4eb1c1242fb417ecdd3308cd390b,Gaming,BASE,0xc81c65fcd3727fd56d410756f298d587ae226b82,5.0,5.0,1.0,1.0,3.0,3.0,8.0,8.0
0x1a4bae4b880fbf854e360f30425ea43af593e70635ff5b1f3c6bdc5241ebcc40,DEX,BASE,0x2b0a43dccbd7d42c18f6a83f86d1a19fa58d541a,35.0,12.0,1.0,1.0,6.0,2.0,51.0,21.0
0x1f13d386102841ed0fdbf59abdef02b9cf585af9fe1f78c86f0e828db2dfaad8,DEX,OP MAINNET,0x3988513793bce39f0167064a9f7fc3617faf35ab,5345.0,4593.0,150.0,277.0,279.0,148.0,51268.0,48375.0
0x212e47f63626cbf4cb4a8a86f33238c2fbbbaa733063d0a1a6921a83c4bd2dfe,Bridges,BASE,0x26637c9fdbd5ecdd76a9e21db7ea533e1b0713b6,65344.0,47864.0,4843.0,6782.0,12650.0,9698.0,846559.0,670551.0
0x22d4be26920cf736ae46adb01631489f17c9bcd8d5c8c4623fb0137055e98f45,Other Category,BASE,0xc5a076cad94176c2996b32d8466be1ce757faa27,4033.0,657.0,39.0,15.0,2349.0,370.0,13682.0,3304.0
