uuid,category,active_addresses_180D,active_addresses_90D,daily_active_addresses_180D,daily_active_addresses_90D,farcaster_users_180D,farcaster_users_90D,transactions_180D,transactions_90D
00df8f90-6f06-4b92-8ed9-13f3fbe8cbcf,Gaming,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0
043209c7-5fee-4c5b-87ba-0ceb08218844,Art NFTs,209.0,85.0,2.0,1.0,74.0,34.0,248.0,96.0
07cbabee-44a5-4fb9-96d3-f03d52f3dd37,Lending,7.0,7.0,1.0,1.0,,,20.0,20.0
08868559-3e11-4d15-9ec4-6a589a2d91f2,Art NFTs,294.0,192.0,54.0,48.0,163.0,114.0,6367.0,4469.0
0c01f116-4cbb-4123-90a7-b8067be7907a,Art Marketplace,251.0,17.0,4.0,1.0,37.0,7.0,1083.0,519.0
0c682377-2b21-414c-8ae2-51a2aec4fc10,Art NFTs,85.0,85.0,9.0,9.0,6.0,6.0,102.0,102.0
0d9b31cc-c2ef-41c3-8ba0-dea4a3a37de1,Gaming,292.0,290.0,5.0,5.0,19.0,19.0,152363.0,152353.0
0faedca5-9e1f-48c5-817e-c21defb36379,Lending,29130.0,3127.0,501.0,169.0,10237.0,1252.0,134610.0,10930.0
11c708c3-7202-47ef-83eb-93128333efea,DEX,6582.0,6507.0,57.0,91.0,1434.0,1432.0,9402.0,9149.0
127b9325-9491-42cb-af85-94a69055b52a,Art NFTs,620.0,412.0,49.0,43.0,187.0,142.0,11553.0,5574.0
12bacdd4-2eb0-485f-8c25-9380622e3234,Community & Curation,11029.0,5327.0,63.0,58.0,5328.0,2343.0,12149.0,5559.0
139a5dc4-7c74-4be7-a7f8-a9fe009a1ab2,Art NFTs,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
17d8f473-a44a-40c9-ad70-41d479db86e3,Gaming,29.0,17.0,3.0,3.0,11.0,9.0,172.0,82.0
1c0ae0df-9238-497d-8fa0-ad05f381cf34,Frames,4.0,4.0,1.0,1.0,3.0,3.0,23.0,23.0
1c8d19aa-789f-4a52-a624-ee7bda2c885a,Betting & Prediction Markets,384.0,384.0,57.0,57.0,59.0,59.0,73842.0,73842.0
1dd6cb56-dfe3-4082-a6d0-1531d1f902e3,Other Media NFTs,1.0,1.0,1.0,1.0,,,16.0,16.0
1e90433c-90da-444b-a9c0-7f2a50caf423,Other Media NFTs,22132.0,22132.0,961.0,961.0,2299.0,2299.0,24515.0,24515.0
1e96baa9-afe3-429c-a3e0-ce88fe2a3d1c,Community & Curation,452.0,316.0,10.0,11.0,123.0,80.0,38016.0,34026.0
1f2e7de2-fd5e-4df9-ba8c-f37e1bec64fd,DEX,427.0,3.0,18.0,1.0,2.0,,437.0,4.0
211197d4-6273-40cd-aae1-3638143438cb,Payments,136.0,131.0,2.0,2.0,40.0,40.0,1868.0,826.0
223128bf-802d-40f8-9c33-25f88a114c7e,DEX,85773.0,85773.0,2848.0,2848.0,114.0,114.0,622027.0,622027.0
22a0a8ea-0acf-4669-9d8d-d0cfa10e1104,Meme Community,97.0,68.0,2.0,2.0,1.0,1.0,509.0,453.0
2501e7cb-57f8-4e70-ac38-bcf8efdeae08,Gaming,1274.0,1258.0,51.0,53.0,99.0,96.0,66079.0,60262.0
278bd0d9-4887-44bb-bbdd-37f88a5f0e6b,DEX,45677.0,45660.0,488.0,499.0,5229.0,5226.0,46224.0,46207.0
2963e6a6-0d53-47b8-b239-f40182f7746c,Community & Curation,32499.0,16445.0,201.0,200.0,18483.0,7985.0,46298.0,24321.0
29f32cfe-7faa-4d47-829c-440137a7899c,DEX,186.0,186.0,24.0,24.0,149.0,149.0,2730.0,2730.0
2fa49154-5fd8-46ea-b594-84491efdc590,DEX,1.0,1.0,1.0,1.0,,,1.0,1.0
320999ba-11c1-420f-bdfa-d86f53e2e0a9,Lending,52.0,37.0,2.0,1.0,6.0,4.0,249.0,101.0
3922c00b-976f-43dd-8e1a-616b686efee1,Gaming,3070.0,3070.0,207.0,207.0,10.0,10.0,161652.0,161652.0
3d669a90-f377-4e3b-91f0-8d0818d5f1f3,Gaming,5.0,3.0,1.0,1.0,1.0,1.0,123.0,57.0
3df2cd3b-06f9-42d3-8a5f-a8e5b377a127,DEX,49.0,21.0,1.0,1.0,4.0,1.0,73.0,22.0
