package_name,dependency_github_url,package_source,min_version,max_version
act-locally,https://github.com/micahscopes/act-locally,RUST,0.1.0,0.1.1
addchain,https://github.com/str4d/addchain,RUST,0.0.0,0.2.0
addr2line,https://github.com/gimli-rs/addr2line,RUST,0.1.0,0.24.2
adler2,https://github.com/oyvindln/adler2,RUST,2.0.0,2.0.0
adler32,https://github.com/remram44/adler32-rs,RUST,0.1.0,1.2.0
aead,https://github.com/rustcrypto/traits,RUST,0.0.0,0.6.0-rc.0
aes,https://github.com/rustcrypto/block-ciphers,RUST,0.0.0,0.9.0-pre.3
aes-gcm,https://github.com/rustcrypto/aeads,RUST,0.0.0,0.11.0-pre.2
ahash,https://github.com/tkaitchuck/ahash,RUST,0.1.0,0.8.12
aho-corasick,https://github.com/burntsushi/aho-corasick,RUST,0.1.0,1.1.3
alloc-no-stdlib,https://github.com/dropbox/rust-alloc-no-stdlib,RUST,1.0.0,2.0.4
alloc-stdlib,https://github.com/dropbox/rust-alloc-no-stdlib,RUST,0.1.0,0.2.2
allocator-api2,https://github.com/zakarumych/allocator-api2,RUST,0.0.0,0.3.0
alloy,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-chains,https://github.com/alloy-rs/chains,RUST,0.1.0,0.2.0
alloy-consensus,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-consensus-any,https://github.com/alloy-rs/alloy,RUST,0.7.0,0.15.11
alloy-contract,https://github.com/alloy-rs/alloy,RUST,0.1.1,0.15.11
alloy-core,https://github.com/alloy-rs/core,RUST,0.0.1,1.1.0
alloy-dyn-abi,https://github.com/alloy-rs/core,RUST,0.1.0,1.1.0
alloy-eip2124,https://github.com/alloy-rs/eips,RUST,0.1.0,0.2.0
alloy-eip2930,https://github.com/alloy-rs/eips,RUST,0.1.0,0.2.1
alloy-eip7702,https://github.com/alloy-rs/eips,RUST,0.1.0,0.6.0
alloy-eips,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-evm,https://github.com/alloy-rs/alloy-evm,RUST,0.1.0-alpha.1,0.7.2
alloy-genesis,https://github.com/alloy-rs/alloy,RUST,0.1.1,0.15.11
alloy-hardforks,https://github.com/alloy-rs/hardforks,RUST,0.1.0,0.2.0
alloy-json-abi,https://github.com/alloy-rs/core,RUST,0.1.0,1.1.0
alloy-json-rpc,https://github.com/alloy-rs/alloy,RUST,0.1.1,0.15.11
alloy-network,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-network-primitives,https://github.com/alloy-rs/alloy,RUST,0.2.1,0.15.11
alloy-op-evm,https://github.com/alloy-rs/alloy-evm,RUST,0.1.0-alpha.1,0.7.2
alloy-op-hardforks,https://github.com/alloy-rs/hardforks,RUST,0.1.0,0.2.0
alloy-primitives,https://github.com/alloy-rs/core,RUST,0.1.0,1.1.0
alloy-provider,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-pubsub,https://github.com/alloy-rs/alloy,RUST,0.1.1,0.15.11
alloy-rlp,https://github.com/alloy-rs/rlp,RUST,0.1.0,0.3.11
alloy-rlp-derive,https://github.com/alloy-rs/rlp,RUST,0.1.0,0.3.11
alloy-rpc-client,https://github.com/alloy-rs/alloy,RUST,0.1.1,0.15.11
alloy-rpc-types,https://github.com/alloy-rs/alloy,RUST,0.1.1,0.15.11
alloy-rpc-types-admin,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-rpc-types-anvil,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-rpc-types-any,https://github.com/alloy-rs/alloy,RUST,0.7.0,0.15.11
alloy-rpc-types-beacon,https://github.com/alloy-rs/alloy,RUST,0.1.1,0.15.11
alloy-rpc-types-debug,https://github.com/alloy-rs/alloy,RUST,0.3.0,0.15.11
alloy-rpc-types-engine,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-rpc-types-eth,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-rpc-types-mev,https://github.com/alloy-rs/alloy,RUST,0.1.3,0.15.11
alloy-rpc-types-trace,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-rpc-types-txpool,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-serde,https://github.com/alloy-rs/alloy,RUST,0.0.0-reserved,0.15.11
alloy-signer,https://github.com/alloy-rs/alloy,RUST,0.1.1,0.15.11
alloy-signer-aws,https://github.com/alloy-rs/alloy,RUST,0.1.1,0.15.11
