package_url,name,version,type,namespace,license,dependency_type
pkg:npm/lodash,lodash,4.17.21,npm,,MIT,direct
pkg:npm/react,react,18.2.0,npm,,MIT,direct
pkg:npm/react-dom,react-dom,18.2.0,npm,,MIT,direct
pkg:npm/axios,axios,1.3.4,npm,,MIT,direct
pkg:npm/uuid,uuid,9.0.0,npm,,MIT,direct
pkg:npm/moment,moment,2.29.4,npm,,MIT,transitive
pkg:npm/prop-types,prop-types,15.8.1,npm,,MIT,transitive
pkg:maven/org.springframework/spring-core,spring-core,5.3.20,maven,org.springframework,Apache-2.0,direct
pkg:maven/org.springframework/spring-web,spring-web,5.3.20,maven,org.springframework,Apache-2.0,direct
pkg:maven/org.springframework/spring-context,spring-context,5.3.20,maven,org.springframework,Apache-2.0,direct
