project_id,project_source,project_namespace,project_name,collection_id,collection_source,collection_namespace,collection_name,project_id_1,project_source_1,project_namespace_1,project_name_1,display_name,event_source,days_since_first_transaction,active_contract_count_90_days,transaction_count,transaction_count_6_months,gas_fees_sum,gas_fees_sum_6_months,address_count,address_count_90_days,new_address_count_90_days,returning_address_count_90_days,high_activity_address_count_90_days,medium_activity_address_count_90_days,low_activity_address_count_90_days,multi_project_address_count_90_days
tGdTsu5yLACalu4KFRbu20JlVBicgYOI9Blc80RPi6Y=,OSS_DIRECTORY,oso,jokerace-jk-labs-inc,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,tGdTsu5yLACalu4KFRbu20JlVBicgYOI9Blc80RPi6Y=,OSS_DIRECTORY,oso,jokerace-jk-labs-inc,Jokedao,BASE,190.0,25.0,3284.0,3232.0,0.013641787344268446,0.01279159685507009,2123.0,2017.0,2004.0,13.0,0.0,4.0,2011.0,1452.0
Ogceg0gKDarmeRM9x-5lZf5TBRGGV5X98uW7Pobf-Yc=,OSS_DIRECTORY,oso,lighthouse-web3,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,Ogceg0gKDarmeRM9x-5lZf5TBRGGV5X98uW7Pobf-Yc=,OSS_DIRECTORY,oso,lighthouse-web3,Lighthouse Storage,OPTIMISM,963.0,0.0,20.0,0.0,4.6119124261484996e-05,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuSE0dqAq5LOxitK-7C8rKJ4_nmZMcx2JFiVs_X4pKM=,OSS_DIRECTORY,oso,geo-web,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,fuSE0dqAq5LOxitK-7C8rKJ4_nmZMcx2JFiVs_X4pKM=,OSS_DIRECTORY,oso,geo-web,Geo Web,OPTIMISM,682.0,0.0,474.0,5.0,0.01386877915754418,0.00078562657456404694,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bbqHJowLCWi6HZx87F5iwMcH0cFfLXDoP9SYTZygqQ0=,OSS_DIRECTORY,oso,dspytdao,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,bbqHJowLCWi6HZx87F5iwMcH0cFfLXDoP9SYTZygqQ0=,OSS_DIRECTORY,oso,dspytdao,Dspyt DAO,OPTIMISM,368.0,0.0,246.0,88.0,0.0033766355233576378,0.0016835888347927119,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,OSS_DIRECTORY,oso,metagov,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,OSS_DIRECTORY,oso,metagov,The Metagovernance Project,OPTIMISM,417.0,0.0,3.0,1.0,1.3839295211316998e-05,1.3837064477314e-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZSBn3MI1rXWgNAw-6E5cTM2UO73Y1i9kWUi5WNfszc=,OSS_DIRECTORY,oso,rodeofi,7K0msv6H9FjIQ9KuZoqqLo__pyg1g_EJfnMi_-yx2lY=,OSS_DIRECTORY,oso,arb-stip-1,CZSBn3MI1rXWgNAw-6E5cTM2UO73Y1i9kWUi5WNfszc=,OSS_DIRECTORY,oso,rodeofi,rodeofi,ARBITRUM_ONE,707.0,6.0,31295.0,1989.0,15.268249547844521,0.27567242216888566,3521.0,194.0,26.0,168.0,0.0,10.0,184.0,146.0
CZSBn3MI1rXWgNAw-6E5cTM2UO73Y1i9kWUi5WNfszc=,OSS_DIRECTORY,oso,rodeofi,7K0msv6H9FjIQ9KuZoqqLo__pyg1g_EJfnMi_-yx2lY=,OSS_DIRECTORY,oso,arb-stip-1,CZSBn3MI1rXWgNAw-6E5cTM2UO73Y1i9kWUi5WNfszc=,OSS_DIRECTORY,oso,rodeofi,rodeofi,BASE,2.0,5.0,12.0,12.0,8.546028774296899e-05,8.546028774296899e-05,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
grHGNUqJJbiPyPfSDS58UGeGbT3Equ1LxCHmI2-vl_c=,OSS_DIRECTORY,oso,dopex-io,7K0msv6H9FjIQ9KuZoqqLo__pyg1g_EJfnMi_-yx2lY=,OSS_DIRECTORY,oso,arb-stip-1,grHGNUqJJbiPyPfSDS58UGeGbT3Equ1LxCHmI2-vl_c=,OSS_DIRECTORY,oso,dopex-io,Dopex,ARBITRUM_ONE,1113.0,16.0,553397.0,14343.0,182.09616129387459,0.59318322691057257,150210.0,1338.0,731.0,607.0,3.0,249.0,1080.0,1124.0
XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,7K0msv6H9FjIQ9KuZoqqLo__pyg1g_EJfnMi_-yx2lY=,OSS_DIRECTORY,oso,arb-stip-1,XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,Gamma Strategies,BASE,434.0,70.0,28037.0,17475.0,6.05005547173795,0.374873243511337,940.0,224.0,85.0,139.0,8.0,23.0,190.0,206.0
XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,7K0msv6H9FjIQ9KuZoqqLo__pyg1g_EJfnMi_-yx2lY=,OSS_DIRECTORY,oso,arb-stip-1,XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,Gamma Strategies,OPTIMISM,912.0,37.0,86968.0,26856.0,2.4324108070207524,0.84298611806826929,3389.0,301.0,148.0,153.0,7.0,91.0,203.0,250.0
