dt,chain,receipt_status,tx_count,l2_fees,l1_fees
2021-11-12,OPTIMISM,0,1527,0.00016310219499999278,1.5933496898656991
2021-11-12,OPTIMISM,1,28458,0.00538466138139216,30.013644887739634
2021-11-13,OPTIMISM,0,1474,0.00013716384982655962,1.4035399212447031
2021-11-13,OPTIMISM,1,21920,0.0047641049250597674,22.850733824755704
2021-11-14,OPTIMISM,0,1603,0.00021391583120471808,1.2764250679437532
2021-11-14,OPTIMISM,1,27075,0.0057221120114223758,22.762710849578308
2021-11-15,OPTIMISM,0,1723,0.00019743207739999276,1.9659896738945606
2021-11-15,OPTIMISM,1,22565,0.0049287530156379858,26.139769203511104
2021-11-16,OPTIMISM,0,2018,0.0002858594484937305,2.0817933721810311
2021-11-16,OPTIMISM,1,40115,0.0079037768433775513,42.802658253296819
2021-11-17,OPTIMISM,0,1975,0.00036439028174190918,1.9129004528348303
2021-11-17,OPTIMISM,1,44041,0.0098604116068972264,45.106051381920125
2021-11-18,OPTIMISM,0,1751,0.00022308004663525098,1.8780494525515534
2021-11-18,OPTIMISM,1,42111,0.0082613429041295868,46.067970910236163
2021-11-19,OPTIMISM,0,1689,0.00023500241285071032,1.6365336241142368
2021-11-19,OPTIMISM,1,32726,0.007146941878343414,31.341133240333583
2021-11-20,OPTIMISM,0,1558,0.00019480240049581785,1.159128584273682
2021-11-20,OPTIMISM,1,27781,0.00620766831657924,23.236369326065194
2021-11-21,OPTIMISM,0,1580,0.00023734400559999295,1.2204120347677712
2021-11-21,OPTIMISM,1,29722,0.0065591903853460427,24.874498894263716
2021-11-22,OPTIMISM,0,1562,0.00021612305847703756,1.6466558438569845
2021-11-22,OPTIMISM,1,34150,0.0068355696917817956,38.471239236164514
2021-11-23,OPTIMISM,0,1509,0.00014687730538892469,1.4349633328050571
2021-11-23,OPTIMISM,1,30661,0.00607439428826627,30.210448080480191
2021-11-24,OPTIMISM,0,1654,0.000218403773412688,1.5429100814505046
2021-11-24,OPTIMISM,1,29898,0.0066739016310683116,30.229141232916039
2021-11-25,OPTIMISM,0,1832,0.00097418066100003948,1.679534938955537
2021-11-25,OPTIMISM,1,26131,0.0084358352321136764,25.167593887816281
2021-11-26,OPTIMISM,0,2243,0.005825799363852145,2.4428745911541165
2021-11-26,OPTIMISM,1,43253,0.016259171042821964,39.652251443329817
2021-11-27,OPTIMISM,0,1544,0.00016541886542735339,1.2271160820372378
2021-11-27,OPTIMISM,1,28153,0.0083599643333061632,24.327575036224726
2021-11-28,OPTIMISM,0,1736,0.0011977339363633101,1.5246944426784992
2021-11-28,OPTIMISM,1,35474,0.012591890150002335,31.4811654773709
2021-11-29,OPTIMISM,0,1537,0.000169398300999993,1.3590058124989217
2021-11-29,OPTIMISM,1,24586,0.0072376733138973942,23.843607513734565
2021-11-30,OPTIMISM,0,1591,0.0005016825252490291,1.4967864069549734
2021-11-30,OPTIMISM,1,35857,0.010367845364408917,36.988121479930669
2021-12-01,OPTIMISM,0,1602,0.00020979797699999329,1.579237130974362
2021-12-01,OPTIMISM,1,28387,0.0097148865531504983,30.012829672603683
2021-12-02,OPTIMISM,0,1562,0.00016218600349999257,1.2131805693431674
2021-12-02,OPTIMISM,1,28950,0.00911115532415726,25.103626757894695
2021-12-03,OPTIMISM,0,1763,0.00036264655585741966,1.4228507086249607
2021-12-03,OPTIMISM,1,32866,0.011187091670739531,28.697078072658822
2021-12-04,OPTIMISM,0,2900,0.018057317093223935,6.2021729042242386
2021-12-04,OPTIMISM,1,49311,0.01997145920933464,66.52204647605268
2021-12-05,OPTIMISM,0,1968,0.00019815198574173372,1.4767445192115087
2021-12-05,OPTIMISM,1,42630,0.010866599747195987,33.965040206273379
2021-12-06,OPTIMISM,0,2097,0.00023294417878075505,1.5546937778937804
2021-12-06,OPTIMISM,1,43893,0.012372239825579071,34.876002731927215
2021-12-07,OPTIMISM,0,1546,0.00015084581056075478,0.99324260179411861
2021-12-07,OPTIMISM,1,31424,0.0084645986236855132,21.840855793587256
