sample_date,display_name,amount
2023-01-12,Aave,141
2023-06-04,Foundry,322
2023-06-04,Offchain Labs,8
2023-06-04,Docker,9
2023-06-04,Hugging Face,119
2023-06-04,Microsoft Azure,224
2023-06-04,Kubernetes,144
2023-06-04,CockroachDB,16
2023-06-04,pandas,33
2023-06-04,Prometheus,8
2023-09-12,Pydantic,41
2023-09-12,Python,211
2023-09-12,The Rust Programming Language,1113
2023-09-12,The Unicode Consortium,77
2023-09-12,Alchemy,5
2023-04-09,Hugging Face,116
2023-04-09,Offchain Labs,2
2023-04-09,Facebook Open Source,88
2023-04-09,NumPy,22
2023-04-09,DefiLlama,76
2023-04-09,Docker,30
2023-04-09,CockroachDB,15
2023-04-09,Kubernetes,123
2023-04-09,Aave,38
2023-04-09,Prometheus,13
2023-04-09,Homebrew,357
2023-04-09,Aave,38
2023-04-09,Pydantic,24
2023-04-09,Internet Archive,19
2023-12-21,CockroachDB,187
2023-12-21,Facebook Open Source,313
2023-12-21,Offchain Labs,63
2023-12-21,Internet Archive,74
2023-12-21,Foundry,1671
2023-07-18,Kubernetes,985
2023-07-18,Foundry,30
2023-07-18,Prometheus,80
2023-07-18,The Unicode Consortium,41
2023-07-18,CockroachDB,333
2023-07-18,pandas,134
2023-07-18,Microsoft Azure,1711
2023-07-18,Hugging Face,483
2023-07-18,The Rust Programming Language,1264
2023-07-18,W3C,286
2023-07-18,Chainlink,154
2023-07-18,Chainlink,77
2023-12-23,NumPy,37
2023-12-23,Homebrew,294
2023-12-23,Hugging Face,103
2023-12-23,Pydantic,13
2023-12-23,Offchain Labs,33
2023-12-23,Foundry,599
2023-12-23,DefiLlama,65
2023-12-23,CockroachDB,6
2023-12-23,Aave,28
2023-05-16,DefiLlama,137
2023-05-16,Foundry,1389
2023-05-16,Homebrew,485
2023-05-16,Aave,61
2023-05-16,Pydantic,84
2023-05-16,CockroachDB,314
2023-05-16,Docker,109
2023-05-16,Vercel,129
2023-05-16,Kubernetes,787
2023-05-16,Aave,61
2023-05-16,Chainlink,280
2023-02-22,Foundry,1662
2023-02-22,NumPy,57
2023-02-22,Chainlink,83
2023-02-22,W3C,317
2023-02-22,Chainlink,209
2023-02-22,Aave,51
2023-02-22,Microsoft Azure,1892
2023-02-22,pandas,99
2023-02-22,Chainlink,209
2023-02-22,Node.js,191
2023-02-22,Vercel,199
2023-02-22,The Unicode Consortium,96
2023-11-26,W3C,73
2023-11-26,Aave,19
2023-11-26,Foundry,633
2023-11-26,The Unicode Consortium,17
2023-11-26,Alchemy,36
2023-03-15,Homebrew,454
2023-03-15,DefiLlama,132
2023-01-30,NumPy,77
2023-01-30,The Rust Programming Language,1245
2023-01-30,pandas,104
2023-01-30,Foundry,1467
2023-01-30,Chainlink,4
2023-01-30,Internet Archive,75
2023-01-30,W3C,236
2023-01-30,Aave,32
2023-01-30,Aave,38
2023-01-30,The Unicode Consortium,78
2023-01-30,Prometheus,20
2023-01-30,Vercel,94
2023-01-30,Chainlink,47
2023-01-30,Kubernetes,847
2023-01-30,Python,184
2023-01-30,Microsoft Azure,1478
2023-01-30,Foundry,44
2023-01-30,Foundry,1467
2023-02-15,Aave,86
2023-02-15,Python,192
2023-02-15,Foundry,18
2023-02-15,DefiLlama,113
2023-02-15,Hugging Face,404
2023-02-15,Microsoft Azure,1964
2023-02-15,Aave,74
2023-02-15,Chainlink,160
2023-02-15,The Unicode Consortium,96
2023-02-15,Facebook Open Source,455
2023-02-15,Node.js,99
2023-02-15,pandas,134
2023-02-15,Offchain Labs,33
2023-02-15,The Rust Programming Language,1486
2023-04-21,Facebook Open Source,541
2023-04-21,The Rust Programming Language,1238
2023-04-21,Hugging Face,367
2023-04-21,Pydantic,15
2023-04-21,Homebrew,512
2023-07-30,Pydantic,25
2023-07-30,Aave,22
2023-07-30,Prometheus,10
2023-07-30,The Rust Programming Language,1057
2023-07-30,Chainlink,122
2023-07-30,Foundry,437
2023-07-30,Docker,25
2023-07-30,Hugging Face,109
2023-07-30,Offchain Labs,6
2023-07-30,DefiLlama,79
2023-07-30,Aave,25
2023-05-28,The Unicode Consortium,9
2023-05-28,Hugging Face,126
2023-05-28,Offchain Labs,5
2023-05-28,Aave,24
2023-05-28,The Rust Programming Language,891
2023-05-28,Node.js,95
2023-05-28,Facebook Open Source,96
2023-05-28,pandas,40
2023-05-28,Homebrew,269
2023-05-28,NumPy,32
2023-05-28,Aave,24
2023-05-28,Foundry,22
2023-05-28,DefiLlama,37
2023-05-28,Prometheus,47
2023-05-28,Pydantic,46
2023-05-28,Foundry,273
2023-05-28,EigenLayer,4
2023-05-28,Internet Archive,14
2023-05-28,Kubernetes,98
2023-05-28,Python,109
2023-09-05,Internet Archive,47
2023-09-05,The Unicode Consortium,70
2023-09-05,Microsoft Azure,1380
2023-09-05,Hugging Face,411
2023-09-05,pandas,72
2023-09-05,Aave,46
2023-09-05,CockroachDB,226
2023-09-05,DefiLlama,154
2023-09-05,Docker,121
2023-09-05,Chainlink,201
2023-09-05,Facebook Open Source,457
2023-09-05,Offchain Labs,56
2023-09-05,Node.js,153
2023-05-07,Foundry,348
2023-05-07,Aave,47
2023-05-01,The Rust Programming Language,1408
2023-05-01,Hugging Face,237
2023-05-01,Aave,46
2023-05-01,The Unicode Consortium,27
2023-05-01,Microsoft Azure,1124
2023-05-01,Chainlink,124
2023-05-01,Node.js,194
2023-08-30,DefiLlama,116
2023-08-30,Foundry,1837
2023-08-30,NumPy,54
2023-08-30,Alchemy,6
2023-08-30,Foundry,106
2023-11-19,Internet Archive,4
2023-11-19,Docker,35
2023-11-19,CockroachDB,20
2023-11-19,Vercel,55
2023-11-19,Chainlink,6
2023-11-19,Microsoft Azure,253
2023-11-19,pandas,34
2023-11-19,Facebook Open Source,63
2023-11-19,The Unicode Consortium,8
2023-11-19,Aave,26
2023-11-19,Node.js,142
2023-11-19,Chainlink,16
2023-11-19,The Rust Programming Language,1090
2023-04-12,Aave,62
2023-04-12,Vercel,134
2023-04-12,W3C,313
2023-04-12,Aave,55
2023-04-12,Chainlink,75
2023-04-12,Microsoft Azure,1547
2023-04-12,The Unicode Consortium,60
2023-04-12,CockroachDB,184
2023-04-12,Docker,125
2023-04-12,Node.js,200
2023-04-12,Hugging Face,389
2023-04-12,Facebook Open Source,487
2023-04-12,Offchain Labs,60
2023-04-12,The Rust Programming Language,1547
2023-04-12,pandas,105
2023-10-06,Prometheus,47
2023-10-06,The Rust Programming Language,1701
2023-10-06,Homebrew,499
2023-10-06,CockroachDB,217
2023-10-06,pandas,67
2023-10-06,Aave,46
2023-10-06,DefiLlama,118
2023-07-21,The Unicode Consortium,50
2023-07-21,Microsoft Azure,1583
2023-07-21,Offchain Labs,26
2023-07-21,NumPy,44
2023-07-21,Vercel,179
2023-07-21,Aave,10
2023-07-21,Foundry,55
2023-07-21,Chainlink,112
2023-07-21,pandas,52
2023-06-07,Homebrew,580
2023-06-07,pandas,60
2023-06-07,Chainlink,263
2023-06-07,NumPy,11
2023-06-07,W3C,323
2023-06-07,Foundry,1671
2023-06-07,Internet Archive,26
2023-06-07,Aave,53
2023-06-07,EigenLayer,27
2023-06-07,DefiLlama,116
2023-06-07,Aave,53
2023-06-07,Foundry,1671
2023-06-07,CockroachDB,234
2023-06-07,Docker,114
2023-06-28,Homebrew,349
2023-06-28,The Rust Programming Language,1357
2023-06-28,Python,145
2023-06-28,Node.js,164
2023-02-08,Foundry,33
2023-02-08,The Rust Programming Language,1450
2023-02-08,Python,218
2023-02-08,Prometheus,32
2023-02-27,Node.js,106
2023-02-27,Hugging Face,352
2023-02-27,The Rust Programming Language,1007
2023-02-27,Aave,47
2023-02-27,Aave,47
2023-02-27,CockroachDB,172
2023-02-27,Docker,114
2023-02-27,Internet Archive,18
2023-02-27,Foundry,1227
2023-02-27,Chainlink,132
2023-11-19,Homebrew,301
2023-10-06,Python,186
2023-10-06,Chainlink,156
2023-10-06,Chainlink,156
2023-10-06,EigenLayer,112
2023-10-06,Aave,46
2023-10-06,Microsoft Azure,1340
2023-10-06,Foundry,1835
2023-10-06,The Unicode Consortium,39
2023-10-06,Kubernetes,524
2023-10-06,Chainlink,62
2023-10-06,Alchemy,19
2023-10-06,W3C,287
2023-10-06,NumPy,43
2023-10-06,Vercel,156
2023-10-06,Foundry,95
2023-06-07,The Rust Programming Language,1033
2023-06-07,Facebook Open Source,408
2023-06-07,Pydantic,57
2023-06-07,The Unicode Consortium,64
2023-06-07,Hugging Face,419
2023-02-08,Pydantic,13
2023-02-08,Foundry,1212
2023-02-08,Chainlink,131
2023-02-08,pandas,115
2023-02-08,Vercel,143
2023-02-08,W3C,344
2023-02-08,NumPy,40
2023-02-08,Chainlink,49
2023-02-08,The Unicode Consortium,47
2023-02-08,Microsoft Azure,2082
2023-02-08,Chainlink,131
2023-02-08,Node.js,168
2023-02-08,Aave,46
2023-05-19,Node.js,154
2023-05-19,Prometheus,26
2023-09-17,Foundry,430
2023-09-17,Internet Archive,9
2023-09-17,Chainlink,12
2023-09-17,W3C,61
2023-09-17,Vercel,72
2023-09-17,Chainlink,25
2023-09-17,Chainlink,25
2023-09-17,NumPy,27
2023-09-17,Microsoft Azure,237
2023-09-17,The Unicode Consortium,3
2023-09-17,Aave,18
2023-08-27,Chainlink,9
2023-08-27,Python,131
2023-08-27,Homebrew,261
2023-08-27,NumPy,35
2023-08-27,Foundry,558
2023-08-27,Alchemy,2
2023-08-27,The Rust Programming Language,923
2023-08-27,Foundry,22
2023-08-27,Node.js,94
2023-08-27,Microsoft Azure,156
2023-08-27,The Unicode Consortium,29
2023-08-27,Aave,23
2023-08-21,Foundry,1653
2023-08-21,Internet Archive,31
2023-06-03,Microsoft Azure,281
2023-06-03,Offchain Labs,2
2023-06-03,Aave,5
2023-06-03,Kubernetes,168
2023-06-03,Facebook Open Source,138
2023-06-03,Hugging Face,116
2023-06-03,Prometheus,6
2023-06-03,The Unicode Consortium,29
2023-06-03,Python,55
2023-09-11,Docker,146
