Project ID,Project Name,Score,Full-time developer months (cumulative),New GitHub contributors (last 6 months),Fork count (most forked repo owned by the project),Star count (from developers in the OP community only),"NPM downloads (last 6 months, all packages)",L2 sequencer fees (OP ETH),Transactions (on OP Mainnet),High value users (on OP Mainnet)
0x22524ed382560f233db327f8a15688699606d15e0be81b104d6a71c78c44211c,0xDeFiTH,,,,,,,,,
0x9f35e67a3fab96d07539e342cfb9417ab7eee66ea589a6ba5ac27531d1e36c5b,0xKhmer,,,,,,,,,
0x96b420d4a9c0cacc124d46cc85e29dcccd8811e3119f01dd336954af17843bb7,0xs34n,,,,,,,,,
0x0f81c3b45bc842c5b8bba42ffe3080b4fafa4530a6b61ba2c8f26bb833f997e4,0xSalman,,,,,,,,,
0x54763940f1803ecdd2adf48c1446268cdc3aa02e11090189cf91a78615c89d23,1W3,,0.0,1.0,1.0,2.0,,6.217032499344e-06,20.0,
0x5697290de650311df3acdaabedea14aa95879c472d6f449091137d1a736339db,6551 Studio,,39.0,11.0,3.0,10.0,,,,
0x8af099c741d009e71850d3a9570e2672078ad7ca5b3ee391a7d4a0b75f845be4,abi-to-sol,,8.0,4.0,49.0,51.0,,,,
0xe40f4bceed7ff7b0cd1e3b4b13362b1494babab80dd37bf0c68ca00e1c707e55,Accessible Education for Web3 Public Goods Changemakers,,,,,,,,,
0xd730a803f5714c7f1b5e518edd57121d1b64c8c91cf611ae5f226cf9bb4b963f,Account Abstraction - ERC-4337,5.0,6.0,53.0,484.0,288.0,,21.48046868495817,437028.0,
0xc69423093777bdb9ea96d3047694d4de113cc4722d9832e09bb717e570ddb941,Across Protocol,2.5,92.0,6.0,23.0,40.0,,4.5647053107174935,651260.0,4970.0
0x5cc8dc85d40909999a55201f90c714b334cc502f013209497a271934e604b9d0,ACryptoS,,40.0,,8.0,18.0,,0.0004374259988635,127.0,
0xc9eea786d0f4a0dedcf3c4bbb8998a516997b8f2f39c5096e30f455beedab862,Admiano,,,,,,,,,
0x8a98ca3820628543b412f97cfb5e9d0b75987432daf1d6199a658234727c8564,Aerodrome Finance,,0.0,4.0,2.0,4.0,,,,
0x5c465f2cece28e1ba91ef5967549fec63f8b17212fba05e5e0117b442af554b8,Aestus Relay,,4.0,,,1.0,,,,
0x9d8e8db50a93b8fc1c68f5a99a240d4a5665fa0fe67b45c093bf70542e97fea7,Agora,,20.0,4.0,8.0,38.0,,,,
0x2da0a205208f0703f3b53ee3b8a1e385d587a8c79768521ff1d088d34356a7a1,Airstack,,,,,,,,,
0xa771de85e1b955ba11b2cb314b940ab3d9aab65fd27900fd54c7f7011c969d46,Alchemy,1.25,12.0,57.0,62.0,98.0,,,,
0xedd5da3aa7cb23ec992f2d0b8bc6da3976efa2d28ed3a30521b5cbe6069eea01,Alex Harley,,,,,,,,,
0xc7f3dfa39edf399c56c96c2c192f50e54e71faefd01a07a8b3d9e6d9471ed09c,Alloy,1.25,18.0,45.0,60.0,167.0,,,,
0xb8235b78bc813abcb99a302af764fb6b97e5e4d62803740995e4d0155da4def7,Alpha Insiders,,,,,,,,,
0xd5390391a52f0c2add9c6a9da3579d0eb4cdc8dfc62d30c791f29b7358e6d113,Andino - Talent in technology,,,,,,,,,
0xb9dc69169ecedba49d6e8c75ca7a115cb62ed8f59032454605a4ac12180f94c1,Andrew Hong (ilemi),,,,,,,,,
0x18d58f3a1be99ab8f5cb887edc4681df50b513b47dfec961ed4ddce79d42b109,Ankr,,,,,,,,,
0x7cf3ce699a7d72e767947a95cf180a72884dddfd70b306daa9e7f5be52f01ba8,Another World,,4.0,,,1.0,,0.0881444431759182,1855.0,
0x709b9997ca752016352dd68ed316bf912105a1a476c25c44cbf1809686fa8bbc,anotherblock,,6.0,2.0,2.0,4.0,,0.0008409336671586,95.0,
0xa2f3c16259f6eec775914f44a084ab251d93bfd7d109956b5a0b220edd1acd9a,Antoine,,30.0,7.0,36.0,54.0,28304.0,,,
0xd589501f226f1cb4a8b47dc4d78d6d8e3887033ba197e60ef0499eb5d40315bb,APAC DAO,,,,,,,,,
0x6e8a118fd384d47958f5a7773569de37463645011edb43193202c749f1e27ca5,Apetimism,,,,,,,,,
0x5fb9f9c499ef4e96440e5d9623068c8f7f10a3ed601c73628eb2e216f53338b9,Apetimism Launchpad,,,,,,,,,
0x6655fe259700452b0452aad4b8c7589c745e7df2dccefe76d70701317fd9e3b8,ApeWorX LTD,0.75,29.0,26.0,109.0,206.0,,7.251741205638399e-05,25.0,
0xaf653d363546b960d5b49fed59d46b5449441ec1d46b4a2b51e2164298666e42,API3 DAO ,,,,,,,,,
0xf87b7f797e8df50d31171f12138cb6980a9c0bf2c19f846fbcf44ccdbd440062,arabianhorses,,,,,,,,,
0x64f7a2367e5de2ebdcadd967385bc304f0221568276247dae792e86d608b402a,Arbiter,0.25,31.0,21.0,46.0,68.0,,,,
0xee97ff73170357b99babe87e571446a14ceca69695a9f3cd877e20f29d55c0ab,Archly,,,,,,,,,
0xc9eab65a0f546527d3e4556709a16daa43203e8642b538e2b5687b4127071ec9,Arkham,,,,,,,,,
0xb44ac303c0dcb238771f0c33978f5ae49635c364e68089886bdca1d7b1233e7a,ARPA Randcast,,23.0,2.0,6.0,6.0,,,,
0x8df3105410325d956c1bbc30d3504ac0c32f2de16b2828b6029ec202c4954c63,Artemis Analytics,,,,,,,,,
0x28f3a89844dd7eda7d26a4dcd32231900665f2300aebeb2c717f066a232572e5,AsymmetricDefi,,,,,,,,,
0x1c8c4fd36918b7b75642a5fccbcc1c4404299c3aed94ab0203a18c158f7744a6,ATK,,,,,,,,,
0x60f9485a7773d0b6dfc5a250e5c724fb5bb9cc6f77ad3920204286f347f59ffc,Attest Fest,,,,,,,,,
0xda538dc56054ec05476e152009df9af3e1947505e067b8363dd568a0d89c739d,AW House/Komorebi's Hacker House,,7.0,3.0,,5.0,,0.0422952785936726,100.0,
0x1d865a703d9c84fa4b5d97f84d399b0a785f64d0ae99716a306e698035412c54,Awesome Optimism,,2.0,3.0,2.0,2.0,,,,
0xd57877d44413352f5bdc2197304056fd24dcf3eea5b6c86a17177feb838468e0,AyaHQ,,2.0,7.0,,9.0,,,,
0xe0e818d0ad170d8c2e66fbb83372463dffa9b19937a3b7b368a4adf307ffd193,AyohTunde,,,,,,,,,
0x11d02544f79918bd8af9755f8a14e0188db0aadfaab274c6cf0b97d3da295ec7,Bankless Academy,,29.0,,10.0,16.0,,,,
0xd06e2d03da9fd53c32acf2de3762498f40b4c64bc9982de571d638605e8db73e,Bankless Africa,,,,,,,,,
0x9f4fbe2f82b8c499849bfd1963f8798ab8f25f95b0631fdf44129d477a3f7b78,Bankless Bengali,,,,,,,,,
0x023ec749b1a3ad4335595edad791b6dd5523a94817f53cba336060779471c3c8,Bankless DAO,0.75,101.0,23.0,35.0,105.0,,,,
0x239e74907063bead8e62acaaab47e4d716627b78036f7046e5d5403c405fb2aa,Bankless DAO Magyar ( Hungarian ),,,,,,,,,
0xefa725b7cc2edfa6b591a2dedbfc35be2520858d4b8df32a33f731c2d1ca8be1,Bankless Japan,,,,,,,,,
0xd1fc5b5d7e7f975ce4e0b40c1f587f68ba4bb1e9ef72beb0a11128efb38c1b7b,Bankless Malayalam ,,,,,,,,,
0x9af42af0df7a417b399a5e83c3744391b0c8d0e433392f02fa819f48420ff80d,Bankless Publishing,,,,,,,,,
0x33cbedc1cd085228b82aad34354954300fa82e7de307b5508ca3145c8e0f1ab7,Banklessadria,,,,,,,,,
0xb0e0767fc71db3090cdbb71b61ca3c6837e16377e4571fd2223ce4e7aedab8f4,BanklessDAO Turkish,,,,,,,,,
0x494d0957610b0e388d1cd8746ec6d9bb2237d0ab7467a6f216c557ef7a6ac83a,BanklessUA,,,,,,,,,
0xe4023251b0538517567388cdd107415b505169fca86081402f62cda741fb7f7e,banterlytics,,,,,,,,,
0xbe242c7f7734a53649ee419283e72ff164020d8ab6b42656e7393d9db8915094,Base Punk,,0.0,3.0,,3.0,,,,
0x45f4ac02622878b9d0ff20242526729dce79ecb7b742099813cb6ef56533b377,Based Nouns,,,,,,,,,
0x91bba885bafc9e5144c7577f7159778277e17eb6073d4f6adf5acd3b31c9f1fc,BasePaint,,,,,,,,,
